angDist,#,rgeo,rpgeo
0.310902,178,33777.42580000,31637.52150000
0.196291,179,7982.57764000,8473.22168000
0.159967,181,13052.42770000,10905.50390000
0.136629,183,6774.43408000,5740.47363000
0.297039,184,21859.44730000,29512.42580000
0.206104,185,13860.93070000,11092.42680000
0.189830,186,17752.72460000,13084.72270000
0.312894,187,13752.21480000,17290.14260000
0.311954,188,5213.49854000,5104.16455000
0.052278,189,3877.61328000,3811.52271000
0.155536,190,16518.08790000,11503.51070000
0.179411,191,3816.22900000,3949.14282000
0.136082,192,8562.22461000,8455.76562000
0.144969,194,10853.82620000,7474.46826000
0.229819,195,25466.58400000,12901.22360000
0.223817,196,36163.10940000,25756.29490000
0.240036,197,9564.86816000,8898.06250000
0.162303,198,8154.45605000,6120.12012000
0.199317,199,18279.78910000,17628.79490000
0.088962,201,20016.08010000,22074.73240000
0.231732,202,11666.38670000,4831.62793000
0.168598,203,12608.09670000,13379.83300000
0.253401,204,11220.67580000,5219.06494000
0.171968,205,8632.55273000,8963.30371000
0.183459,206,28726.91020000,11173.40430000
0.260967,207,13600.44530000,12976.26760000
0.292798,208,25029.13280000,27143.11720000
0.182394,210,16423.30080000,15649.75590000
0.173321,212,14084.24410000,7695.39111000
0.237714,213,10242.40430000,6047.05518000
0.182066,214,8395.45898000,8111.71338000
0.466781,215,9887.66699000,25774.51560000
0.290507,218,24920.84380000,19859.15040000
0.248406,219,14539.46880000,9910.86523000
0.239165,220,14513.71880000,12115.13280000
0.398122,222,16191.40040000,17094.60550000
0.203636,223,12055.71970000,6717.58789000
0.217865,224,11210.60450000,4056.71753000
0.219067,225,13575.94730000,10022.39750000
0.295568,226,17404.59380000,17833.79490000
0.170958,227,8585.90918000,6497.21436000
0.250641,228,11827.86430000,12084.12990000
0.370081,229,10399.13480000,9051.25000000
0.191036,230,18408.76950000,7135.83496000
0.226689,232,27711.76950000,25094.48630000
0.344392,233,2668.76025000,2633.66797000
0.098786,237,3951.43994000,3835.30078000
0.176921,239,13212.30370000,10804.38280000
0.033709,240,2671.99536000,2645.56738000
0.232527,242,6435.81250000,6021.77246000
0.493957,243,20038.55660000,12343.09080000
0.410896,244,2867.12451000,2871.71973000
0.259240,246,15236.47170000,14312.92090000
0.284025,249,17282.57620000,14767.30370000
0.305141,250,18488.49220000,17419.60550000
0.316853,251,6683.01855000,6905.03027000
0.190297,252,2950.04810000,2951.12793000
0.312524,253,2773.19897000,2759.43213000
0.330197,256,3525.83203000,3383.06519000
0.121204,257,2627.48486000,2609.92847000
0.043169,260,2946.05273000,2924.89185000
0.034840,262,23641.70310000,14793.10250000
0.499448,263,13140.01660000,12895.76760000
0.118358,267,1181.33850000,1168.86975000
0.110574,268,18304.25980000,15885.86330000
0.374696,270,16972.52540000,16446.67770000
0.136344,274,384.18219000,383.70394900
0.080698,277,4027.12427000,4048.96362000
0.206235,280,16790.57030000,14339.06540000
0.100194,281,2925.10449000,2927.90723000
0.417235,282,25368.46480000,29675.37110000
0.070596,286,6398.76758000,6225.54443000
0.095498,288,2103.76392000,2077.35864000
0.079161,289,1090.40552000,1083.94971000
0.120671,290,3077.88818000,3115.70264000
0.237648,291,1473.78040000,1473.31628000
0.267296,292,2785.71411000,2796.63574000
0.368425,293,6041.38867000,5948.02100000
0.152984,294,3082.10181000,3013.90918000
0.068263,295,868.77417000,853.64416500
0.003939,296,2721.81323000,2689.60254000
0.087371,298,2682.88696000,2656.84253000
0.093673,299,2772.49292000,2717.31348000
0.364266,300,3232.20337000,3016.81860000
0.264816,303,5121.82568000,4822.38965000
0.024983,304,2381.39673000,2381.57031000
0.247688,306,4726.17627000,4676.77295000
0.089587,307,4110.88135000,3726.79272000
0.083248,308,4783.34570000,4861.42383000
0.129359,309,6108.47949000,5161.34619000
0.188647,310,3304.06763000,3267.17651000
0.078445,311,3500.09692000,3554.98901000
0.229853,312,5229.09229000,4571.86084000
0.122092,313,3095.28101000,3053.40405000
0.046595,315,1237.00537000,1221.88940000
0.103819,316,3291.30591000,2141.04492000
0.193271,317,6007.42920000,5717.37012000
0.201495,318,3162.73145000,3127.50635000
0.275219,319,4720.56445000,4508.66113000
0.088428,320,2448.64868000,2428.67163000
0.080086,321,3000.38745000,2991.78003000
0.246779,322,10838.50100000,10249.94240000
0.054473,323,1987.41260000,1975.44202000
0.130515,324,7194.40332000,6939.07471000
0.093113,326,6410.17920000,3146.72192000
0.362129,327,7693.77246000,7344.80811000
0.080662,328,3083.41797000,3000.21216000
0.233329,329,2946.76147000,2950.66797000
0.099780,330,600.96801800,602.08435100
0.071302,331,2785.06665000,2787.09937000
0.296713,333,262.76379400,264.68627900
0.291698,334,285.86770600,285.51165800
0.108873,335,2695.39771000,2650.60669000
0.264416,337,5064.97461000,5096.09668000
0.078373,338,4965.45557000,4612.72217000
0.057466,339,8127.12109000,9258.50488000
0.212239,341,3189.69263000,3032.92944000
0.064403,342,693.49469000,689.07672100
0.054558,343,2473.45459000,2504.80249000
0.105087,344,1807.90454000,1927.81702000
0.113415,345,2691.77710000,2672.19775000
0.116345,346,5306.07471000,5316.94434000
0.168275,347,2081.52954000,2080.00195000
0.204462,348,2709.69263000,2693.83301000
0.223625,349,3398.87573000,3286.36743000
0.435665,350,183.93008400,184.48890700
0.041499,351,4183.57471000,3990.93481000
0.366666,352,2817.87451000,2836.94434000
0.349989,353,2817.81128000,2860.28174000
0.079837,354,3428.53931000,3425.71924000
0.238019,355,6106.59033000,5917.61914000
0.123734,356,2687.34595000,2715.36353000
0.039771,358,2715.69897000,2683.50439000
0.345222,359,2470.74927000,2408.54199000
0.137781,360,3616.44702000,3624.39551000
0.378220,361,2752.03833000,2776.24829000
0.178623,362,2481.66455000,2514.35596000
0.372302,363,2749.94067000,2627.70898000
0.436928,364,2439.50708000,2439.06519000
0.139425,365,2759.78735000,2779.77808000
0.060049,366,2867.32397000,2881.53589000
0.079700,367,2658.56421000,2636.44946000
0.310876,368,2591.02759000,2628.64160000
0.106616,369,2547.01367000,2433.21289000
0.050217,370,2805.30493000,1673.52441000
0.300021,371,5193.21436000,5125.55322000
0.105616,372,2833.66577000,2818.81201000
0.094313,373,2654.56079000,2642.59180000
0.072392,374,2576.68188000,2554.71240000
0.305474,375,2663.08325000,2677.52271000
0.069290,376,2728.08105000,2732.36963000
0.047591,377,2668.63525000,2678.75464000
0.074825,378,2599.09863000,2591.57007000
0.046508,379,2849.69067000,2880.01489000
0.277131,380,2992.48755000,2877.74438000
0.453624,381,2555.77759000,2532.43530000
0.289765,382,2751.88892000,2740.13037000
0.378621,383,2647.84180000,2648.94092000
0.267700,385,2314.59058000,2301.16431000
0.282024,386,2875.75757000,2891.30811000
0.160060,387,4999.16895000,5038.09229000
0.074780,388,2683.06348000,2654.68677000
0.274241,389,3207.76855000,3131.26392000
0.179816,390,4587.44971000,4668.21191000
0.116430,391,5223.95801000,4662.97461000
0.292726,393,4655.41699000,4422.18213000
0.012540,394,4641.01318000,3924.41748000
0.307715,395,6175.67773000,5635.78320000
0.249957,396,2480.58301000,2431.42407000
0.060875,397,5419.02686000,4829.91553000
0.073747,398,2312.88232000,2295.53857000
0.129514,399,2628.92896000,2627.24854000
0.109325,400,5276.25537000,5143.91553000
0.021731,401,1407.14099000,1406.50342000
0.082491,402,3011.60815000,2980.45703000
0.089740,403,5210.21973000,4950.67480000
0.217426,404,5435.33008000,5376.12207000
0.262188,405,3127.94580000,3117.12280000
0.293359,406,2451.68311000,2413.84766000
0.070494,408,2643.65381000,2691.55029000
0.111592,410,4475.52979000,4473.59375000
0.053385,411,7054.35205000,5789.17822000
0.058502,412,2592.49487000,2641.74023000
0.201446,413,2321.62720000,2309.58228000
0.100416,414,5205.77979000,4879.64990000
0.049933,415,535.64465300,538.41558800
0.021225,416,4193.18945000,4098.54834000
0.087446,417,1605.40051000,1555.48169000
0.011135,418,2196.17944000,2033.58508000
0.312396,419,6197.05127000,5913.03857000
