angDist,#,parallax,epsi,sepsi,ruwe
0.138434,141,0.0145,0.149,1.066e+00,1.041
0.177221,142,-0.0917,0.000,0.000e+00,1.006
0.274594,143,,19.172,3.073e+03,
0.277257,144,0.0276,0.099,8.976e-01,1.000
0.130745,145,-0.0635,0.087,5.161e-01,0.999
0.172122,146,0.2477,0.606,3.815e+01,2.152
0.337144,147,-0.0414,0.000,0.000e+00,0.983
0.131248,148,-0.0290,0.000,0.000e+00,0.967
0.139691,149,0.0865,1.381,3.703e+02,3.547
0.357524,150,0.0016,0.000,0.000e+00,0.958
0.166496,151,-0.0032,0.295,2.269e+00,1.084
0.017723,152,-0.0483,0.017,9.350e-02,0.968
0.457665,153,-0.0169,0.275,1.540e+00,1.050
0.170925,154,-0.1236,0.000,0.000e+00,0.979
0.126130,155,-0.0902,0.146,7.603e-01,1.023
0.105828,156,0.0107,0.160,5.956e+00,0.959
0.092488,157,-0.1601,0.000,0.000e+00,0.973
0.190455,158,0.0077,0.000,0.000e+00,0.972
0.202663,159,0.0341,0.000,0.000e+00,0.966
0.123908,160,0.0246,0.177,4.885e+00,1.109
0.186049,161,-0.0823,0.413,9.567e-01,1.056
0.377742,163,-0.0762,0.000,0.000e+00,0.986
0.295441,165,-0.0235,0.000,0.000e+00,0.920
0.271467,167,-0.0026,0.204,1.557e+00,1.027
0.124012,168,-0.0361,0.068,3.659e+00,0.946
0.121632,169,0.0759,0.000,0.000e+00,0.969
0.216901,170,0.1614,0.220,7.448e-01,1.046
0.076375,171,-0.0172,0.167,1.136e+01,1.004
0.318126,172,0.0328,0.211,5.045e+00,1.091
0.111420,173,0.2709,0.076,2.736e+00,1.132
0.151487,174,0.0451,0.150,1.741e+00,1.016
0.173879,175,-0.0097,0.162,5.412e+00,1.049
0.424323,176,0.0140,0.000,0.000e+00,0.959
0.161568,177,-0.0480,0.072,6.051e-01,0.978
0.290048,178,-0.0795,0.036,3.321e-01,0.962
0.173105,179,0.0808,0.085,1.374e+00,0.977
0.136641,181,-0.0243,0.262,3.215e+00,1.017
0.118210,183,0.0551,0.688,2.242e+01,1.454
0.275352,184,-0.0728,0.216,1.614e+01,1.211
0.187064,185,-0.0119,0.000,0.000e+00,0.974
0.168003,186,-0.0108,0.152,3.441e+00,1.149
0.292624,187,-0.0436,0.233,4.232e+00,1.233
0.291089,188,0.1134,0.342,1.885e+00,1.048
0.081418,189,0.2238,0.000,0.000e+00,0.958
0.133266,190,-0.2366,0.557,3.363e+01,1.519
0.156149,191,0.2346,0.377,1.210e+01,1.163
0.114231,192,0.0526,0.170,2.603e+00,1.110
0.120600,194,-0.0574,0.532,8.626e+00,1.208
0.206159,195,-0.0323,0.000,0.000e+00,0.985
0.200043,196,-0.1578,0.198,7.844e+00,1.173
0.215937,197,0.0024,0.000,0.000e+00,0.997
0.144150,198,0.0070,0.377,2.944e+00,1.121
0.175542,199,-0.0462,0.146,3.561e+00,1.037
0.083175,201,-0.0337,0.192,1.107e+01,0.991
0.208897,202,-0.0151,0.162,2.210e+00,1.028
0.145127,203,0.0144,0.106,1.289e+00,0.982
0.229432,204,-0.0197,0.000,0.000e+00,0.992
0.147866,205,0.0500,0.175,1.556e+00,1.084
0.176469,206,-0.3212,0.670,8.238e+00,1.272
0.240003,207,-0.0518,0.000,0.000e+00,0.994
0.270510,208,-0.0769,0.089,1.308e+00,1.002
0.300498,209,,89.948,2.495e+02,
0.157805,210,-0.0028,0.073,8.623e-01,1.031
0.150588,212,-0.0250,0.109,1.248e+00,1.007
0.212518,213,-0.0107,0.080,2.510e-01,1.008
0.160418,214,-0.1548,0.260,7.753e-01,1.041
0.445378,215,-0.0661,0.266,1.670e+00,1.066
0.432661,217,,2.042,2.968e+03,
0.266143,218,-0.0199,0.066,1.788e+00,0.919
0.225098,219,-0.0145,0.000,0.000e+00,0.995
0.217923,220,0.0114,0.065,5.690e-01,0.902
0.372589,222,-0.0850,0.156,1.981e+00,1.021
0.181816,223,-0.0124,0.000,0.000e+00,0.983
0.197871,224,-0.0226,0.084,4.817e-01,1.050
0.197217,225,0.0017,0.000,0.000e+00,0.947
0.275771,226,-0.0702,0.000,0.000e+00,0.979
0.148901,227,0.0267,0.026,1.731e-02,1.044
0.245278,228,0.0293,0.072,7.259e-01,0.953
0.334243,229,-0.5858,1.760,3.977e+02,5.003
0.180083,230,-0.0337,0.000,0.000e+00,0.952
0.229954,232,-0.0340,0.138,1.392e+01,0.959
0.360580,233,0.3467,0.000,0.000e+00,1.005
0.079210,237,0.2253,0.000,0.000e+00,0.947
0.170440,239,0.0094,0.323,1.534e+01,1.394
0.075436,240,0.3445,0.000,0.000e+00,0.941
0.210925,242,0.0880,0.574,4.627e+01,1.810
0.472118,243,-0.0253,0.157,7.356e+00,1.025
0.405483,244,0.3175,0.000,0.000e+00,1.041
0.261045,246,-0.0248,0.203,6.262e+00,1.043
0.267293,249,-0.0329,0.294,3.211e+01,1.091
0.285277,250,-0.0192,0.052,4.744e-01,0.968
0.304469,251,0.1062,0.000,0.000e+00,0.948
0.170283,252,0.3086,0.000,0.000e+00,0.941
0.290688,253,0.3302,0.044,1.980e+00,1.122
0.314765,256,0.2596,0.190,2.348e+01,1.712
0.146346,257,0.3591,0.077,8.866e+00,0.837
0.029685,260,0.3097,0.000,0.000e+00,0.986
0.021444,262,-0.0227,0.080,3.059e+00,0.932
0.476930,263,0.0380,0.089,3.676e+00,0.968
0.017410,267,0.8153,0.281,9.002e+01,1.014
0.110185,268,0.0070,0.109,4.087e+00,1.001
0.351889,270,-0.0314,0.119,1.487e+00,1.014
0.010174,274,2.5769,0.191,3.751e+01,1.016
0.053817,277,0.2156,0.000,0.000e+00,0.996
0.186752,280,-0.0051,0.173,1.039e+01,0.982
0.067921,281,0.3111,0.000,0.000e+00,1.003
0.396718,282,-0.0221,0.097,6.904e+00,0.932
0.230013,285,,10.366,1.797e+05,
0.069416,286,0.1174,0.000,1.872e-15,1.018
0.160059,288,0.4284,0.151,4.345e+01,0.976
0.086166,289,0.9021,0.113,2.045e+01,0.969
0.099041,290,0.2926,0.000,0.000e+00,0.956
0.209618,291,0.6639,0.038,1.812e+00,0.925
0.232214,292,0.3350,0.129,1.859e+01,1.153
0.345306,293,0.1353,0.000,0.000e+00,1.042
0.134775,294,0.2938,0.027,2.702e-01,1.043
0.047847,295,1.1324,0.275,1.278e+02,1.229
0.033570,296,0.3455,0.082,7.886e+00,0.905
0.064628,298,0.3501,0.100,2.119e+01,0.946
0.067264,299,0.3335,0.076,1.246e+01,0.969
0.368156,300,0.2851,0.306,7.578e+01,2.534
0.264347,303,0.1660,0.000,0.000e+00,1.005
0.005424,304,0.3965,0.064,7.048e+00,0.935
0.236372,306,0.1784,0.000,0.000e+00,1.012
0.080160,307,0.2212,0.000,3.602e-15,0.944
0.053339,308,0.1782,0.000,0.000e+00,0.961
0.122117,309,-1.7801,4.322,4.518e+03,17.653
0.173643,310,0.2734,0.000,0.000e+00,1.034
0.077393,311,0.2511,0.253,1.509e+02,1.790
0.199079,312,0.1685,0.000,0.000e+00,0.959
0.099318,313,0.2938,0.000,0.000e+00,1.049
0.038411,315,0.7890,0.186,5.560e+01,1.602
0.081333,316,0.3731,1.122,1.145e+03,10.616
0.170892,317,0.1314,0.108,4.102e+00,1.157
0.199572,318,0.3024,0.080,8.155e+00,1.027
0.256649,319,0.1815,0.000,0.000e+00,1.036
0.072391,320,0.3915,0.238,1.035e+02,1.262
0.053313,321,0.2998,0.000,0.000e+00,1.037
0.226064,322,-0.7994,1.477,8.281e+02,7.834
0.045948,323,0.4859,0.103,2.254e+01,0.988
0.116526,324,0.1020,0.000,0.000e+00,0.938
0.081838,326,-0.1767,1.554,2.177e+03,13.854
0.344232,327,0.0936,0.000,0.000e+00,1.054
0.046202,328,0.3129,0.290,1.809e+02,1.994
0.215649,329,0.3123,0.071,6.100e+00,1.032
0.104907,330,1.6421,0.325,1.148e+02,2.043
0.047596,331,0.3410,0.073,8.607e+00,0.904
0.055793,333,3.7716,0.288,7.840e+01,1.111
0.006553,334,3.4721,0.226,6.210e+01,0.996
0.081956,335,0.3422,0.000,0.000e+00,0.994
0.246149,337,0.1737,0.142,2.203e+01,1.696
0.054461,338,0.1738,0.000,0.000e+00,1.003
0.050488,339,0.0825,0.077,1.354e+00,1.059
0.127327,340,,8.151,6.384e+04,
0.173208,341,0.2828,0.000,0.000e+00,1.039
0.073010,342,1.4221,0.281,9.942e+01,2.115
0.034586,343,0.3750,0.125,2.610e+01,1.001
0.074029,344,0.5402,0.922,1.889e+03,6.307
0.089886,345,0.3532,0.089,1.289e+01,0.944
0.094991,346,0.1549,0.000,0.000e+00,0.899
0.168734,347,0.4506,0.000,0.000e+00,0.912
0.184088,348,0.3367,0.000,0.000e+00,0.979
0.198539,349,0.2672,0.000,0.000e+00,1.064
0.019550,350,5.4048,1.182,1.873e+03,1.804
0.061395,351,0.2096,0.000,0.000e+00,1.020
0.384896,352,0.3258,0.090,1.329e+01,1.081
0.329401,353,0.3198,0.106,1.753e+01,1.133
0.064268,354,0.2590,0.000,0.000e+00,0.987
0.216843,355,0.1200,0.386,1.381e+02,3.412
0.117072,356,0.3508,0.103,1.636e+01,0.940
0.057645,358,0.3492,0.116,2.413e+01,1.084
0.359262,359,0.3599,0.205,8.577e+01,1.303
0.117275,360,0.2444,0.000,0.000e+00,0.948
0.395762,361,0.3303,0.109,2.266e+01,1.162
0.160159,362,0.3868,0.046,3.830e+00,0.912
0.356709,363,0.3212,0.155,4.637e+01,1.396
0.450778,364,0.3762,0.000,0.000e+00,1.054
0.125218,365,0.3183,0.144,3.650e+01,1.021
0.054364,366,0.3267,0.057,6.050e+00,0.845
0.092263,367,0.3421,0.000,0.000e+00,0.965
0.333057,368,0.3464,0.150,4.257e+01,1.140
0.124507,369,0.3760,0.146,2.907e+01,1.438
0.074161,370,0.3720,1.258,3.060e+03,9.488
0.279045,371,0.1623,0.000,0.000e+00,0.968
0.103848,372,0.3202,0.000,0.000e+00,0.961
0.113798,373,0.3551,0.072,1.012e+01,0.910
0.093626,374,0.3746,0.427,3.375e+02,3.388
0.321499,375,0.3528,0.070,8.866e+00,0.860
0.089140,376,0.3417,0.087,1.410e+01,0.946
0.059411,377,0.3431,0.110,2.107e+01,1.210
0.058076,378,0.3562,0.095,1.653e+01,0.928
0.064014,379,0.3302,0.085,1.339e+01,1.085
0.296582,380,0.3010,0.249,1.252e+02,1.606
0.464881,381,0.3579,0.105,1.369e+01,1.368
0.306051,382,0.3280,0.184,6.495e+01,1.352
0.392889,383,0.3499,0.094,1.645e+01,1.150
0.259536,385,0.3882,0.208,8.766e+01,1.348
0.295155,386,0.3284,0.053,5.404e+00,0.919
0.147754,387,0.1665,0.000,0.000e+00,1.033
0.068474,388,0.3528,0.077,1.238e+01,0.989
0.260888,389,0.2827,0.000,0.000e+00,1.035
0.165313,390,0.1824,0.000,0.000e+00,1.048
0.089026,391,0.1604,0.029,1.298e-01,1.053
0.278664,393,0.1843,0.000,0.000e+00,0.998
0.018319,394,0.1866,0.000,0.000e+00,0.995
0.300091,395,0.1328,0.000,0.000e+00,0.939
0.238989,396,0.3765,0.146,2.433e+01,1.517
0.072980,397,0.1522,0.031,1.554e-01,1.033
0.052800,398,0.4125,0.106,2.913e+01,0.977
0.124873,399,0.3488,0.018,4.102e-01,1.063
0.111724,400,0.1600,0.000,0.000e+00,1.011
0.022583,401,0.6844,0.172,2.415e+01,1.085
0.061762,402,0.3117,0.087,1.729e+01,0.942
0.067098,403,0.1642,0.000,0.000e+00,0.996
0.203056,404,0.1518,0.000,0.000e+00,0.966
0.259822,405,0.2960,0.128,2.321e+01,1.141
0.278680,406,0.3800,0.000,0.000e+00,1.017
0.094283,408,0.3473,0.150,5.648e+01,1.255
0.027187,409,7.0037,1.920,6.334e+03,2.467
0.103191,410,0.1851,0.000,0.000e+00,1.047
0.046958,411,0.1169,0.000,0.000e+00,0.988
0.064378,412,0.3604,0.114,2.394e+01,1.054
0.182094,413,0.3974,0.000,0.000e+00,0.980
0.094668,414,0.1635,0.000,0.000e+00,0.989
0.027460,415,1.8296,0.250,7.028e+01,1.039
0.002670,416,0.2112,0.000,0.000e+00,0.997
0.029682,417,0.6036,0.191,4.291e+01,1.347
0.012749,418,0.4336,0.304,1.682e+02,0.984
0.280695,419,0.1339,0.000,0.000e+00,1.013
0.202655,420,0.4141,0.050,4.739e+00,0.953
