#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_Gaia,_DEJ2000_Gaia,source_id,parallax,pmra_x,pmdec_x,Gflux,Gmag,BPflux,BPmag,RPflux,RPmag,radial_velocity,teff_val,a_g_val,radius_val,lum_val,gaia_id,_RAJ2000_gaia2dis,_DEJ2000_gaia2dis,rest,main_id,_RAJ2000_Simbad,_DEJ2000_Simbad,main_type,other_types,radvel,redshift,sp_type,plx,pmra_y,pmdec_y,B,V.1,R,J,H,K,u,g,r,i,z,_RAJ2000_CXO,_DEJ2000_CXO,2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,S/N,NHGal,HRhm,HRhs,HRms,_RAJ2000_XRT,_DEJ2000_XRT,2SXPS,CR0,HR_1,HR_2,PcstS0,FPO0,FPU0,_RAJ2000_XMM,_DEJ2000_XMM,Source,4XMM,Flux8,HR1,HR2,HR3,HR4,VarFlag,_RAJ2000_HMXB,_DEJ2000_HMXB,HMXB_Name,Type.1,Vmag,Porb,SpType,epsi,sepsi,Class,Flux1,Flux2,Flux3,Flux4,Flux5
11,BD+61 39,Classical,00 20 17.44,62 27 49.92,8.85,B0.5IVe,,178,5.07260614,62.46387565,4.30511789300158e+17,0.3332,-3.083,0.748,5214980.0,8.895235000000001,3510340.0,8.988014999999999,2685270.0,8.68945,,8782.5,,,,4.30511789300158e+17,5.07257742561,62.4638788733,2750.1660763807104,BD+61    39,5.0726061403,62.4638756529,Be*,Em*|Be*|IR |*  |UV,-66.5,-0.00022200000000000003,B0.5IV,0.3332,-3.08,0.75,9.0,8.85,,8.183,8.025,7.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
12,IPHAS J002441.72+642137.9,Classical,00 24 41.72,64 21 37.91,,B5III,,0,6.1739147679999995,64.3604173,4.31186614557938e+17,0.1497,-1.4680000000000002,-0.43200000000000005,22921.9,14.787738000000001,7984.17,15.595814,22587.7,13.877241,,4177.5,0.8740000000000001,,,4.31186614557938e+17,6.17390015852,64.36041543752,5324.82050885951,IPHAS J002441.72+642137.9,6.1739147676999995,64.36041729909999,Be*,*  |Be*|IR,,,B5e,0.1497,-1.47,-0.43,,,,12.513,12.22,11.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
13,BD+63 48,Classical,00 26 40.11,64 25 55.42,9.26,B1IIInne,,2,,,,,,,,,,,,,,,,,,,,,,BD+63    48,6.6671233333,64.4320616667,Be*,Be*|Em*|IR |** |*,-68.0,-0.000227,B1III:nne,,-4.8,1.6,9.97,9.26,,7.218,6.973,6.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Em,,,,,
14,IPHAS J002758.97+622906.1,Classical,00 27 58.97,62 29 06.11,,,,0,6.995688174,62.48503178,4.30553261502536e+17,0.1956,-2.153,-0.484,18132.4,15.042229,7883.96,15.609526999999998,15373.3,14.295001000000001,,4861.0,,,,4.30553261502536e+17,6.99566810452,62.48502969356999,4360.376261112639,2MASS J00275896+6229060,6.9956881742,62.4850317779,Be*,*  |Be*|IR |Be*,,,B3-4Ve,0.1956,-2.15,-0.48,,,,13.302999999999999,12.963,12.722000000000001,,,15.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
15,BD+55 81,Classical,00 28 12.04,56 23 47.53,10.02,B1.5Vnne,,3,7.0501554870000005,56.39653101,4.21675529736368e+17,0.4305,-3.4160000000000004,-1.776,1822150.0,10.036903,1293140.0,10.072278,838940.0,9.952592999999998,,9444.75,0.624,,,4.21675529736368e+17,7.050128912410001,56.396523362790006,2169.29909347859,BD+55    81,7.0501554874000005,56.39653100899999,Be*,Be*|IR |*  |Em*,,,B1.5:V:nne:,0.4305,-3.42,-1.78,10.09,10.02,,9.906,9.911,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,3.57,Em,,,,,
16,IPHAS J002843.24+615216.2,Classical,00 28 43.24,61 52 16.21,,,,0,7.180149897000001,61.87117067,4.30234025173785e+17,0.2137,-1.6469999999999998,-0.725,30174.3,14.489273,15745.3,14.858507000000001,21716.8,13.919929999999999,,5210.67,,,,4.30234025173785e+17,7.180134851689999,61.87116754526,4035.9772075144606,2MASS J00284324+6152162,7.180149897000001,61.8711706667,Be*,*  |Be*|IR |Be*,,,B7Ve,0.2137,-1.65,-0.73,,,,13.155999999999999,12.987,12.783,,,14.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
17,IPHAS J002926.93+630450.2,Classical,00 29 26.93,63 04 50.20,,B7V B6,,0,7.362280234,63.08061208,4.30949910320096e+17,0.3104,-2.6489999999999996,-0.725,40881.7,14.159545000000001,22994.2,14.447339999999999,26707.5,13.695335,,5787.33,,4.07,16.750999999999998,4.30949910320096e+17,7.362255038310001,63.08060896116,2940.33193768148,2MASS J00292693+6304501,7.362280234400001,63.080612081999995,Be*,*  |Be*|IR |Be*,,,B7e,0.3104,-2.65,-0.73,,,,13.105,12.98,12.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
18,BD+62 89,Classical,00 29 49.25,63 04 04.01,10.25,B0Vpe,,1,7.455177686,63.06778991,4.30785666465509e+17,0.3613,-2.963,-0.809,2067710.0,9.899643,1145540.0,10.20386,1345250.0,9.439917,,5990.52,,23.1,619.05,4.30785666465509e+17,7.4551495235,63.06778643135,2558.8478999727104,BD+62    89,7.455177685800001,63.067789912399995,V*,V* |IR |Em*|*,,,B1.5Ve,0.3613,-2.96,-0.81,10.62,10.25,,8.882,8.686,8.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Variable,,,,,
19,BD+61 105,Classical,00 31 19.20,62 25 39.40,9.34,O9Ve,,4,7.830004676000001,62.42762293,4.30356929957388e+17,0.2465,-2.487,-1.5230000000000001,3963620.0,9.193133999999999,2510330.0,9.352062,2161150.0,8.925206,,7660.0,0.888,28.94,2597.61,4.30356929957388e+17,7.82998154523,62.42761636785,3581.66067845541,BD+61   105,7.8300046756,62.4276229258,Em*,Em*|IR |*,-30.1,-0.0001,O9Ve,0.2465,-2.49,-1.52,9.5,9.34,,8.654,8.636000000000001,8.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
20,HD 2789,Classical,00 32 02.84,67 09 40.08,8.36,B3Vne,,132,8.011840028,67.16113257,5.27950234866756e+17,1.9935,5.3839999999999995,1.8780000000000001,9559650.0,8.237260000000001,5889310.0,8.426227,5342980.0,7.942461,,7022.71,1.249,6.53,93.42399999999999,5.27950234866756e+17,8.01189975241,67.16114065856,494.70205424533,HD   2789,8.0118400281,67.1611325718,Be*,Be*|Em*|IR |*,3.3,1.1e-05,B3Vne,1.9935,5.38,1.88,8.63,8.36,,7.577000000000001,7.519,7.412000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
