#,epsi,sepsi
347,0,0
348,0,0
349,0,0
350,1.987,1410
351,0,0
352,0,0
353,0,0
354,0,0
355,0.323,30.8
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0.41,89.3
371,0,0
372,0,0
373,0,0
374,0.177,15.4
375,0,0
376,0,0
377,0,0
378,0,0
379,0,2.63E-15
380,0,2.57
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,,
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,2.10E-15
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,,
408,0,0
409,2.137,2050
410,0.102,3.18
411,0,0
412,0,0
413,0,0
414,0,0
415,0.152,9.49
416,0,0
417,0.128,5.18
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0.474,76.5
424,0,0
425,0,0
426,0,2.46E-15
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0.186,11.3
436,0.135,4.21
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,1.86E-15
443,0.395,36.4
444,0,0
445,0,0.318
446,0,2.97E-15
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,,
454,0.168,10.8
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0.146,7.05
461,0,0
462,0,0
463,0.327,24.2
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0.071,1.61
471,,
472,0.416,67.4
473,0,0
474,0,1.04E-15
475,0,0
476,0,8.73E-16
477,,
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0.052,0.995
492,0,0
493,0,0
494,0,1.71E-15
495,0,0
496,0.93,241
497,0,0
498,0,0
499,0,0
500,0.192,11.2
501,0.6,104
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0.699,46.2
508,0.499,101
509,0,0
510,0.099,3.55
511,0,0
512,0,0
513,0,0
514,0,0
515,0,1.41E-15
516,2.613,2470
517,0,0
518,1.014,223
519,0,0
520,0,0
521,0,0
522,0,1.03
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,,
530,0,0
531,0,0
532,0,0
533,0,1.21E-15
534,0,0
535,0,0
536,,
537,0,0
538,0.128,6.36
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,3.434,3480
545,0,0
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0.234,22.9
552,0,0
553,0,0
554,0.323,37.6
555,0,0
556,0.433,56.7
557,0.071,2.09
558,0,0
559,0,0
560,0,0
561,0,0
