Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status    |name                |ra         |dec        |time               |detector|grating|exposure|type|pi         |public_date|_Search_Offset|
| 8546|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-04-01 08:05:44|ACIS-S  |HETG   |   31150|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|18672|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-11-08 01:03:15|ACIS-I  |NONE   |   30970|GO  |Townsley   | 2015-11-09|             3.137 (84.56791666666669,-69.0658)|
|21052|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-31 07:01:26|ACIS-S  |HETG   |   30840|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|  738|archived  |SNR 0538-69.1       |05 37 47.60|-69 10 20.0|2000-02-12 18:52:46|HRC-I   |NONE   |   30440|GO  |Wang       | 2000-08-10|             6.878 (84.56791666666669,-69.0658)|
|24652|observed  |SNR 1987A           |05 35 28.00|-69 16 11.1|2020-09-17 02:19:49|ACIS-S  |HETG   |   30420|GO  |Burrows    | 2021-09-18|            19.330 (84.56791666666669,-69.0658)|
|22155|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2019-03-23 14:40:35|HRC-S   |LETG   |   30140|GO  |Burrows    | 2020-03-26|            19.330 (84.56791666666669,-69.0658)|
| 8523|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-11 03:52:15|ACIS-S  |HETG   |   30140|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|21037|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-15 10:05:12|ACIS-S  |HETG   |   30130|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|18808|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2016-03-31 10:21:05|HRC-S   |LETG   |   30020|GO  |Burrows    | 2017-04-01|            19.330 (84.56791666666669,-69.0658)|
|24295|unobserved|SNR 1987A           |05 35 28.00|-69 16 11.1|         2021-09-25|ACIS-S  |HETG   |   30000|GO  |Burrows    |           |            19.330 (84.56791666666669,-69.0658)|
|24653|unobserved|SNR 1987A           |05 35 28.00|-69 16 11.1|                   |HRC-S   |LETG   |   30000|GO  |Burrows    |           |            19.330 (84.56791666666669,-69.0658)|
|24654|unobserved|SNR 1987A           |05 35 28.00|-69 16 11.1|                   |ACIS-S  |HETG   |   30000|GO  |Burrows    |           |            19.330 (84.56791666666669,-69.0658)|
| 1829|archived  |SNR 0538-69.1       |05 37 47.60|-69 10 20.0|2000-07-31 06:42:05|HRC-S   |NONE   |   29800|GO  |Wang       | 2001-08-10|             6.878 (84.56791666666669,-69.0658)|
|21043|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-25 00:10:03|ACIS-S  |HETG   |   29520|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
| 8487|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-24 09:55:20|ACIS-S  |HETG   |   29140|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|11091|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2010-09-29 09:05:14|ACIS-S  |HETG   |   29070|GO  |Burrows    | 2011-09-30|            19.330 (84.56791666666669,-69.0658)|
|23533|unobserved|SNR 1987A           |05 35 28.00|-69 16 11.1|         2021-03-24|HRC-S   |LETG   |   29000|GO  |Burrows    |           |            19.330 (84.56791666666669,-69.0658)|
|23534|unobserved|SNR 1987A           |05 35 28.00|-69 16 11.1|         2021-09-28|ACIS-S  |HETG   |   29000|GO  |Burrows    |           |            19.330 (84.56791666666669,-69.0658)|
| 9143|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2008-07-04 10:20:11|ACIS-S  |NONE   |   28760|GO  |Burrows    | 2009-07-07|            19.330 (84.56791666666669,-69.0658)|
| 7637|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2007-07-13 16:12:29|ACIS-S  |NONE   |   28360|GO  |Burrows    | 2008-07-16|            19.330 (84.56791666666669,-69.0658)|
|22156|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2019-03-24 07:06:47|HRC-S   |LETG   |   28170|GO  |Burrows    | 2020-03-26|            19.330 (84.56791666666669,-69.0658)|
|  119|archived  |SNR 0540-69.3       |05 40 11.00|-69 20 00.0|1999-11-22 17:54:36|ACIS-S  |NONE   |   28160|GTO |HOLT       | 2000-12-14|            19.009 (84.56791666666669,-69.0658)|
|21949|archived  |30 Doradus C        |05 36 17.50|-69 13 22.6|2018-12-21 11:28:13|ACIS-I  |NONE   |   28070|GO  |Lopez      | 2019-12-24|            14.167 (84.56791666666669,-69.0658)|
|14417|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2012-04-01 11:24:51|ACIS-S  |HETG   |   28040|GO  |Burrows    | 2013-04-02|            19.330 (84.56791666666669,-69.0658)|
|20323|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-27 16:46:26|ACIS-S  |HETG   |   27750|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|16200|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-06-26 20:00:40|ACIS-I  |NONE   |   27710|GO  |Townsley   | 2014-06-27|             3.137 (84.56791666666669,-69.0658)|
| 7588|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-13 20:11:37|ACIS-S  |HETG   |   27660|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|13131|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2010-09-28 07:00:28|ACIS-S  |HETG   |   27570|GO  |Burrows    | 2011-09-30|            19.330 (84.56791666666669,-69.0658)|
|16447|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-03-26 05:25:53|ACIS-I  |NONE   |   27210|GO  |Townsley   | 2015-03-26|             3.137 (84.56791666666669,-69.0658)|
|17899|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2016-09-19 06:45:38|ACIS-S  |HETG   |   27090|GO  |Burrows    | 2017-09-26|            19.330 (84.56791666666669,-69.0658)|
|17640|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-03-31 13:13:37|ACIS-I  |NONE   |   26660|GO  |Townsley   | 2015-04-01|             3.137 (84.56791666666669,-69.0658)|
| 5580|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2005-07-11 21:13:40|ACIS-S  |NONE   |   26190|GO  |Burrows    | 2006-07-18|            19.330 (84.56791666666669,-69.0658)|
|20339|archived  |30 Doradus C        |05 36 17.50|-69 13 22.6|2018-12-23 09:30:37|ACIS-I  |NONE   |   26080|GO  |Lopez      | 2019-12-24|            14.167 (84.56791666666669,-69.0658)|
|12146|archived  |SN 1987A            |05 35 28.00|-69 16 11.0|2011-03-13 17:38:47|ACIS-S  |HETG   |   26050|GTO |Canizares  | 2012-03-15|            19.328 (84.56791666666669,-69.0658)|
|17544|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-11-01 16:51:02|ACIS-I  |NONE   |   25970|GO  |Townsley   | 2014-11-02|             3.137 (84.56791666666669,-69.0658)|
|18671|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-12-13 23:40:05|ACIS-I  |NONE   |   25950|GO  |Townsley   | 2015-12-16|             3.137 (84.56791666666669,-69.0658)|
|18721|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-12-08 17:12:07|ACIS-I  |NONE   |   25930|GO  |Townsley   | 2015-12-09|             3.137 (84.56791666666669,-69.0658)|
| 7589|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-19 01:50:21|ACIS-S  |HETG   |   25680|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|11090|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2010-03-28 08:57:13|ACIS-S  |HETG   |   25570|GO  |Burrows    | 2011-03-29|            19.330 (84.56791666666669,-69.0658)|
|62520|archived  |30 DORADUS          |05 38 42.85|-69 06 03.0|1999-09-21 20:39:43|ACIS-I  |NONE   |   25490|GTO |Garmire    | 2001-02-04|             3.167 (84.56791666666669,-69.0658)|
|10222|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2009-07-06 22:28:13|ACIS-S  |HETG   |   25270|GO  |Burrows    | 2010-09-09|            19.330 (84.56791666666669,-69.0658)|
| 8539|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-20 12:33:48|ACIS-S  |HETG   |   25180|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|22703|unobserved|SNR 1987A           |05 35 28.00|-69 16 11.1|                   |HRC-I   |NONE   |   25000|GTO |Garmire    |           |            19.330 (84.56791666666669,-69.0658)|
| 9590|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-16 07:02:35|ACIS-S  |LETG   |   24970|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
|17413|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-09-08 15:20:21|ACIS-I  |NONE   |   24970|GO  |Townsley   | 2014-09-09|             3.137 (84.56791666666669,-69.0658)|
|17641|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-04-04 19:44:34|ACIS-I  |NONE   |   24950|GO  |Townsley   | 2015-04-06|             3.137 (84.56791666666669,-69.0658)|
|16449|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-09-28 05:34:06|ACIS-I  |NONE   |   24940|GO  |Townsley   | 2015-10-02|             3.137 (84.56791666666669,-69.0658)|
| 6345|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2005-07-16 07:33:44|ACIS-S  |NONE   |   23150|GO  |Burrows    | 2006-07-18|            19.330 (84.56791666666669,-69.0658)|
|16612|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-11 02:14:24|ACIS-I  |NONE   |   22960|GO  |Townsley   | 2014-05-12|             3.137 (84.56791666666669,-69.0658)|
|18749|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2016-01-22 16:13:11|ACIS-I  |NONE   |   22440|GO  |Townsley   | 2016-01-23|             3.137 (84.56791666666669,-69.0658)|
| 9142|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2008-01-09 05:56:38|ACIS-S  |NONE   |   22180|GO  |Burrows    | 2009-01-13|            19.330 (84.56791666666669,-69.0658)|
|12126|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2010-03-17 18:53:54|ACIS-S  |HETG   |   22070|GO  |Burrows    | 2011-03-29|            19.330 (84.56791666666669,-69.0658)|
|23164|observed  |Brey 84             |05 38 42.03|-69 05 40.7|2020-02-23 22:28:21|ACIS-S  |HETG   |   22050|GTO |Canizares  | 2021-07-29|             2.876 (84.56791666666669,-69.0658)|
| 8538|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-18 03:33:35|ACIS-S  |HETG   |   21030|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
| 8545|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-31 07:42:37|ACIS-S  |HETG   |   20800|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|10130|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2009-01-05 12:22:34|ACIS-S  |NONE   |   20180|GO  |Burrows    | 2010-01-06|            19.330 (84.56791666666669,-69.0658)|
|21303|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2019-03-19 10:03:52|HRC-S   |LETG   |   20120|GO  |Burrows    | 2020-03-26|            19.330 (84.56791666666669,-69.0658)|
|17415|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2014-09-17 21:03:08|ACIS-S  |HETG   |   20090|GO  |Burrows    | 2015-09-22|            19.330 (84.56791666666669,-69.0658)|
|19289|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2017-09-23 15:34:11|ACIS-S  |HETG   |   19610|GO  |Burrows    | 2018-09-25|            19.330 (84.56791666666669,-69.0658)|
|10855|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2009-01-18 17:12:12|ACIS-S  |HETG   |   19480|GO  |Burrows    | 2010-01-20|            19.330 (84.56791666666669,-69.0658)|
| 8544|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-28 17:49:46|ACIS-S  |HETG   |   19430|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|10221|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2009-01-13 10:32:01|ACIS-S  |HETG   |   19430|GO  |Burrows    | 2010-01-20|            19.330 (84.56791666666669,-69.0658)|
|12125|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2010-03-17 00:22:53|ACIS-S  |HETG   |   18890|GO  |Burrows    | 2011-03-29|            19.330 (84.56791666666669,-69.0658)|
|21050|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-29 16:30:07|ACIS-S  |HETG   |   18190|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
| 6178|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2005-01-13 16:07:51|ACIS-S  |NONE   |   18170|GO  |Burrows    | 2006-01-14|            19.330 (84.56791666666669,-69.0658)|
| 8542|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-21 18:40:51|ACIS-S  |HETG   |   18150|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
| 1044|archived  |SN1987A             |05 35 28.10|-69 16 10.8|2001-04-25 16:47:24|ACIS-S  |NONE   |   18000|GTO |Garmire    | 2002-05-03|            19.320 (84.56791666666669,-69.0658)|
|  132|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|1999-08-31 12:18:53|HRC-I   |NONE   |   17790|CAL |Calibration| 1999-09-14|            18.947 (84.56791666666669,-69.0658)|
|17414|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-09-13 12:23:52|ACIS-I  |NONE   |   17540|GO  |Townsley   | 2014-09-15|             3.137 (84.56791666666669,-69.0658)|
|20927|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-14 00:03:13|ACIS-S  |HETG   |   17040|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|18729|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-12-21 22:09:22|ACIS-I  |NONE   |   16960|GO  |Townsley   | 2015-12-22|             3.137 (84.56791666666669,-69.0658)|
|21044|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-26 05:27:06|ACIS-S  |HETG   |   15540|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|20322|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-19 21:36:38|ACIS-S  |HETG   |   15520|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|21051|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-30 11:37:10|ACIS-S  |HETG   |   15370|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|18706|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-11-10 17:08:51|ACIS-I  |NONE   |   14970|GO  |Townsley   | 2015-11-12|             3.137 (84.56791666666669,-69.0658)|
|18670|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2016-01-21 20:58:30|ACIS-I  |NONE   |   14750|GO  |Townsley   | 2016-01-22|             3.137 (84.56791666666669,-69.0658)|
|17603|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-12-09 15:26:28|ACIS-I  |NONE   |   13950|GO  |Townsley   | 2015-12-10|             3.137 (84.56791666666669,-69.0658)|
| 9851|archived  |SN 1987A            |05 35 28.00|-69 16 11.0|2008-04-28 03:38:34|HRC-I   |NONE   |   13150|GTO |Murray     | 2009-04-30|            19.328 (84.56791666666669,-69.0658)|
| 9592|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-12 22:46:10|ACIS-S  |LETG   |   13040|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
| 9591|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-12 07:00:03|ACIS-S  |LETG   |   13010|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
| 8537|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-03-12 18:27:49|ACIS-S  |HETG   |   12940|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
|21053|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-04-02 03:17:12|ACIS-S  |HETG   |   12480|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
| 5906|archived  |30 Doradus          |05 38 42.40|-69 06 02.0|2006-01-21 19:02:57|ACIS-I  |NONE   |   12480|GO  |Townsley   | 2007-01-31|             3.127 (84.56791666666669,-69.0658)|
|10854|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2009-01-17 03:18:38|ACIS-S  |HETG   |   12430|GO  |Burrows    | 2010-01-20|            19.330 (84.56791666666669,-69.0658)|
|14344|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2011-09-22 20:26:32|ACIS-S  |HETG   |   12070|GO  |Burrows    | 2012-09-26|            19.330 (84.56791666666669,-69.0658)|
|10853|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2009-01-15 07:33:18|ACIS-S  |HETG   |   11670|GO  |Burrows    | 2010-01-20|            19.330 (84.56791666666669,-69.0658)|
|10852|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2009-01-12 12:25:04|ACIS-S  |HETG   |   11180|GO  |Burrows    | 2010-01-20|            19.330 (84.56791666666669,-69.0658)|
| 1740|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-21 17:50:14|ACIS-S  |NONE   |   10940|CAL |Calibration| 2000-07-27|            18.947 (84.56791666666669,-69.0658)|
|  133|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|1999-08-26 01:48:42|ACIS-I  |NONE   |   10150|CAL |Calibration| 2001-11-27|            18.947 (84.56791666666669,-69.0658)|
| 1741|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-22 02:50:12|HRC-I   |NONE   |   10070|CAL |Calibration| 2000-07-05|            18.947 (84.56791666666669,-69.0658)|
| 1738|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-22 08:36:42|HRC-S   |NONE   |   10070|CAL |Calibration| 2000-07-27|            18.947 (84.56791666666669,-69.0658)|
| 1735|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-21 21:03:18|HRC-I   |NONE   |   10040|CAL |Calibration| 2000-07-31|            18.947 (84.56791666666669,-69.0658)|
| 1736|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-21 23:56:57|HRC-I   |NONE   |   10040|CAL |Calibration| 2000-07-27|            18.947 (84.56791666666669,-69.0658)|
|18720|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-12-02 10:47:54|ACIS-I  |NONE   |    9960|GO  |Townsley   | 2015-12-03|             3.137 (84.56791666666669,-69.0658)|
|18722|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-12-11 09:08:31|ACIS-I  |NONE   |    9950|GO  |Townsley   | 2015-12-13|             3.137 (84.56791666666669,-69.0658)|
| 1737|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-22 05:43:29|HRC-S   |NONE   |    9740|CAL |Calibration| 2000-07-27|            18.947 (84.56791666666669,-69.0658)|
| 1250|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|1999-08-26 05:09:05|ACIS-I  |NONE   |    9670|CAL |Calibration| 2002-02-12|            18.947 (84.56791666666669,-69.0658)|
| 9806|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2008-01-11 02:10:11|ACIS-S  |NONE   |    8830|GO  |Burrows    | 2009-01-13|            19.330 (84.56791666666669,-69.0658)|
|  122|archived  |SN 1987A            |05 35 28.30|-69 16 13.0|2000-01-17 15:38:16|ACIS-S  |NONE   |    8670|GTO |Garmire    | 2001-02-02|            19.329 (84.56791666666669,-69.0658)|
| 1745|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-22 11:29:57|HRC-S   |NONE   |    6950|CAL |Calibration| 2001-01-02|            18.947 (84.56791666666669,-69.0658)|
|   22|archived  |30 DORADUS          |05 38 42.85|-69 06 03.0|1999-09-21 19:46:57|ACIS-I  |NONE   |    1060|GTO |Garmire    | 2000-11-03|             3.167 (84.56791666666669,-69.0658)|
| 1742|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-22 13:44:37|HRC-S   |NONE   |     490|CAL |Calibration| 2000-07-07|            18.947 (84.56791666666669,-69.0658)|
| 1739|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-22 13:31:07|HRC-S   |NONE   |     480|CAL |Calibration| 2000-07-27|            18.947 (84.56791666666669,-69.0658)|
| 1743|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-22 13:58:07|HRC-S   |NONE   |     480|CAL |Calibration| 2000-07-07|            18.947 (84.56791666666669,-69.0658)|
| 1744|archived  |PSR B0540-69        |05 40 11.10|-69 19 55.2|2000-06-22 14:14:34|HRC-S   |NONE   |     380|CAL |Calibration| 2000-07-07|            18.947 (84.56791666666669,-69.0658)|
|16537|archived  |HD 93030            |10 42 57.40|-64 23 40.0|2014-09-29 14:00:19|ACIS-S  |HETG   |   69960|GO  |Petit      | 2015-10-01|          6.361 (160.55883333333333,-64.466425)|
|15730|archived  |HD 93030            |10 42 57.40|-64 23 40.0|2014-09-19 02:14:16|ACIS-S  |HETG   |   51960|GO  |Petit      | 2015-10-01|          6.361 (160.55883333333333,-64.466425)|
| 6429|archived  |HD 100453           |11 33 05.60|-54 19 28.5|2006-03-10 09:56:31|ACIS-S  |NONE   |    9810|GO  |Grady      | 2007-03-13|          15.044 (173.69025,-54.26409166666666)|
| 9384|archived  |ACO 2092            |15 33 17.10|+31 08 55.0|2007-11-13 14:35:26|ACIS-I  |NONE   |   10120|GO  |Vikhlinin  | 2008-11-14|  13.428 (233.23241666666667,31.35913333333333)|
|15976|archived  |PSR J1627-59        |16 27 52.50|-59 36 55.3|2014-01-19 10:01:22|ACIS-S  |NONE   |    3570|GO  |Gotthelf   | 2015-01-21|14.004 (246.97575000000003,-59.848727777777775)|
|10145|archived  |1RXSJ184919.2+333310|18 49 18.20|+33 33 24.7|2009-01-12 01:27:43|ACIS-S  |NONE   |    2120|GO  |Fox        | 2010-01-13|              15.173 (282.52,33.36266944444444)|
|21299|archived  |PSR J2015+2524      |20 15 12.70|+25 24 31.3|2018-12-17 10:45:55|ACIS-S  |NONE   |    3700|GO  |Gotthelf   | 2019-12-17|           11.020 (303.81625,25.59195833333333)|
