Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status    |name                |ra         |dec        |time               |detector|grating|exposure|type|pi         |public_date|_Search_Offset|
| 4641|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-08-30 08:19:40|ACIS-S  |LETG   |   75460|GO  |McCray     | 2005-09-03|            19.330 (84.56791666666669,-69.0658)|
|15809|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2014-03-19 05:46:18|ACIS-S  |HETG   |   73090|GO  |Burrows    | 2015-03-20|            19.330 (84.56791666666669,-69.0658)|
|14698|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2013-09-28 05:31:02|ACIS-S  |HETG   |   71090|GO  |Burrows    | 2014-09-30|            19.330 (84.56791666666669,-69.0658)|
| 5362|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-08-27 15:58:37|ACIS-S  |LETG   |   70180|GO  |McCray     | 2005-09-03|            19.330 (84.56791666666669,-69.0658)|
|14697|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2013-03-21 20:18:23|ACIS-S  |HETG   |   70090|GO  |Burrows    | 2014-03-26|            19.330 (84.56791666666669,-69.0658)|
| 1387|archived  |SN 1987A            |05 35 28.30|-69 16 13.0|1999-10-06 17:37:24|ACIS-S  |HETG   |   69670|GTO |Garmire    | 2000-11-18|            19.329 (84.56791666666669,-69.0658)|
|16756|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2015-09-17 17:53:13|ACIS-S  |HETG   |   69080|GO  |Burrows    | 2016-09-22|            19.330 (84.56791666666669,-69.0658)|
|16197|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-06-06 12:31:20|ACIS-I  |NONE   |   68660|GO  |Townsley   | 2014-06-09|             3.137 (84.56791666666669,-69.0658)|
|16757|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2015-03-14 03:56:52|HRC-S   |LETG   |   68030|GO  |Burrows    | 2016-03-15|            19.330 (84.56791666666669,-69.0658)|
|16196|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-30 00:04:49|ACIS-I  |NONE   |   67970|GO  |Townsley   | 2014-06-02|             3.137 (84.56791666666669,-69.0658)|
|16202|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-08-19 15:28:55|ACIS-I  |NONE   |   65960|GO  |Townsley   | 2014-08-21|             3.137 (84.56791666666669,-69.0658)|
|23330|observed  |Brey 84             |05 38 42.03|-69 05 40.7|2020-07-24 11:34:21|ACIS-S  |HETG   |   65940|GTO |Canizares  | 2021-07-29|             2.876 (84.56791666666669,-69.0658)|
|22425|observed  |SNR 1987A           |05 35 28.00|-69 16 11.1|2020-09-12 19:19:53|ACIS-S  |HETG   |   63090|GO  |Burrows    | 2021-09-18|            19.330 (84.56791666666669,-69.0658)|
|16640|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-07-24 11:20:20|ACIS-I  |NONE   |   62470|GO  |Townsley   | 2014-07-25|             3.137 (84.56791666666669,-69.0658)|
|16617|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-31 01:25:57|ACIS-I  |NONE   |   59620|GO  |Townsley   | 2014-06-01|             3.137 (84.56791666666669,-69.0658)|
| 4640|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-08-26 05:33:09|ACIS-S  |LETG   |   59170|GO  |McCray     | 2005-09-03|            19.330 (84.56791666666669,-69.0658)|
|16201|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-07-21 22:12:38|ACIS-I  |NONE   |   59140|GO  |Townsley   | 2014-07-22|             3.137 (84.56791666666669,-69.0658)|
|17555|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-12-06 16:39:30|ACIS-I  |NONE   |   55960|GO  |Townsley   | 2014-12-08|             3.137 (84.56791666666669,-69.0658)|
|17561|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-12-20 17:21:34|ACIS-I  |NONE   |   55270|GO  |Townsley   | 2014-12-23|             3.137 (84.56791666666669,-69.0658)|
|13238|archived  |SN 1987A            |05 35 28.00|-69 16 11.0|2011-03-04 11:13:27|ACIS-S  |HETG   |   55050|GTO |Canizares  | 2012-03-15|            19.328 (84.56791666666669,-69.0658)|
|22691|observed  |Brey 84             |05 38 42.03|-69 05 40.7|2020-02-19 11:40:27|ACIS-S  |HETG   |   54940|GTO |Canizares  | 2021-07-29|             2.876 (84.56791666666669,-69.0658)|
|12539|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2011-03-25 14:47:26|ACIS-S  |HETG   |   54290|GO  |Burrows    | 2012-03-28|            19.330 (84.56791666666669,-69.0658)|
|17602|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-02-19 13:56:39|ACIS-I  |NONE   |   52370|GO  |Townsley   | 2015-02-20|             3.137 (84.56791666666669,-69.0658)|
|12145|archived  |SN 1987A            |05 35 28.00|-69 16 11.0|2011-03-01 19:10:42|ACIS-S  |HETG   |   52050|GTO |Canizares  | 2012-03-15|            19.328 (84.56791666666669,-69.0658)|
|22692|observed  |Brey 84             |05 38 42.03|-69 05 40.7|2020-07-21 19:21:32|ACIS-S  |HETG   |   51940|GTO |Canizares  | 2021-07-29|             2.876 (84.56791666666669,-69.0658)|
| 2783|archived  |NGC 2060            |05 37 47.60|-69 10 20.0|2002-08-23 17:55:19|ACIS-S  |NONE   |   50620|GO  |Wang       | 2003-08-30|             6.878 (84.56791666666669,-69.0658)|
| 6099|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-09-01 23:07:32|ACIS-S  |LETG   |   50610|GO  |McCray     | 2005-09-03|            19.330 (84.56791666666669,-69.0658)|
| 4615|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-07-22 02:40:05|ACIS-S  |NONE   |   50170|GO  |Burrows    | 2005-07-27|            19.330 (84.56791666666669,-69.0658)|
|15810|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2014-09-20 08:34:37|ACIS-S  |HETG   |   50090|GO  |Burrows    | 2015-09-22|            19.330 (84.56791666666669,-69.0658)|
|20793|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2017-09-21 21:14:15|ACIS-S  |HETG   |   50090|GO  |Burrows    | 2018-09-25|            19.330 (84.56791666666669,-69.0658)|
| 2831|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2001-12-12 14:57:57|ACIS-S  |NONE   |   50040|GO  |Burrows    | 2002-12-20|            19.330 (84.56791666666669,-69.0658)|
|16445|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-05-27 00:17:06|ACIS-I  |NONE   |   49940|GO  |Townsley   | 2015-05-28|             3.137 (84.56791666666669,-69.0658)|
| 3829|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2002-12-31 03:04:04|ACIS-S  |NONE   |   49660|GO  |Burrows    | 2004-01-06|            19.330 (84.56791666666669,-69.0658)|
|16442|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-10-25 13:37:37|ACIS-I  |NONE   |   48970|GO  |Townsley   | 2014-10-27|             3.137 (84.56791666666669,-69.0658)|
|18750|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2016-01-20 00:40:22|ACIS-I  |NONE   |   48940|GO  |Townsley   | 2016-01-21|             3.137 (84.56791666666669,-69.0658)|
|16446|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-06-02 11:49:07|ACIS-I  |NONE   |   48160|GO  |Townsley   | 2015-06-05|             3.137 (84.56791666666669,-69.0658)|
|23198|observed  |SNR 1987A           |05 35 28.00|-69 16 11.1|2020-03-28 12:52:52|HRC-S   |LETG   |   48160|GO  |Burrows    | 2021-03-31|            19.330 (84.56791666666669,-69.0658)|
|  124|archived  |SN 1987A            |05 35 28.30|-69 16 13.0|1999-10-06 03:30:30|ACIS-S  |HETG   |   47930|GTO |Garmire    | 2000-11-18|            19.329 (84.56791666666669,-69.0658)|
|13239|archived  |SN 1987A            |05 35 28.00|-69 16 11.0|2011-03-06 01:25:39|ACIS-S  |HETG   |   47500|GTO |Canizares  | 2012-03-15|            19.328 (84.56791666666669,-69.0658)|
| 4614|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-01-02 16:27:25|ACIS-S  |NONE   |   47110|GO  |Burrows    | 2005-01-05|            19.330 (84.56791666666669,-69.0658)|
| 6668|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2006-01-28 05:49:28|ACIS-S  |NONE   |   46680|GO  |Burrows    | 2007-01-30|            19.330 (84.56791666666669,-69.0658)|
| 3830|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2003-07-08 04:40:37|ACIS-S  |NONE   |   45910|GO  |Burrows    | 2004-07-11|            19.330 (84.56791666666669,-69.0658)|
|16615|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-15 08:23:38|ACIS-I  |NONE   |   45750|GO  |Townsley   | 2014-05-16|             3.137 (84.56791666666669,-69.0658)|
| 9581|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-04 08:37:28|ACIS-S  |LETG   |   45540|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
|17312|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-08-22 06:20:12|ACIS-I  |NONE   |   45470|GO  |Townsley   | 2014-08-23|             3.137 (84.56791666666669,-69.0658)|
| 5363|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-09-05 00:20:43|ACIS-S  |LETG   |   45240|GO  |McCray     | 2005-09-03|            19.330 (84.56791666666669,-69.0658)|
|16621|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-06-14 14:45:35|ACIS-I  |NONE   |   44970|GO  |Townsley   | 2014-06-16|             3.137 (84.56791666666669,-69.0658)|
|16195|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-24 14:08:21|ACIS-I  |NONE   |   44970|GO  |Townsley   | 2014-05-27|             3.137 (84.56791666666669,-69.0658)|
| 2832|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2002-05-15 05:54:25|ACIS-S  |NONE   |   44840|GO  |Burrows    | 2003-05-21|            19.330 (84.56791666666669,-69.0658)|
| 9582|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-05 16:58:54|ACIS-S  |LETG   |   44740|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
|13735|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2012-03-28 20:58:47|ACIS-S  |HETG   |   44680|GO  |Burrows    | 2013-04-02|            19.330 (84.56791666666669,-69.0658)|
| 9144|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2008-07-01 18:00:08|ACIS-S  |HETG   |   43590|GO  |Burrows    | 2009-07-03|            19.330 (84.56791666666669,-69.0658)|
| 7263|archived  |30 Doradus          |05 38 42.40|-69 06 02.0|2006-01-22 16:50:47|ACIS-I  |NONE   |   43080|GO  |Townsley   | 2007-01-31|             3.127 (84.56791666666669,-69.0658)|
|19882|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2016-09-23 11:36:59|ACIS-S  |HETG   |   42610|GO  |Burrows    | 2017-09-26|            19.330 (84.56791666666669,-69.0658)|
|22849|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2019-09-18 02:11:29|ACIS-S  |HETG   |   42590|GO  |Burrows    | 2020-09-19|            19.330 (84.56791666666669,-69.0658)|
|21304|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2019-09-17 04:06:48|ACIS-S  |HETG   |   42590|GO  |Burrows    | 2020-09-19|            19.330 (84.56791666666669,-69.0658)|
|17562|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-12-25 15:09:54|ACIS-I  |NONE   |   42570|GO  |Townsley   | 2014-12-29|             3.137 (84.56791666666669,-69.0658)|
|21042|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-03-23 08:33:59|ACIS-S  |HETG   |   42040|GO  |Park       | 2019-04-02|            19.330 (84.56791666666669,-69.0658)|
|16444|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-12-27 22:57:52|ACIS-I  |NONE   |   41970|GO  |Townsley   | 2014-12-29|             3.137 (84.56791666666669,-69.0658)|
|16203|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-09-02 12:46:04|ACIS-I  |NONE   |   41950|GO  |Townsley   | 2014-09-03|             3.137 (84.56791666666669,-69.0658)|
|19925|archived  |30 Dor C            |05 35 46.50|-69 09 40.0|2017-05-12 17:08:40|ACIS-S  |NONE   |   41110|GO  |Kavanagh   | 2018-05-15|            14.525 (84.56791666666669,-69.0658)|
|17904|archived  |30 Dor C            |05 35 46.50|-69 09 40.0|2017-05-03 14:34:51|ACIS-S  |NONE   |   41010|GO  |Kavanagh   | 2018-05-15|            14.525 (84.56791666666669,-69.0658)|
| 5549|archived  |SNR 0540-69.3       |05 40 11.20|-69 19 55.1|2006-02-15 11:29:55|ACIS-S  |NONE   |   40360|GO  |Park       | 2007-02-19|            18.950 (84.56791666666669,-69.0658)|
| 6669|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2006-07-27 21:33:13|ACIS-S  |NONE   |   40180|GO  |Burrows    | 2007-07-30|            19.330 (84.56791666666669,-69.0658)|
| 9589|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-14 22:21:28|ACIS-S  |LETG   |   40040|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
| 7270|archived  |SNR 0540-69.3       |05 40 11.20|-69 19 55.1|2006-02-16 16:58:25|ACIS-S  |NONE   |   39980|GO  |Park       | 2007-02-19|            18.950 (84.56791666666669,-69.0658)|
|16199|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-03-27 20:25:58|ACIS-I  |NONE   |   39970|GO  |Townsley   | 2015-03-30|             3.137 (84.56791666666669,-69.0658)|
|16198|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-06-11 20:19:43|ACIS-I  |NONE   |   39970|GO  |Townsley   | 2014-06-12|             3.137 (84.56791666666669,-69.0658)|
