#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS
288,EM* MWC 685,Classical,01 11 55.19,59 18 05.65,11.28,Be,,1
289,BD+60 180,Classical,01 12 11.16,61 19 33.11,9.25,B0pe,,2
290,IPHAS J011216.30+615051.2,Classical,01 12 16.30,61 50 51.22,,,,0
291,IPHAS J011234.21+630432.5,Classical,01 12 34.21,63 04 32.48,,B9,,0
292,IPHAS J011402.43+625735.3,Classical,01 14 02.43,62 57 35.32,,B1,,0
293,IPHAS J011543.99+660116.2,Classical,01 15 43.99,66 01 16.21,,B3IV,,0
294,IPHAS J011604.41+630926.7,Classical,01 16 04.41,63 09 26.71,,,,0
295,V764 Cas,Classical,01 17 26.29,57 37 55.49,6.891,B2IIIne,,359
296,HD 7720,Classical,01 18 27.09,61 53 34.49,8.86,B5IIe,,169
297,CAS GAM-1,Classical,01 18 31.90,63 44 24.00,15.19,Be,,0
298,HD 236689,Classical,01 18 33.08,58 22 30.50,9.47,B1.5Vpe,,2
299,BD+57 243,Classical,01 18 54.12,58 12 06.86,9.63,B0IVe,,2
300,IPHAS J011918.18+642233.8,Classical,01 19 18.18,64 22 33.82,,,,0
301,RX J0119.6-7330,Classical,01 19 37.61,-73 30 06.12,,Be,,0
302,BD+56 251,Classical,01 20 48.96,57 26 16.80,10.29,Be,,1
303,IPHAS J012158.75+642813.1,Classical,01 21 58.75,64 28 13.12,,B4V,,0
304,EM* AS 16,Classical,01 22 32.56,61 32 58.26,10.9,Bpe,,1
305,BD+56 259,Classical,01 23 19.51,57 38 54.96,10.37,Be,,1
306,IPHAS J012320.11+635830.9,Classical,01 23 20.11,63 58 30.90,,B3V,,0
307,IPHAS J012325.80+642638.7,Classical,01 23 25.80,64 26 38.69,,,,0
308,IPHAS J012339.47+631544.2,Classical,01 23 39.47,63 15 44.21,,,,0
309,IPHAS J012339.76+635313.0,Classical,01 23 39.76,63 53 12.98,,B5V,,0
310,IPHAS J012358.07+652615.4,Classical,01 23 58.07,65 26 15.40,,B7,,0
311,EM* VES 704,Classical,01 24 01.04,58 50 36.10,11.16,Be,,1
312,IPHAS J012405.46+660100.0,Classical,01 24 05.46,66 01 00.01,,B6IV,,0
313,IPHAS J012416.76+633011.7,Classical,01 24 16.76,63 30 11.70,,B3,,0
314,BD+62 245,Classical,01 24 19.39,62 49 37.92,10.15,B1Vpe,,1
315,BD+59 246,Classical,01 24 29.14,60 17 23.23,9.43,Be,,3
316,IPHAS J012540.54+623025.6,Classical,01 25 40.54,62 30 25.60,,B5V B5,,0
317,IPHAS J012609.29+651618.0,Classical,01 26 09.29,65 16 18.01,,B4III,,0
318,IPHAS J012634.69+641850.9,Classical,01 26 34.69,64 18 50.90,,B3,,0
319,IPHAS J012703.28+634333.3,Classical,01 27 03.28,63 43 33.31,,B3V,,0
320,BD+59 250,Classical,01 27 18.48,60 06 53.63,10.6,B2Ve,,4
321,IPHAS J012745.08+625154.3,Classical,01 27 45.08,62 51 54.29,,B3,,0
322,IPHAS J012751.32+655104.2,Classical,01 27 51.32,65 51 04.21,,B7V,,0
323,BD+58 247,Classical,01 29 24.35,59 05 57.38,10.04,B1e,,1
324,IPHAS J013000.21+631044.6,Classical,01 30 00.21,63 10 44.62,,,,0
325,EM* GGA 50,Classical,01 31 48.13,60 33 32.90,10.81,B2Ve,,1
326,IPHAS J013213.90+623717.2,Classical,01 32 13.90,62 37 17.18,,B4,,0
327,IPHAS J013245.71+645233.3,Classical,01 32 45.71,64 52 33.31,,B3V,,0
328,EM* AS 25,Classical,01 33 28.74,59 30 02.20,10.7,BVnne,,1
329,IPHAS J013422.61+624459.7,Classical,01 34 22.61,62 44 59.71,,B6,,0
330,BD+62 271,Classical,01 34 49.08,63 37 35.83,8.58,B8Ve,,76
331,EM* AS 28,Classical,01 35 15.69,61 23 04.61,10.76,B2Vnne,,1
332,BD+60 274,Classical,01 35 37.69,61 16 49.30,10.66,B3IIIe,,0
333,HD 9709,Classical,01 36 03.09,47 06 52.10,7.07,B9e,350,334
334,HD 9612,Classical,01 37 22.22,74 18 03.44,6.589,B9Ve,270,179
335,IPHAS J013739.40+613258.8,Classical,01 37 39.40,61 32 58.81,,,,0
336,ACHERNAR,Classical,01 37 42.85,-57 14 12.31,0.5,B6Vpe,235,102
337,IPHAS J013819.58+635306.0,Classical,01 38 19.58,63 53 06.00,,B3,,0
338,IPHAS J013825.56+635008.5,Classical,01 38 25.56,63 50 08.48,,,,0
339,IPHAS J013834.27+634841.3,Classical,01 38 34.27,63 48 41.29,,,,0
340,BD+62 285,Classical,01 39 05.68,63 27 46.34,8.85,B8Ve,,36
341,IPHAS J013920.80+654338.7,Classical,01 39 20.80,65 43 38.71,,B6,,0
342,BD+62 287,Classical,01 40 21.62,63 06 51.89,9.07,B8Ve,,28
343,BD+60 307,Classical,01 41 46.51,61 19 30.06,10.49,B2Ve,,0
344,BD+58 277,Classical,01 42 13.24,59 20 30.40,10.48,Be,,1
345,BD+62 292,Classical,01 42 14.09,63 36 26.88,10.55,B1pe,,2
346,IPHAS J014218.76+624733.5,Classical,01 42 18.76,62 47 33.50,,B5III,,0
347,IPHAS J014238.73+633753.1,Classical,01 42 38.73,63 37 53.11,,,,0
348,IPHAS J014244.86+623056.2,Classical,01 42 44.86,62 30 56.20,,B6,,0
349,IPHAS J014322.19+640118.5,Classical,01 43 22.19,64 01 18.52,,B7,,0
350,phi Per,Classical,01 43 39.64,50 41 19.43,4.09,B2Vpe,440,1592
351,IPHAS J014401.85+640124.5,Classical,01 44 01.85,64 01 24.49,,,,0
352,Cl* NGC 654 STO 104,Classical,01 44 02.90,61 53 20.04,13.49,B0Ve,,0
353,Cl* NGC 654 STO 135,Classical,01 44 44.71,61 49 51.96,12.2,B1Ve,,0
354,IPHAS J014458.15+633244.0,Classical,01 44 58.15,63 32 44.02,,B7IV,,0
355,IPHAS J014458.27+625245.8,Classical,01 44 58.27,62 52 45.80,,,,0
356,BD+62 300,Classical,01 45 06.67,62 49 51.05,9.92,B1Vnpe,,1
357,Cl* NGC 663 G 159,Classical,01 45 11.65,61 10 22.40,,Be,,0
358,V972 Cas,Classical,01 45 18.02,61 06 56.48,10.03,B3IIIe,,4
359,EM* GGA 90,Classical,01 45 18.31,60 58 09.19,12.02,Be,,0
360,IPHAS J014519.02+633559.1,Classical,01 45 19.02,63 35 59.10,,,,0
361,V973 Cas,Classical,01 45 37.77,61 07 59.20,12.1,Be,,1
362,V974 Cas,Classical,01 45 39.64,61 12 59.11,,B2,,0
363,V975 Cas,Classical,01 45 46.44,61 09 20.75,12.71,Be,,3
364,Cl* NGC 663 BG 113,Classical,01 45 47.85,61 16 23.59,13.54,Be,,0
365,V976 Cas,Classical,01 45 56.11,61 12 45.40,11.48,Be,,1
366,V977 Cas,Classical,01 45 59.31,61 12 45.68,10.3,B2IVe,,2
367,Cl* NGC 663 SAN 28,Classical,01 46 02.07,61 15 02.14,13.885,Be,,0
368,V978 Cas,Classical,01 46 06.09,61 13 39.11,8.92,B6e,,96
369,V979 Cas,Classical,01 46 14.01,61 13 43.82,13.1,Be,,1
370,V980 Cas,Classical,01 46 20.22,61 14 21.59,12.1,B8e,,1
371,IPHAS J014620.49+644802.5,Classical,01 46 20.49,64 48 02.48,,B7V B5,,0
372,Cl* NGC 663 BG 82,Classical,01 46 24.41,61 10 37.38,13.52,Be,,0
373,V981 Cas,Classical,01 46 26.83,61 07 41.70,10.65,B2IIIe,,2
374,V982 Cas,Classical,01 46 26.90,61 14 11.16,14,Be,,1
375,BD+60 340,Classical,01 46 27.02,61 10 01.99,10.12,B5IIIe,,1
376,V983 Cas,Classical,01 46 27.66,61 12 25.42,10.69,B5e,,2
377,V984 Cas,Classical,01 46 30.63,61 14 29.26,12.1,B8e,,1
378,V985 Cas,Classical,01 46 35.54,61 15 47.88,10.31,B3Ve,,1
379,Cl* NGC 663 SAN 17,Classical,01 46 35.60,61 13 39.07,11.74,Be,,1
380,Cl* NGC 663 SAN 20,Classical,01 46 57.53,61 01 40.40,11.41,Be,,0
381,Cl* NGC 663 SAN 21,Classical,01 46 59.55,61 12 29.81,13.44,Be,,0
382,V831 Cas,Classical,01 47 00.17,61 21 23.69,11.34,B1IVe,,68
383,V986 Cas,Classical,01 47 03.70,61 17 32.21,12.2,B2.5Ve,,0
384,Cl* NGC 663 L 717,Classical,01 47 17.46,61 13 18.19,,Be,,0
385,Cl* NGC 663 PUM II-222,Classical,01 47 26.79,61 08 43.93,11.53,Be,,1
386,Cl* NGC 663 SAN 26,Classical,01 47 39.34,61 18 20.70,12.42,Be,,0
387,IPHAS J014807.07+631613.2,Classical,01 48 07.07,63 16 13.19,,,,0
388,Cl* NGC 663 SAN 27,Classical,01 48 23.07,61 15 52.99,10.8,B2Ve,,0
389,IPHAS J014843.39+642854.4,Classical,01 48 43.39,64 28 54.41,,,,0
390,IPHAS J014905.20+624912.3,Classical,01 49 05.20,62 49 12.29,,B3IV,,0
391,IPHAS J015001.17+642219.7,Classical,01 50 01.17,64 22 19.70,,,,0
392,SK 197,Classical,01 50 16.80,-74 05 60.00,13.38,O8.5Ve,,0
393,IPHAS J015022.92+652743.2,Classical,01 50 22.92,65 27 43.20,,B6,,0
394,IPHAS J015030.72+634132.5,Classical,01 50 30.72,63 41 32.50,,B9,,0
395,IPHAS J015037.70+644447.0,Classical,01 50 37.70,64 44 47.00,,B4V,,0
396,IPHAS J015105.68+611602.6,Classical,01 51 05.68,61 16 02.60,,B7,,0
397,IPHAS J015109.13+641421.8,Classical,01 51 09.13,64 14 21.80,,,,0
398,BD+59 334,Classical,01 51 09.32,60 26 10.84,10.58,B0Ve,,1
399,IPHAS J015213.08+624813.6,Classical,01 52 13.08,62 48 13.61,,B7,,0
400,IPHAS J015221.93+635739.6,Classical,01 52 21.93,63 57 39.60,,,,0
401,HD 232552,Classical,01 52 26.09,55 19 53.74,7.94,B0pe,,160
402,BD+60 368,Classical,01 52 26.31,60 49 54.37,10.46,B1IIIe,,0
403,IPHAS J015246.27+630315.0,Classical,01 52 46.27,63 03 15.01,,B8-9III,,0
404,IPHAS J015307.22+650110.4,Classical,01 53 07.22,65 01 10.42,,B5,,0
405,IPHAS J015314.56+620241.5,Classical,01 53 14.56,62 02 41.50,,B6,,0
406,IPHAS J015329.19+643128.1,Classical,01 53 29.19,64 31 28.09,,B7,,0
407,BD+62 261,Classical,01 53 40.80,63 47 60.00,10.46,Bnnpe,,0
408,BD+59 343,Classical,01 53 48.31,60 31 30.29,10.61,B2Vnne,,0
409,eps Cas,Classical,01 54 23.73,63 40 12.36,3.342,B3IIIe,30,526
410,IPHAS J015427.15+612204.7,Classical,01 54 27.15,61 22 04.69,,B4V,,0
411,IPHAS J015510.44+632108.5,Classical,01 55 10.44,63 21 08.50,,,,0
412,HD 11554,Classical,01 55 12.58,57 53 51.43,9.47,B1Vpe,,28
413,IPHAS J015520.62+611752.8,Classical,01 55 20.62,61 17 52.80,,B3,,0
414,IPHAS J015526.12+625056.4,Classical,01 55 26.12,62 50 56.40,,B3,,0
415,V777 Cas,Classical,01 55 42.85,59 16 24.42,7.02,B2Vne,280,616
416,IPHAS J015601.25+633944.1,Classical,01 56 01.25,63 39 44.10,,,,0
417,BD+50 395,Classical,01 56 02.67,50 56 59.26,10.55,Be,,2
418,V548 Per,Classical,01 56 07.14,56 33 15.77,9.81,B1Vpe,,5
419,IPHAS J015613.26+635623.7,Classical,01 56 13.26,63 56 23.71,,B3V B3,,0
420,IPHAS J015627.82+612939.2,Classical,01 56 27.82,61 29 39.19,,B1,,0
421,IPHAS J015630.87+630307.5,Classical,01 56 30.87,63 03 07.49,,B4-5,,0
422,IPHAS J015644.71+653640.6,Classical,01 56 44.71,65 36 40.61,,,,0
423,IPHAS J015645.75+635259.8,Classical,01 56 45.75,63 52 59.81,,B3,,0
424,BD+63 261,Classical,01 57 29.39,64 02 28.14,9.62,Bnnpe,,2
425,IPHAS J015741.35+605313.7,Classical,01 57 41.35,60 53 13.70,,,,0
426,BD+60 393,Classical,01 58 01.14,61 34 28.29,10.7,B2pe,,0
427,IPHAS J015804.46+653020.6,Classical,01 58 04.46,65 30 20.59,,B4,,0
428,IPHAS J015809.04+615813.6,Classical,01 58 09.04,61 58 13.58,,,,0
429,EM* MWC 433,Classical,01 58 39.11,60 37 43.12,10.14,B1Vpe,,1
430,IPHAS J015918.33+654955.8,Classical,01 59 18.33,65 49 55.81,,B6IV,,0
431,IPHAS J015919.69+645053.4,Classical,01 59 19.69,64 50 53.41,,B4,,0
432,IPHAS J015922.56+635829.2,Classical,01 59 22.56,63 58 29.21,,B2-3V,,0
433,IPHAS J015938.99+643615.4,Classical,01 59 38.99,64 36 15.41,,B5,,0
434,IPHAS J015945.33+630314.9,Classical,01 59 45.33,63 03 14.90,,,,0
435,IPHAS J020037.84+652133.9,Classical,02 00 37.84,65 21 33.91,,,,0
436,IPHAS J020049.43+635944.0,Classical,02 00 49.43,63 59 44.02,,B3,,0
437,IPHAS J020105.33+613403.0,Classical,02 01 05.33,61 34 03.00,,,,0
438,IPHAS J020121.79+630117.3,Classical,02 01 21.79,63 01 17.29,,,,0
439,IPHAS J020136.00+613207.6,Classical,02 01 36.00,61 32 07.58,,B7,,0
440,IPHAS J020203.16+630213.4,Classical,02 02 03.16,63 02 13.42,,,,0
441,V780 Cas,Classical,02 02 36.43,59 41 17.16,8.11,B1Vpe,270,97
442,IPHAS J020252.26+620926.0,Classical,02 02 52.26,62 09 25.99,,,,0
443,IPHAS J020326.01+635943.1,Classical,02 03 26.01,63 59 43.12,,,,0
444,IPHAS J020328.03+624333.8,Classical,02 03 28.03,62 43 33.82,,B7,,0
445,HD 232588,Classical,02 03 45.47,55 06 08.82,9.88,A0e,,29
446,HD 232590,Classical,02 03 48.89,55 07 14.50,8.62,B1.5IIIe,,108
447,HD 236935,Classical,02 04 07.01,58 29 02.09,9.36,B1Vne,180,2
448,IPHAS J020407.85+643122.2,Classical,02 04 07.85,64 31 22.19,,B5,,0
449,BD+61 371,Classical,02 04 10.77,62 23 49.31,10.96,B3IIpe,,0
450,HD 236940,Classical,02 04 48.44,56 15 43.25,9.59,B2e,250,1
451,IPHAS J020504.17+630216.1,Classical,02 05 04.17,63 02 16.12,,,,0
452,IPHAS J020547.47+641051.7,Classical,02 05 47.47,64 10 51.71,,B1,,0
453,EM* AS 53,Classical,02 06 08.40,63 22 12.00,10.24,B0.5pe,,1
454,BD+50 447,Classical,02 06 09.88,51 09 48.46,10.12,Be,,1
455,IPHAS J020618.67+644945.1,Classical,02 06 18.67,64 49 45.08,,,,0
456,IPHAS J020707.67+612422.7,Classical,02 07 07.67,61 24 22.72,,,,0
457,IPHAS J020717.23+645046.2,Classical,02 07 17.23,64 50 46.21,,B3,,0
458,IPHAS J020731.12+634520.4,Classical,02 07 31.12,63 45 20.41,,,,0
459,IPHAS J020734.24+623601.1,Classical,02 07 34.24,62 36 01.12,,B6V,,0
460,HD 12856,Classical,02 07 53.42,57 06 20.47,8.6,B0pe,180,103
461,IPHAS J020753.51+644148.9,Classical,02 07 53.51,64 41 48.91,,,,0
462,IPHAS J020817.76+614220.1,Classical,02 08 17.76,61 42 20.09,,B3,,0
463,IPHAS J020826.27+625745.9,Classical,02 08 26.27,62 57 45.90,,A0,,0
464,IPHAS J020837.59+652028.2,Classical,02 08 37.59,65 20 28.21,,,,0
465,V782 Cas,Classical,02 08 45.44,65 02 14.73,7.622,B6IIe,,191
466,IPHAS J020855.24+631501.1,Classical,02 08 55.24,63 15 01.12,,B3,,0
467,BD+55 521,Classical,02 08 56.10,56 11 47.49,10.56,B6e,400,137
468,IPHAS J020859.72+635536.1,Classical,02 08 59.72,63 55 36.08,,,,0
469,IPHAS J020917.87+613045.2,Classical,02 09 17.87,61 30 45.22,,B9,,0
470,V351 Per,Classical,02 09 25.70,56 59 30.14,8.64,B1IVe,168,87
471,RX J0209.6-7427,Classical,02 09 36.19,-74 27 06.84,14.45,B0Ve,,0
472,IPHAS J021000.05+640838.5,Classical,02 10 00.05,64 08 38.51,,B8,,0
473,IPHAS J021005.63+631100.3,Classical,02 10 05.63,63 11 00.31,,,,0
474,IPHAS J021011.09+652230.2,Classical,02 10 11.09,65 22 30.22,,,,0
475,V783 Cas,Classical,02 10 30.94,64 05 31.14,9.82,Bpe,,31
476,IPHAS J021036.32+611444.0,Classical,02 10 36.32,61 14 44.02,,B8,,0
477,EM* MWC 704,Classical,02 10 41.04,63 40 04.80,12.2,Be,,0
478,IPHAS J021057.06+624700.8,Classical,02 10 57.06,62 47 00.82,,B6,,0
479,IPHAS J021121.67+624707.5,Classical,02 11 21.67,62 47 07.51,,B5V,,0
480,IPHAS J021128.86+634604.0,Classical,02 11 28.86,63 46 04.01,,B6,,0
481,IPHAS J021159.14+615639.9,Classical,02 11 59.14,61 56 39.91,,,,0
482,IPHAS J021202.03+613230.4,Classical,02 12 02.03,61 32 30.41,,,,0
483,IPHAS J021210.42+623242.3,Classical,02 12 10.42,62 32 42.29,,B5,,0
484,BD+57 515,Classical,02 12 42.41,57 41 31.60,9.76,B2pe,,3
485,HD 13429,Classical,02 13 00.51,55 06 39.59,9.19,B3Ve,300,2
486,IPHAS J021320.12+613003.1,Classical,02 13 20.12,61 30 03.10,,,,0
487,IPHAS J021325.98+622043.1,Classical,02 13 25.98,62 20 43.12,,,,0
488,IPHAS J021336.53+601829.1,Classical,02 13 36.53,60 18 29.09,,,,0
489,IPHAS J021352.00+642520.3,Classical,02 13 52.00,64 25 20.32,,B7,,0
490,HD 13561,Classical,02 14 12.11,56 30 00.24,8.85,B8e,,27
491,V549 Per,Classical,02 14 53.11,54 31 54.19,7.86,B2IVe,250,228
492,HD 13669,Classical,02 15 02.61,55 47 35.59,7.9,B3IVe,350,125
493,V787 Cas,Classical,02 15 12.97,64 01 28.02,7.9,B2IIIe,,163
494,IPHAS J021532.96+623236.9,Classical,02 15 32.96,62 32 36.89,,,,0
495,V355 Per,Classical,02 16 04.43,57 44 41.61,9.14,B1Ve,,28
496,HD 13867,Classical,02 16 36.00,49 49 11.54,7.71,B5Ve,70,320
497,V473 Per,Classical,02 16 39.22,56 44 16.07,8.26,B0IIIpe,,32
498,IPHAS J021647.40+642812.9,Classical,02 16 47.40,64 28 12.90,,,,0
499,V356 Per,Classical,02 16 57.71,57 07 48.70,9.2,B0.5IIIne,300,24
500,V358 Per,Classical,02 17 08.22,56 46 11.09,8.5,B1IIIe,250,82
501,HD 13900,Classical,02 17 15.57,56 53 52.84,9.33,B1IVe,,1
502,EM* GGA 148,Classical,02 17 23.67,59 01 26.21,10.47,Bpe,,0
503,IPHAS J021744.41+644335.2,Classical,02 17 44.41,64 43 35.18,,B4,,0
504,V502 Per,Classical,02 17 44.66,56 53 59.96,9.57,B1IIIe,300,3
505,IPHAS J021747.84+643419.9,Classical,02 17 47.84,64 34 19.88,,,,0
506,EM* VES 728,Classical,02 18 02.05,56 51 22.03,11.85,Oe,,0
507,[SHM2002] 4205,Classical,02 18 06.68,56 42 27.90,16.03,Be,,0
508,tet Ari,Classical,02 18 07.54,19 54 04.19,5.575,B9IVe,178,461
509,BD+56 489,Classical,02 18 15.11,57 10 16.16,10.07,B5e,,1
510,BD+56 493,Classical,02 18 18.35,56 51 02.28,9.77,B1Vpe,,1
511,V519 Per,Classical,02 18 32.80,57 12 39.81,9.28,B1Ve,60,2
512,BD+56 511,Classical,02 18 47.92,57 04 02.09,9.11,B3IIIe,,1
513,BD+56 509,Classical,02 18 48.25,57 14 24.90,10.01,B1e,,1
514,Cl* NGC 869 W 284,Classical,02 18 56.82,57 07 43.21,12.053,B3e,,0
515,Cl* NGC 869 W 5,Classical,02 19 04.91,57 08 40.88,13.599,B8e,,0
516,Cl* NGC 869 LAV 1039,Classical,02 19 08.56,57 03 49.10,12.37,B3e,,0
517,NGC 869 1164,Classical,02 19 14.11,57 11 10.21,14.72,A0e,,0
518,Cl* NGC 869 LAV 1095,Classical,02 19 15.60,57 11 19.39,13.62,A0e,,0
519,BD+56 534,Classical,02 19 26.53,57 04 42.22,9.58,B2IIIe,300,3
520,HD 14162,Classical,02 19 27.45,57 08 18.16,9.37,Be,,1
521,Cl* NGC 869 LAV 1166,Classical,02 19 28.87,57 11 24.22,11.645,B2e,,0
522,Cl* NGC 869 LAV 1171,Classical,02 19 28.88,57 07 05.09,11.003,B3IVe,,0
523,NGC 869 1438,Classical,02 19 47.89,57 06 39.31,11.295,B2e,,0
524,IPHAS J022009.76+643605.9,Classical,02 20 09.76,64 36 05.90,,,,0
525,IPHAS J022033.45+625717.4,Classical,02 20 33.45,62 57 17.39,,B4V,,0
526,V503 Per,Classical,02 20 39.03,57 18 43.49,9.65,B1.5IIIe,150,1
527,IPHAS J022045.25+631642.8,Classical,02 20 45.25,63 16 42.82,,,,0
528,IPHAS J022053.65+642835.6,Classical,02 20 53.65,64 28 35.62,,,,0
529,BD+55 589,Classical,02 20 55.01,56 23 21.84,10.6,B2IVe,350,0
530,IPHAS J022100.28+635435.2,Classical,02 21 00.28,63 54 35.21,,,,0
531,IPHAS J022107.83+625754.6,Classical,02 21 07.83,62 57 54.61,,,,0
532,Cl* NGC 884 LAV 1649,Classical,02 21 15.73,57 15 33.91,13.907,B5e,,0
533,V504 Per,Classical,02 21 18.07,57 18 22.10,9.96,B1IIIe,150,4
534,[KW97] 11-2,Classical,02 21 24.86,57 11 52.80,12.236,B2IVe,,0
535,Cl* NGC 884 LAV 1703,Classical,02 21 24.97,57 11 52.19,12.236,B2e,,0
536,NGC 884 2079,Classical,02 21 42.92,57 18 29.02,9.61,Be,,0
537,V506 Per,Classical,02 21 43.35,57 07 32.92,9.45,B1IIIe,200,2
538,Cl* NGC 884 LAV 1822,Classical,02 21 44.40,57 10 52.50,11.706,B3e,,0
539,V424 Per,Classical,02 21 50.80,57 23 11.60,9.39,B1Vpe,100,3
540,V507 Per,Classical,02 21 52.90,57 09 59.18,9.86,B2Ve,,2
541,EM* MWC 709,Classical,02 21 59.15,70 55 53.00,10.18,Be,,2
542,Cl* NGC 884 W 172b,Classical,02 22 02.44,57 09 20.70,10.98,B1Vnpe,,0
543,BD+56 573,Classical,02 22 06.36,57 05 25.05,9.66,B2IIIe,400,1
544,BD+56 579,Classical,02 22 19.13,57 37 13.12,9.5,B7IVe,370,3
545,BD+56 582,Classical,02 22 22.75,57 17 05.01,9.65,B1IIIe,200,3
546,IPHAS J022222.78+623841.9,Classical,02 22 22.78,62 38 41.89,,,,0
547,IPHAS J022227.73+623530.6,Classical,02 22 27.73,62 35 30.59,,B8,,0
548,Cl* NGC 884 LAV 2224,Classical,02 22 47.01,56 58 05.70,10.59,B2IIIe,,1
549,Cl* NGC 884 LAV 2217,Classical,02 22 48.14,57 12 00.79,10.671,B1ne,,0
550,NGC 884 2600,Classical,02 22 57.69,57 23 38.69,12.368,Be,,0
551,HD 14850,Classical,02 23 00.52,-29 37 10.08,8.4,B8Ve,150,5
552,Cl* NGC 884 LAV 2294,Classical,02 23 04.29,57 07 38.78,10.363,Be,,0
553,EM* MWC 448,Classical,02 23 25.00,57 19 03.40,10.718,B2e,,0
554,EM* GGA 166,Classical,02 23 28.23,57 23 25.69,11.19,B1.5Vne,,0
555,BD+58 458,Classical,02 23 29.55,58 57 48.59,9.86,B1pe,500,2
556,Cl* NGC 884 LAV 2425,Classical,02 23 33.06,57 04 32.59,10.54,Oe,,0
557,V361 Per,Classical,02 23 35.44,56 34 27.86,9.58,B0.5Vpe,150,5
558,IPHAS J022337.05+601602.8,Classical,02 23 37.05,60 16 02.78,,B7IV,,0
559,IPHAS J022343.45+603545.6,Classical,02 23 43.45,60 35 45.60,,B7,,0
560,IPHAS J022420.68+624842.5,Classical,02 24 20.68,62 48 42.52,,,,0
561,IPHAS J022502.69+644947.6,Classical,02 25 02.69,64 49 47.60,,B5,,0
562,EM* GGA 168,Classical,02 25 17.81,57 32 45.71,13.6,Be,,1
563,BD+56 612,Classical,02 25 44.97,57 19 12.50,9.43,A0e,200,3
564,IPHAS J022636.00+601401.8,Classical,02 26 36.00,60 14 01.79,,B2V,,0
565,BD+56 624,Classical,02 26 40.56,57 05 33.08,9.78,B3IIIe,270,1
566,IPHAS J022821.67+641216.0,Classical,02 28 21.67,64 12 15.98,,,,0
567,IPHAS J022823.86+631834.8,Classical,02 28 23.86,63 18 34.81,,B3,,0
568,EM* MWC 715,Classical,02 29 16.09,58 35 37.57,10.58,Be,,0
569,V529 Cas,Classical,02 29 43.54,60 40 38.54,8.49,B5Ve,,41
570,BD+59 497,Classical,02 29 49.61,59 51 11.16,10.47,B0Ve,,1
571,IPHAS J022953.81+630742.2,Classical,02 29 53.81,63 07 42.20,,B2III,,0
572,IPHAS J023003.21+643829.4,Classical,02 30 03.21,64 38 29.40,,,,0
573,IPHAS J023031.38+594127.1,Classical,02 30 31.38,59 41 27.10,,B9V,,0
574,IPHAS J023035.11+610005.9,Classical,02 30 35.11,61 00 05.90,,,,0
575,V555 Per,Classical,02 31 19.54,56 53 52.17,9,B1IIIe,280,4
576,IPHAS J023150.04+604952.4,Classical,02 31 50.04,60 49 52.39,,B4,,0
577,IPHAS J023202.89+641033.2,Classical,02 32 02.89,64 10 33.20,,,,0
578,EM* MWC 50,Classical,02 32 11.42,61 21 45.41,10.87,O9Ve,,0
579,IPHAS J023235.10+640522.7,Classical,02 32 35.10,64 05 22.70,,,,0
580,V941 Cas,Classical,02 34 04.70,60 59 14.39,,,,0
581,IPHAS J023411.97+595634.2,Classical,02 34 11.97,59 56 34.19,,B3,,0
582,IPHAS J023431.08+601616.5,Classical,02 34 31.08,60 16 16.50,,B3IV,,0
583,IPHAS J023439.79+641813.4,Classical,02 34 39.79,64 18 13.39,,,,0
584,IPHAS J023536.82+625251.7,Classical,02 35 36.82,62 52 51.71,,,,0
585,HD 15963,Classical,02 36 12.28,58 04 32.04,8.03,A1IIe,300,65
586,IPHAS J023629.19+634245.8,Classical,02 36 29.19,63 42 45.79,,,,0
587,IPHAS J023642.66+614714.8,Classical,02 36 42.66,61 47 14.78,,B5V,,0
588,BD+58 492,Classical,02 36 44.32,59 22 37.05,10.45,Be,250,1
589,IPHAS J023744.52+605352.8,Classical,02 37 44.52,60 53 52.80,,B8V,,0
590,IPHAS J023753.78+620410.0,Classical,02 37 53.78,62 04 09.98,,,,0
591,IPHAS J023758.11+634635.6,Classical,02 37 58.11,63 46 35.62,,B7,,0
592,IPHAS J023809.91+620224.6,Classical,02 38 09.91,62 02 24.61,,B4,,0
593,IPHAS J023841.80+640826.3,Classical,02 38 41.80,64 08 26.30,,,,0
594,HD 16264,Classical,02 38 49.63,57 35 28.70,9.26,B1Ve,,2
595,IPHAS J023948.17+604505.1,Classical,02 39 48.17,60 45 05.11,,,,0
596,BD+57 607a,Classical,02 40 09.23,57 45 41.71,10.73,Be,350,1
597,V615 Cas,Classical,02 40 31.67,61 13 45.61,10.8,B0Ve,,5
598,IPHAS J024054.97+630009.8,Classical,02 40 54.97,63 00 09.79,,B6V,,0
599,IPHAS J024146.73+602532.2,Classical,02 41 46.73,60 25 32.20,,B7V,,0
600,IPHAS J024159.21+600106.0,Classical,02 41 59.21,60 01 05.99,,B7-8V,,0
601,IPHAS J024221.54+593716.4,Classical,02 42 21.54,59 37 16.39,,,,0
602,IPHAS J024252.56+611953.9,Classical,02 42 52.56,61 19 53.90,,B3V,,0
603,IPHAS J024305.60+631614.7,Classical,02 43 05.60,63 16 14.70,,,,0
604,IPHAS J024317.68+603205.5,Classical,02 43 17.68,60 32 05.50,,B7V,,0
605,IPHAS J024332.05+632150.1,Classical,02 43 32.05,63 21 50.11,,B3,,0
606,IPHAS J024405.37+621448.7,Classical,02 44 05.37,62 14 48.70,,A0III,,0
