#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS
73,2E 0051.1-7214,Classical,00 52 55.20,-71 58 05.88,15.53,Be,,0
74,2MASS J00530450-7220495,Classical,00 53 04.53,-72 20 49.30,15.83,B2IIIe,393,0
75,Cl* NGC 330 ELS 049996,Classical,00 53 10.35,-72 20 42.30,15.88,B2IIIe,461,0
76,Cl* NGC 330 ELS 028368,Classical,00 53 11.93,-72 12 04.60,16.61,B2IIIe,499,0
77,Cl* NGC 330 ELS 021152,Classical,00 53 12.66,-72 20 29.50,15.3,B2IIIe,199,0
78,Cl* NGC 330 ELS 083491,Classical,00 53 19.93,-72 22 29.20,15.95,B3IIIe,433,0
79,Cl* NGC 330 ELS 073594,Classical,00 53 21.41,-72 26 08.90,16.13,B2.5IIIe,192,0
80,Cl* NGC 330 ELS 055592,Classical,00 53 22.72,-72 11 55.70,16.68,B3IVe,118,0
81,Cl* NGC 330 ELS 000476,Classical,00 53 23.70,-72 23 43.80,16.36,B2Ve,309,0
82,CXOU J005323.8-722715,Classical,00 53 23.90,-72 27 15.12,16.19,Be,,0
83,2MASS J00532660-7220187,Classical,00 53 26.61,-72 20 18.60,14.97,B2IIIe,185,0
84,Cl* NGC 330 ELS 003789,Classical,00 53 26.69,-72 22 07.40,17.62,B1Ve,492,0
85,Cl* NGC 330 ELS 046388,Classical,00 53 26.98,-72 25 41.40,16.47,B2IVe,330,0
86,[HP2004] 25,Classical,00 53 30.00,-72 27 28.08,,Be,,0
87,[MA93] 693,Classical,00 53 37.08,-72 18 50.60,15.86,B1IIIe,457,0
88,2dFS 952,Classical,00 53 44.01,-72 24 56.30,15.06,B2IVe,188,0
89,Cl* NGC 330 ELS 048289,Classical,00 53 50.65,-72 23 09.20,15.87,B2IVe,253,0
90,[MA93] 720,Classical,00 53 53.66,-72 22 01.40,15.75,B3IIIe,323,0
91,Cl* NGC 330 ELS 038007,Classical,00 53 54.17,-72 19 55.42,17.27,B3Ve,262,0
92,Cl* NGC 330 ELS 065055,Classical,00 53 55.34,-72 26 45.30,14.72,B1IIIe,420,0
93,Cl* NGC 330 ELS 003315,Classical,00 53 58.25,-72 25 02.60,16.06,B2IIIe,302,0
94,Cl* NGC 330 ELS 065746,Classical,00 54 01.89,-72 24 45.57,17.42,B1Ve,362,0
95,Cl* NGC 330 ELS 049746,Classical,00 54 04.69,-72 21 06.30,16.49,B2IIIe,438,0
96,Cl* NGC 330 ELS 051315,Classical,00 54 04.82,-72 18 50.70,17.96,B5Ve,139,0
97,[MA93] 733,Classical,00 54 05.99,-72 13 51.60,15.78,B2IVe,234,0
98,Cl* NGC 330 ELS 026689,Classical,00 54 07.97,-72 14 03.90,17.52,B2Ve,397,0
99,Cl* NGC 330 ELS 026182,Classical,00 54 08.94,-72 14 42.50,17.98,B3IVe,360,0
100,2MASS J00541254-7214478,Classical,00 54 12.37,-72 14 48.00,16.53,B2IVe,146,0
101,Cl* NGC 330 ELS 081260,Classical,00 54 13.12,-72 14 35.60,17.77,B3Ve,227,0
102,Cl* NGC 330 ELS 005045,Classical,00 54 15.01,-72 15 08.80,15.8,B2IVe,226,0
103,Cl* NGC 330 ELS 014271,Classical,00 54 18.13,-72 27 37.15,15.56,B0IIIe,499,0
104,Cl* NGC 330 ELS 045353,Classical,00 54 22.37,-72 27 07.62,15.53,B2IIIe,319,0
105,Cl* NGC 330 ELS 080910,Classical,00 54 24.27,-72 13 49.41,16.74,B2IVe,316,0
106,Cl* NGC 330 ELS 025718,Classical,00 54 27.14,-72 15 15.90,16.87,B2IIIe,264,0
107,Cl* NGC 330 ELS 064745,Classical,00 54 28.85,-72 27 38.11,15.691,B0IVe,447,0
108,2MASS J00543292-7227418,Classical,00 54 32.96,-72 27 41.85,15.42,B2IIIe,213,0
109,RX J0054.5-7228,Classical,00 54 33.10,-72 28 08.04,,Be,,0
110,Cl* NGC 330 ELS 041410,Classical,00 54 33.31,-72 32 11.70,16.37,B1IIIe,496,0
111,X SMC X-2,Classical,00 54 36.19,-73 40 35.04,16.38,B1.5Ve,,0
112,IPHAS J005436.84+630549.8,Classical,00 54 36.84,63 05 49.81,,B2-3V,,0
113,[MA93] 785,Classical,00 54 40.79,-72 27 52.50,16.02,B2IIIe,368,0
114,Cl* NGC 330 ELS 002825,Classical,00 54 41.37,-72 28 02.42,17.43,B1Ve,277,0
115,Cl* NGC 330 ELS 002957,Classical,00 54 45.21,-72 27 13.78,15.28,B2IIIe,239,0
116,Cl* NGC 330 ELS 064576,Classical,00 54 46.29,-72 28 05.00,17.38,B2Ve,308,0
117,Cl* NGC 330 ELS 016486,Classical,00 54 46.42,-72 25 22.76,15.58,B1IIIe,496,0
118,Cl* NGC 330 ELS 085503,Classical,00 54 47.46,-72 27 58.77,16.88,B5IIIe,275,0
119,LIN 267,Classical,00 54 49.56,-72 24 22.35,14.97,B0IVe,370,0
120,LIN 265,Classical,00 54 50.94,-72 22 34.63,,B1IIIe,415,0
121,Cl* NGC 330 ELS 064832,Classical,00 54 54.58,-72 27 23.64,16.79,B3IIIe,300,0
122,RX J0054.9-7245,Classical,00 54 54.70,-72 45 02.16,14.78,O9Ve,,0
123,2MASS J00545932-7227022,Classical,00 54 59.34,-72 27 02.05,15.71,B2IIIe,404,0
124,AzV 162,Classical,00 55 00.85,-72 56 17.30,13.77,Be,,0
125,[MA93] 820,Classical,00 55 08.97,-72 24 37.47,16.24,B2IIIe,306,0
126,Cl* NGC 330 ELS 049780,Classical,00 55 13.49,-72 21 06.75,16.71,B1IVe,446,0
127,Cl* NGC 330 ELS 44,Classical,00 55 13.61,-72 29 13.69,15.5,B2IIIe,135,0
128,2dFS 1061,Classical,00 55 14.50,-72 19 18.60,15.92,B2IIIe,346,0
129,[MA93] 831,Classical,00 55 16.58,-72 15 04.70,15.62,B2IIIe,222,0
130,Cl* NGC 330 ELS 038312,Classical,00 55 18.95,-72 16 56.60,17.72,B7IVe,267,0
131,Cl* NGC 330 ELS 066754,Classical,00 55 21.82,-72 21 33.70,16.09,B2IVe,165,0
132,Cl* NGC 330 ELS 004982,Classical,00 55 24.88,-72 15 30.60,16.29,B2IVe,270,0
133,Cl* NGC 330 ELS 011991,Classical,00 55 25.31,-72 29 56.79,16.28,B2IVe,192,0
134,Cl* NGC 330 KWBBE 278,Classical,00 55 30.79,-72 25 20.30,15.7,B2IIIe,430,0
135,Cl* NGC 330 KWBBE 277,Classical,00 55 30.95,-72 29 36.70,15.84,B2IVe,276,0
136,Cl* NGC 330 KWBBE 1064,Classical,00 55 32.21,-72 29 56.04,16.8,Be,,0
137,Cl* NGC 330 KWBBE 1062,Classical,00 55 32.48,-72 27 52.00,17.29,B2IVe,370,0
138,Cl* NGC 330 ELS 038363,Classical,00 55 33.33,-72 16 22.70,16.54,B1IVe,356,0
139,Cl* NGC 330 KWBBE 2299,Classical,00 55 33.65,-72 26 29.90,17.63,B1Ve,467,0
140,Cl* NGC 330 KWBBE 1054,Classical,00 55 34.70,-72 29 12.84,16.66,Be,,0
141,Cl* NGC 330 ELS 086251,Classical,00 55 35.31,-72 15 11.70,16.86,B2IVe,298,0
142,Cl* NGC 330 KWBBE 1041,Classical,00 55 38.26,-72 27 54.60,17.23,B1IVe,425,0
143,Cl* NGC 330 ELS 025052,Classical,00 55 39.81,-72 16 04.20,17.72,B5IVe,340,0
144,Cl* NGC 330 KWBBE 528,Classical,00 55 40.10,-72 29 44.70,16.36,B2IIIe,316,0
145,Cl* NGC 330 KWBBE 529,Classical,00 55 40.15,-72 26 41.70,16.58,B2IIIe,279,0
146,Cl* NGC 330 KWBBE 522,Classical,00 55 42.62,-72 23 58.20,16.04,B7IIe,89,0
147,Cl* NGC 330 ELS 000643,Classical,00 55 44.49,-72 20 38.00,16.3,B3IVe,280,0
148,Cl* NGC 330 KWBBE 1017,Classical,00 55 44.52,-72 25 43.91,16.99,B1Ve,286,0
149,Cl* NGC 330 ELS 052688,Classical,00 55 47.14,-72 16 34.00,15.49,B2IIIe,279,0
150,Cl* NGC 330 ELS 021886,Classical,00 55 48.57,-72 19 46.88,17.5,B2IVe,409,0
151,Cl* NGC 330 G 68,Classical,00 55 48.78,-72 27 12.70,17.4,B5IVe,317,0
152,Cl* NGC 330 KWBBE 137,Classical,00 55 49.62,-72 25 27.43,14.9,B3IIe,330,0
153,Cl* NGC 330 ELS 022842,Classical,00 55 49.88,-72 18 42.10,17.77,B2IVe,493,0
154,Cl* NGC 330 ELS 053267,Classical,00 55 50.49,-72 15 39.90,17.04,B2IVe,449,0
155,Cl* NGC 330 KWBBE 991,Classical,00 55 52.28,-72 26 03.77,17.23,B2IVe,207,0
156,Cl* NGC 330 ROB B24,Classical,00 55 54.44,-72 28 08.69,14.97,B1IVe,,0
157,Cl* NGC 330 KWBBE 2118,Classical,00 55 55.50,-72 26 58.34,17.53,B3IVe,310,0
158,Cl* NGC 330 KWBBE 509,Classical,00 55 56.32,-72 23 33.30,16.59,B2IIIe,331,0
159,Cl* NGC 330 ELS 004685,Classical,00 55 59.85,-72 17 11.40,16.36,B3IVe,245,0
160,Cl* NGC 330 KWBBE 258,Classical,00 55 59.90,-72 26 21.30,15.62,B3IIIe,262,0
161,Cl* NGC 330 G 109,Classical,00 56 01.51,-72 25 25.78,18.76,B9IIIe,309,0
162,Cl* NGC 330 ARP I-204,Classical,00 56 03.10,-72 27 20.88,15.79,B0Ve,,0
163,2MASS J00560469-7233420,Classical,00 56 04.70,-72 33 41.46,16.26,B2IIIe,325,0
164,2E 0054.4-7237,Classical,00 56 05.21,-72 22 00.12,15.88,Be,,0
165,2dFS 1123,Classical,00 56 05.58,-72 31 25.91,15.6,B2IIIe,246,0
166,Cl* NGC 330 ROB B21,Classical,00 56 06.70,-72 27 37.08,14.47,B2.5IIe,,0
167,Cl* NGC 330 ELS 020211,Classical,00 56 06.80,-72 21 35.34,16.86,B2IVe,337,0
168,Cl* NGC 330 BAL 252,Classical,00 56 07.19,-72 28 13.70,13.46,B2IIIe,318,0
169,Cl* NGC 330 KWBBE 480,Classical,00 56 07.51,-72 27 43.74,16.72,B2IIIe,390,0
170,Cl* NGC 330 ELS 025589,Classical,00 56 08.45,-72 15 28.00,17.97,B3Ve,357,0
171,Cl* NGC 330 ARP 45,Classical,00 56 10.07,-72 27 32.62,14.29,B2IIe,,0
172,Cl* NGC 330 ROB B33,Classical,00 56 10.63,-72 28 13.40,15.82,B2.5Ve,,0
173,IPHAS J005611.62+630350.5,Classical,00 56 11.62,63 03 50.51,,B5V,,0
174,Cl* NGC 330 KWBBE 471,Classical,00 56 11.66,-72 28 41.80,16.34,B2IVe,333,0
175,Cl* NGC 330 KWBBE 242,Classical,00 56 12.13,-72 27 16.90,15.3,B2IIIe,161,0
176,Cl* NGC 330 ELS 004201,Classical,00 56 12.27,-72 19 52.90,16.33,B5IIe,483,0
177,Cl* NGC 330 KWBBE 239,Classical,00 56 14.26,-72 28 30.10,15.99,B3IIIe,315,0
178,Cl* NGC 330 KWBBE 128,Classical,00 56 14.45,-72 23 23.60,15.2,B1IVe,357,0
179,Cl* NGC 330 KWBBE 238,Classical,00 56 14.90,-72 28 47.50,15.41,B3IIe,283,0
180,Cl* NGC 330 ROB B35,Classical,00 56 14.90,-72 28 49.08,15.38,B1.5IIIe,,0
181,Cl* NGC 330 KWBBE 916,Classical,00 56 15.96,-72 25 15.98,16.83,B2IVe,181,0
182,Cl* NGC 330 KWBBE 235,Classical,00 56 16.10,-72 28 00.84,15.76,Be,,0
183,Cl* NGC 330 KWBBE 462,Classical,00 56 16.44,-72 27 56.38,16.88,B1IVe,383,0
184,Cl* NGC 330 ARP 31,Classical,00 56 17.83,-72 27 27.22,14.54,B2.5IIe,,0
185,[MA93] 928,Classical,00 56 17.88,-72 15 05.90,16.23,B2IIIe,266,0
186,Cl* NGC 330 KWBBE 228,Classical,00 56 18.13,-72 27 13.50,15.54,B2IVe,315,0
187,[MA93] 929,Classical,00 56 18.26,-72 17 46.80,16.39,B3IIIe,405,0
188,Cl* NGC 330 ELS 049651,Classical,00 56 19.49,-72 21 17.05,17.86,B5Ve,291,0
189,IPHAS J005619.50+625824.0,Classical,00 56 19.50,62 58 23.99,,B5V,,0
190,Cl* NGC 330 KWBBE 222,Classical,00 56 19.85,-72 28 01.57,15.96,B2IIIe,261,0
191,Cl* NGC 330 KWBBE 442,Classical,00 56 20.25,-72 27 28.70,16.03,B3IIIe,310,0
192,Cl* NGC 330 KWBBE 441,Classical,00 56 20.41,-72 28 06.40,16.1,B2IVe,389,0
193,Cl* NGC 330 KWBBE 219,Classical,00 56 20.81,-72 28 03.00,15.36,Be,,0
194,Cl* NGC 330 KWBBE 882,Classical,00 56 21.39,-72 27 27.89,17.08,B1Ve,384,0
195,Cl* NGC 330 KWBBE 874,Classical,00 56 22.59,-72 25 47.20,16.76,B2IVe,348,0
196,Cl* NGC 330 KWBBE 215,Classical,00 56 23.01,-72 27 53.90,15.24,B2IIIe,96,0
197,Cl* NGC 330 KWBBE 857,Classical,00 56 24.62,-72 26 24.70,16.98,B2IVe,476,0
198,Cl* NGC 330 ELS 023931,Classical,00 56 24.64,-72 17 20.79,17.36,B2IVe,349,0
199,Cl* NGC 330 KWBBE 213,Classical,00 56 25.45,-72 27 07.00,15.49,B2IIIe,73,0
200,Cl* NGC 330 ROB B12,Classical,00 56 25.49,-72 27 09.00,15.37,B2IIIe,,0
201,Cl* NGC 330 ROB A1,Classical,00 56 25.88,-72 27 53.50,14.71,B0.5Ve,,0
202,Cl* NGC 330 ELS 85,Classical,00 56 26.60,-72 26 22.99,16.22,B3IIIe,227,0
203,Cl* NGC 330 KWBBE 211,Classical,00 56 26.60,-72 28 09.40,15.84,B2IIIe,286,0
204,Cl* NGC 330 HSG F1,Classical,00 56 28.17,-72 30 36.80,16.94,B1Ve,475,0
205,Cl* NGC 330 ELS 016544,Classical,00 56 29.10,-72 25 21.50,16.84,B2IVe,344,0
206,Cl* NGC 330 ELS 061950,Classical,00 56 29.96,-72 14 41.70,17.67,B5IIIe,302,0
207,Cl* NGC 330 ELS 075061,Classical,00 56 30.58,-72 16 16.20,17.58,B3IVe,122,0
208,Cl* NGC 330 KWBBE 206,Classical,00 56 31.14,-72 27 57.80,15.6,B3IIIe,284,0
209,Cl* NGC 330 ROB B5,Classical,00 56 31.20,-72 28 00.12,15.47,B2IIIe,,0
210,Cl* NGC 330 KWBBE 203,Classical,00 56 32.26,-72 27 50.17,15.41,B1IIIe,115,0
211,Cl* NGC 330 ROB B6,Classical,00 56 32.30,-72 27 51.84,15.41,B2IIIe,,0
212,Cl* NGC 330 KWBBE 419,Classical,00 56 33.11,-72 27 04.99,16.12,B3IIIe,105,0
213,Cl* NGC 330 KWBBE 818,Classical,00 56 33.33,-72 24 19.80,17.16,B2IVe,202,0
214,Cl* NGC 330 G 115,Classical,00 56 33.90,-72 28 43.92,18.15,B5IVe,268,0
215,Cl* NGC 330 ELS 004026,Classical,00 56 38.66,-72 20 52.80,17.53,B2Ve,498,0
216,Cl* NGC 330 ELS 004509,Classical,00 56 38.77,-72 18 12.67,16.52,B2IVe,101,0
217,gam Cas,Classical,00 56 42.53,60 43 00.27,2.47,B0IVpe,432,9571
218,Cl* NGC 330 KWBBE 111,Classical,00 56 44.31,-72 29 06.29,14.56,B0IIIe,393,0
219,Cl* NGC 330 ELS 003537,Classical,00 56 50.48,-72 23 40.50,16.27,B2IVe,197,0
220,Cl* NGC 330 ELS 078440,Classical,00 56 50.56,-72 15 07.30,15.63,B2IIe,348,0
221,AzV 179,Classical,00 56 51.61,-71 56 16.51,14.76,Be,,0
222,Cl* NGC 330 ELS 067333,Classical,00 56 51.70,-72 19 45.20,16.21,B2IVe,271,0
223,Cl* NGC 330 KWBBE 754,Classical,00 56 54.01,-72 28 50.18,17.05,B1IVe,360,0
224,Cl* NGC 330 ELS 012717,Classical,00 57 05.45,-72 29 16.20,16.48,B2IVe,360,0
225,Cl* NGC 330 ELS 003919,Classical,00 57 06.49,-72 21 30.04,16.95,B1Ve,314,0
226,Cl* NGC 330 ELS 009378,Classical,00 57 08.10,-72 32 40.68,16.51,B3IIIe,349,0
227,Cl* NGC 330 ELS 078928,Classical,00 57 09.69,-72 26 57.50,17.48,B2IVe,139,0
228,RX J0057.4-7325,Classical,00 57 27.00,-73 25 19.55,15.67,Be,,0
229,Cl* NGC 330 ELS 082202,Classical,00 57 30.31,-72 15 58.40,15.76,B5IIIe,265,0
230,Cl* NGC 330 ELS 048047,Classical,00 57 30.58,-72 23 33.23,15.9,B2IVe,224,0
231,CXOU J005736.2-721934,Classical,00 57 35.23,-72 19 30.68,15.97,Be,,0
232,AzV 191,Classical,00 57 37.27,-72 13 09.19,13.69,Be,,0
233,IPHAS J005743.72+640235.6,Classical,00 57 43.72,64 02 35.59,,B5,,0
234,[MLD95] SMC 2,Classical,00 57 44.59,-72 15 27.00,15.3,Be,,0
235,RX J0057.8-7202,Classical,00 57 51.00,-72 02 39.84,15.64,Be,,0
236,RX J0057.9-7156,Classical,00 57 58.20,-71 56 26.16,,Be,,0
237,IPHAS J005809.86+624412.9,Classical,00 58 09.86,62 44 12.91,,,,0
238,RX J0058.2-7231,Classical,00 58 12.70,-72 30 45.00,14.9,Be,,0
239,Cl* NGC 346 KWBBE 377,Classical,00 58 47.50,-72 12 36.61,15.47,Be,,0
240,IPHAS J005859.24+632603.0,Classical,00 58 59.24,63 26 03.01,,B3,,0
241,[M2002] SMC 45438,Classical,00 59 08.32,-72 29 05.10,15,B1Ve,,0
242,2dFS 1373,Classical,00 59 14.35,-72 22 45.19,15.1,B8Ve,,0
243,AzV 228,Classical,00 59 22.15,-72 45 12.71,14.86,Be,,0
244,IPHAS J005926.64+651157.0,Classical,00 59 26.64,65 11 57.01,,B8,,0
245,RX J0059.2-7138,Classical,00 59 35.30,-71 38 02.04,14.01,B1IIIe,,0
246,Cl* NGC 346 KWBBE 259,Classical,00 59 42.79,-72 14 21.84,15.34,Be,,0
247,[MLD95] SMC 14,Classical,01 00 30.19,-72 19 09.12,14.7,Be,,0
248,[HP2004] 39,Classical,01 00 30.19,-72 20 35.16,,Be,,0
249,AzV 256,Classical,01 00 41.95,-72 30 28.69,14.62,Be,,0
250,2dFS 1498,Classical,01 00 42.61,-72 24 56.99,15.3,Be,,0
251,IPHAS J010045.61+631740.4,Classical,01 00 45.61,63 17 40.42,,B4V,,0
252,IPHAS J010051.26+641327.3,Classical,01 00 51.26,64 13 27.30,,,,0
253,IPHAS J010054.58+643729.6,Classical,01 00 54.58,64 37 29.60,,,,0
254,RX J0101.0-7206,Classical,01 01 03.19,-72 06 56.88,15.72,B3.5Ve,,0
255,[MLD95] SMC 18,Classical,01 01 04.70,-72 19 21.00,15.5,Be,,0
256,IPHAS J010107.85+633227.0,Classical,01 01 07.85,63 32 26.99,,,,0
257,BD+63 124,Classical,01 01 12.06,63 57 14.29,10.92,B1Ve,,2
258,RX J0101.3-7211,Classical,01 01 20.81,-72 11 18.96,15.49,Be,,0
259,RX J0101.6-7204,Classical,01 01 29.81,-72 04 01.92,17.7,Be,,0
260,IPHAS J010138.04+641349.9,Classical,01 01 38.04,64 13 49.91,,,,0
261,RX J0101.8-7223,Classical,01 01 52.20,-72 23 26.16,14.61,Be,,0
262,AzV 293,Classical,01 02 07.00,-71 30 03.38,14.19,Be,,0
263,AzV 308,Classical,01 02 39.18,-72 50 56.51,14.1,Be,,0
264,[MLD95] SMC 27,Classical,01 02 40.10,-72 24 34.92,,Be,,0
265,[MLD95] SMC 31,Classical,01 02 58.80,-72 29 15.00,14.5,B0Ve,,0
266,RX J0103.6-7201,Classical,01 03 37.01,-72 01 39.00,14.65,O5Ve,,0
267,V442 And,Classical,01 03 53.36,47 38 32.26,6.82,B2IVe,,13446
268,AzV 344,Classical,01 04 01.67,-71 56 35.48,14.72,Be,,0
269,RX J0104.1-7244,Classical,01 04 07.39,-72 43 59.16,14.1,Be,,0
270,[M2002] SMC 59034,Classical,01 04 21.60,-72 15 42.08,15.4,Be,,0
271,RX J0105.5-7221,Classical,01 04 35.52,-72 21 47.81,15.15,Be,,0
272,[MLD95] SMC 47,Classical,01 05 07.51,-72 23 17.88,13.5,Be,,0
273,RX J0105.3-7210,Classical,01 05 08.90,-72 11 44.02,15.63,Be,,0
274,HD 6343,Classical,01 05 52.98,65 58 15.79,7.257,B8e,,207
275,RX J0105.9-7203,Classical,01 05 54.79,-72 03 54.00,,Be,,0
276,AzV 397,Classical,01 06 06.46,-72 18 02.70,13.49,Be,,0
277,IPHAS J010707.68+625117.0,Classical,01 07 07.68,62 51 16.99,,B5V,,0
278,2E 0105.7-7251,Classical,01 07 09.91,-72 35 35.16,16.6,Be,,0
279,AzV 413,Classical,01 07 12.00,-72 20 60.00,14.99,Be,,0
280,AzV 433,Classical,01 08 09.56,-72 15 56.81,14.38,Be,,0
281,IPHAS J010841.17+615511.8,Classical,01 08 41.17,61 55 11.78,,B6,,0
282,AzV 437,Classical,01 08 44.25,-73 14 50.32,13.54,Be,,0
283,PHL 7196,Classical,01 09 04.80,-20 41 60.00,,Be,,0
284,1H 0103-762,Classical,01 09 15.00,-74 44 39.84,,Be,,0
285,phi And,Classical,01 09 30.13,47 14 30.46,4.252,B7Ve,85,3724
286,IPHAS J010958.80+625229.3,Classical,01 09 58.80,62 52 29.32,,B3III,,0
287,XTE J0111-7317,Classical,01 11 08.40,-73 16 45.84,15.52,B1IVe,,0
