#,Be star,Category,RA,DEC,V,Type,vsini,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,_4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,NHGal,_2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,ra,dec
11,BD+61 39,Classical,00 20 17.44,62 27 49.92,8.85,B0.5IVe,,0.411,-3.302,0.533,0.118,18.6,8.904564,8.980373,8.684611,,7.722842784108185e-13,8.282999992370605,0.014000000432133675,8.140000343322754,0.00800000037997961,7.714000225067139,0.019999999552965164,6.910999774932861,0.05900000035762787,8.183,0.026,8.025,0.051,7.817,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.072666666666667,62.46386666666667
12,IPHAS J002441.72+642137.9,Classical,00 24 41.72,64 21 37.91,,B5III,,0.1689,-1.427,-0.496,0.0,0.0,14.771651,15.575403,13.869103,,3.4749006626702445e-15,11.76099967956543,0.012000000104308128,11.77400016784668,0.00800000037997961,11.560999870300293,0.23000000417232513,8.659000396728516,,12.513,0.025,12.216,0.033,11.956,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1738333333333335,64.36053055555556
13,BD+63 48,Classical,00 26 40.11,64 25 55.42,9.26,B1IIInne,,1.0458,-3.659,-0.168,1.64,1800.0,9.383128,9.327831,8.076145,,4.969945128778402e-13,6.678999900817871,0.017000000923871994,6.367000102996826,0.008999999612569809,5.883999824523926,0.014999999664723873,5.035999774932861,0.03200000151991844,7.218,0.018,6.973,0.027,6.765,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.667125,64.43206111111111
14,IPHAS J002758.97+622906.1,Classical,00 27 58.97,62 29 06.11,,,,0.211,-2.149,-0.555,0.058,1.04,15.032607,15.599983,14.28707,,2.7324988880003847e-15,12.323032687120225,0.0017792853099984028,12.042859356873,0.0034618346090057764,11.42199993133545,0.1340000033378601,9.13700008392334,,13.303,0.025,12.963,0.039,12.722,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.995708333333333,62.485030555555554
15,BD+55 81,Classical,00 28 12.04,56 23 47.53,10.02,B1.5Vnne,,0.4522,-3.546,-1.802,0.158,41.8,10.03783,10.060594,9.946081,,2.719385602445515e-13,9.92199993133545,0.010999999940395355,9.946999549865723,0.00800000037997961,9.920000076293945,0.0430000014603138,8.861000061035156,,9.906,0.022,9.911,0.019,9.92,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.050166666666667,56.39653611111111
16,IPHAS J002843.24+615216.2,Classical,00 28 43.24,61 52 16.21,,,,0.2453,-1.582,-0.774,0.0,0.0,14.475029,14.843826,13.909467,,4.566581299759165e-15,12.458999633789062,0.013000000268220901,12.407999992370605,0.008999999612569809,11.559000015258789,0.12399999797344208,9.661999702453613,,13.156,0.025,12.987,0.036,12.783,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.180166666666667,61.87116944444445
17,IPHAS J002926.93+630450.2,Classical,00 29 26.93,63 04 50.20,,B7V B6,,0.3383,-2.649,-0.774,0.0,0.0,14.148559,14.436487,13.688206,,6.168494671049786e-15,12.843000411987305,0.014000000432133675,12.904000282287598,0.010999999940395355,11.899999618530273,0.15399999916553497,8.770999908447266,,13.105,0.021,12.983,0.033,12.808,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.362208333333333,63.08061111111111
18,BD+62 89,Classical,00 29 49.25,63 04 04.01,10.25,B0Vpe,,0.3489,-2.992,-0.954,0.066,5.79,9.908119,10.191108,9.435628,,3.06446872814534e-13,8.265000343322754,0.012000000104308128,8.145000457763672,0.00800000037997961,7.828000068664551,0.01899999938905239,7.381999969482422,0.08399999886751175,8.882,0.021,8.686,0.028,8.471,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.455208333333333,63.06778055555556
19,BD+61 105,Classical,00 31 19.20,62 25 39.40,9.34,O9Ve,,0.3475,-2.363,-1.646,0.116,21.3,9.199072,9.332951,8.91648,,5.888083956908838e-13,8.585000038146973,0.013000000268220901,8.614999771118164,0.00800000037997961,8.61400032043457,0.026000000536441803,9.5600004196167,,8.654,0.023,8.636,0.029,8.605,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.83,62.42761111111111
20,HD 2789,Classical,00 32 02.84,67 09 40.08,8.36,B3Vne,,1.9722,5.308,1.861,0.162,22.2,8.241121,8.405154,7.930303,,1.422834522088496e-12,7.448999881744385,0.01600000075995922,7.2270002365112305,0.008999999612569809,7.797999858856201,0.01899999938905239,7.741000175476074,0.15800000727176666,7.577,0.02,7.519,0.042,7.412,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.011833333333334,67.16113333333334
