angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_Gaia,_DEJ2000_Gaia,source_id,parallax,pmra,pmdec,Gflux,Gmag,BPflux,BPmag,RPflux,RPmag,radial_velocity,teff_val,a_g_val,radius_val,lum_val
0.508198,25,BD+61 122,Classical,00 35 00.31,62 26 53.88,10.39,B2Vpe,,2,8.7514915,62.4481933,430684721859552000,0.3095,-2.555,-0.591,1.10802E+06,10.577,7.07334E+05,10.727327,6.25181E+05,10.271906,,7648.74,1.242,12.22,460.263
0.053454,26,EM* AS 3,Classical,00 35 42.33,68 42 26.27,10.67,Be,,1,8.926390229,68.70728344,529645887951575000,1.0915,-1.009,-1.507,1.09288E+06,10.591937,6.34366E+05,10.845539,6.72674E+05,10.192409,,6390,1.5733,4.86,35.515
0.770517,27,IPHAS J003559.27+664503.3,Classical,00 35 59.27,66 45 03.31,,A0V,,0,8.996717577,66.75072767,527749707136081000,0.4116,-2.987,0.297,7.32125E+03,16.026903,2.95742E+03,16.674105,6.55728E+03,15.220111,,4392,,2.62,2.293
0.577376,28,IPHAS J004014.89+651644.0,Classical,00 40 14.89,65 16 44.00,,B2V,,0,10.06228681,65.27876555,527492700591664000,0.3525,-1.723,0.266,2.02837E+04,14.920498,9.16868E+03,15.445621,1.91587E+04,14.056007,,4819.07,,,
0.461427,29,IPHAS J004121.36+650413.5,Classical,00 41 21.36,65 04 13.51,,,,0,10.33912337,65.07030229,527485721264160000,0.293,-2.225,0.622,5.32687E+04,13.872186,2.43686E+04,14.384312,4.44050E+04,13.143341,,4924,,7.21,27.533
0.225468,30,EM* MWC 674,Classical,00 42 26.51,64 03 00.17,10.848,B0IIIpe,,1,10.61031523,64.05004615,523961000528617000,0.3506,-2.716,-0.393,1.54190E+06,10.218228,6.29863E+05,10.853273,1.31670E+06,9.463202,,4709.96,,36.49,590.296
0.083653,31,EM* LkHA 201,Classical,00 43 25.34,61 38 23.39,14.3,B3Ve,,0,10.85559094,61.6398076,427582411138427000,0.3377,-1.547,-1.398,1.16422E+05,13.02328,3.84981E+04,13.887791,1.17263E+05,12.089013,,4029,1.1323,16.69,66.125
0.437666,32,EM* LkHA 202,Classical,00 43 49.64,62 15 22.90,14,Be,,0,10.95708094,62.25639976,427629728800278000,0.448,-1.872,-0.693,2.32965E+05,12.270139,8.44400E+04,13.035017,2.23687E+05,11.387817,,4338,0.699,14.07,63.165
0.070638,34,EM* AS 4,Classical,00 44 42.19,63 54 28.02,10.58,B1IVpe,,1,11.17575861,63.90777016,524037416587647000,0.2292,-1.846,0.149,1.44056E+06,10.292036,6.76930E+05,10.775028,1.10152E+06,9.656937,,4957.33,,47.09,1206.74
0.202208,35,omi Cas,Classical,00 44 43.52,48 17 03.71,4.477,B5IIIe,195,550,11.18124895,48.28436527,390548351252549000,4.7046,29.756,-8.151,3.40969E+08,4.356579,2.41404E+08,4.394526,1.49818E+08,4.323012,,8895.5,0.541,,
