angDist_x,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,RA_XMM,DE_XMM,Source,4XMM,RA_ICRS,DE_ICRS,srcML,Flux8,e_Flux8,HR1,HR2,HR3,HR4,ext,Var_flag,S,Nd,xcatDBdet,xcatDB,IRAP,angDist_y,RA_CSC,DE_CSC,2CXO,RAICRS,DEICRS,r0,r1,PA,fe,fc,fp,fv,fst,fs,fa,fi,fr,fm,ff,fVi,Ns,PFluxb,PFluxh,PFluxm,PFluxs,PFluxu,PFluxw,PF90b,PF90h,PF90m,PF90s,PF90u,PF90w,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,F90b,F90h,F90m,F90s,F90u,F90w,PFavgb,PFavgh,PFavgm,PFavgs,PFavgu,PFavgw,PF90avgb,PF90avgh,PF90avgm,PF90avgs,PF90avgu,PF90avgw,Favgb,Favgh,Favgm,Favgs,Favgu,Favgw,F90avgb,F90avgh,F90avgm,F90avgs,F90avgu,F90avgw,Ldet,LClass,S/N,NHGal,HRhm,HRhs,HRms,fdw,Nac,ExpAC,Nhrc,ExpHRC
0.59504,258,RX J0101.3-7211,Classical,01 01 20.81,-72 11 18.96,15.49,Be,,0,15.33617194,-72.18862,201231102010007.0,J010120.6-721119,15.336172,-72.18862,4008.55,5.36326e-13,1.0185e-14,0.666565,0.450191,0.16765,0.05828,0.0,1.0,1.0,17.0,xcatDBdet,xcatDB,IRAP,0.68883,15.336083058,-72.18859449,J010120.6-721118,15.3360831,-72.1885945,0.778,0.747,84.36,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,3032.542,TRUE,26.796999999999997,6.85,,,,1.0,21.0,183264.645,1.0,19924.971999999998
0.52958,287,XTE J0111-7317,Classical,01 11 08.40,-73 16 45.84,15.52,B1IVe,,0,17.785375,-73.2795,206012125010015.0,J011108.4-731646,17.785375,-73.2795,201.418,3.7969499999999997e-14,7.096139999999999e-15,0.484245,0.21011999999999997,-0.076779,-0.276336,0.0,0.0,0.0,2.0,xcatDBdet,xcatDB,IRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.717746,336,ACHERNAR,Classical,01 37 42.85,-57 14 12.31,0.5,B6Vpe,235.0,102,24.42781611,-57.23702389,204021201010001.0,J013742.6-571413,24.427816,-57.237024,12330.5,5.84488e-13,1.36749e-14,0.5354,-0.600626,-0.8590620000000001,-0.635355,0.0,0.0,0.0,1.0,xcatDBdet,xcatDB,IRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.233107,382,V831 Cas,Classical,01 47 00.17,61 21 23.69,11.34,B1IVe,,68,26.750835,61.35655806,202011601010001.0,J014700.2+612123,26.750835,61.35655799999999,276678.0,2.54422e-11,1.79663e-13,0.819435,0.7256859999999999,0.104715,-0.170784,0.0,1.0,1.0,1.0,xcatDBdet,xcatDB,IRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21602600000000002,465,V782 Cas,Classical,02 08 45.44,65 02 14.73,7.622000000000001,B6IIe,,191,32.18933111,65.037485,201025808010005.0,J020845.4+650214,32.189331,65.037485,1129.54,7.12868e-12,3.445e-13,1.0,0.812409,0.570491,0.39774499999999996,0.0,0.0,0.0,1.0,xcatDBdet,xcatDB,IRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4916719999999999,536,NGC 884 2079,Classical,02 21 42.92,57 18 29.02,9.61,Be,,0,35.42911694,57.30844611,202011603010111.0,J022142.9+571830,35.429117,57.308445999999996,16.3797,5.39244e-15,3.2567300000000004e-15,0.845557,-0.062795,-0.574056,-1.0,0.0,0.0,0.0,1.0,xcatDBdet,xcatDB,IRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10917400000000001,597,V615 Cas,Classical,02 40 31.67,61 13 45.61,10.8,B0Ve,,5,40.13194111,61.22930694,201124301020001.0,J024031.6+611345,40.131941,61.22930699999999,427555.0,9.93006e-12,2.4099400000000003e-14,0.8114520000000001,0.668485,-0.06903,-0.40524299999999996,0.0,1.0,1.0,13.0,xcatDBdet,xcatDB,IRAP,0.438561,40.132071074,61.229227041,J024031.6+611345,40.132071100000005,61.229227,0.713,0.711,10.87,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005017677932658701,0.00023733950803748,7.7537739326937e-05,3.4346967141606e-05,3.4257846909586e-05,,0.00048821743857143,0.00023968827261821002,7.481444396557701e-05,3.1486812869134996e-05,2.8815472815346003e-05,,2.2137570962506e-12,1.9868767982223003e-12,2.1074120664767002e-13,5.1745586332554e-14,3.7365182249914e-14,,2.1658291368107e-12,2.0083556296408997e-12,2.0346227841174e-13,4.7430025148345004e-14,3.6485985008657005e-14,,,,,,0.00016756566978346,,,,,,0.00017714057317546,,,,,,3.8606222661676e-14,,,,,,3.8968297254928e-14,,120980.7,TRUE,126.436,88.95,0.50843,0.74703,0.38600999999999996,0.0,2.0,68157.576,0.0,
0.8579559999999999,682,GSC 02342-00359,Classical,03 29 10.32,31 21 59.51,14.25,B5e,,0,52.293240000000004,31.36640889,200658201010005.0,J032910.3+312159,52.293240000000004,31.366409,11525.9,5.754109999999999e-13,1.9337200000000002e-14,0.81782,0.8611260000000001,-0.202441,-0.565822,0.0,0.0,1.0,1.0,xcatDBdet,xcatDB,IRAP,0.8394010000000001,52.293230863000005,31.36640602,J032910.3+312159,52.2932309,31.366406,0.71,0.71,51.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00011860609703713001,3.410938820384e-05,3.1235899240253e-05,1.0294623546193e-05,9.290047152453599e-06,,0.00011577601980382,3.4145794908462e-05,2.9868035417903998e-05,9.4210960099961e-06,9.872515130828801e-06,,2.7998386543634995e-13,1.9443648839787e-13,7.7173458000748e-14,1.2505027691389e-14,6.0492097896565e-14,,2.7479033805821e-13,1.9389958796225e-13,7.3854122771269e-14,1.1531176418828998e-14,6.3143489776719e-14,,0.00012241566990916,,3.1534488090503005e-05,1.1843250892783e-05,,,0.00011655883321933,,2.9923143406984002e-05,1.1011554015905e-05,,,3.2051212139783e-13,2.2638896385029002e-13,8.2856010093332e-14,1.5492764753943003e-14,2.2333110009453e-14,,3.0692951144845004e-13,2.2290759137912e-13,7.857647762236001e-14,1.4585879869651e-14,,,12570.27,TRUE,44.098,14.77,0.04372,0.53467,0.5021899999999999,0.0,3.0,119319.165,0.0,
0.975482,688,BQ Cam,Classical,03 34 59.89,53 10 23.59,11.3,Be,,0,53.749315,53.172985,205061901010001.0,J033459.8+531022,53.749315,53.172985,565.069,4.1206599999999996e-14,3.67519e-15,0.953155,0.8363790000000001,-0.344656,-0.9938530000000001,0.0,0.0,0.0,1.0,xcatDBdet,xcatDB,IRAP,0.142183,53.749592622,53.17319440399999,J033459.9+531023,53.7495926,53.1731944,0.763,0.757,98.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0522087980844e-05,2.2351421065122e-06,4.1813368292072e-06,8.615847438502701e-07,0.0,,1.0448594694909e-05,2.2695958253266e-06,3.9972096798195e-06,9.256831944163201e-07,0.0,,2.1786870269255998e-14,1.2031261738186e-14,9.5545542425461e-15,1.3272187221408998e-15,,,2.1962994643799e-14,1.2217622070033e-14,9.0037650723139e-15,1.4259298325712e-15,,,1.0522087980844e-05,2.2351421065122e-06,4.1813368292072e-06,8.615847438502701e-07,0.0,,1.0448594694909e-05,2.2695958253266e-06,3.9972096798195e-06,9.256831944163201e-07,0.0,,2.1786870269255998e-14,1.2031261738186e-14,9.5545542425461e-15,1.3272187221408998e-15,,,2.1962994643799e-14,1.2217622070033e-14,9.0037650723139e-15,1.4259298325712e-15,,,244.3035,TRUE,3.818,81.78,-0.27358000000000005,0.49218999999999996,0.6583399999999999,0.0,1.0,5080.443,0.0,
0.768646,705,Menkhib,Classical,03 58 57.90,35 47 27.71,4.06,O7.5IIIe,213.0,4655,59.74115,35.79122806,207709901010001.0,J035857.8+354728,59.74115,35.791228000000004,724620.0,2.6379e-12,5.1575899999999995e-15,0.620686,-0.521706,-0.899642,-0.9873200000000001,0.0,0.0,1.0,2.0,xcatDBdet,xcatDB,IRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
