#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,EDR3Name,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,RVDR2,GLON,GLAT,Tefftemp,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,HR1_x,HR2_x,HR3,HR4,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,HRhm,HRhs,HRms,VaKSb,VaKPb,VaGLb,Vib,_2SXPS,HR1_y,HR2_y,FPO0,FPU0,NH1H,Gamma,flags
679,Cl* Melotte 20 AP 163,Classical,18.81,Be,,0,51.95791666666666,48.079188888888886,679.0,Gaia EDR3 249186099774312320,5.677,23.16,-26.109,0.24,1.89,16.869148,18.709778,15.586233,,148.0524544001,-7.0171986055,,5.034352184350637e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
680,CR Cam,Classical,8.31,B2Ve,,65,52.163291666666666,62.493,680.0,Gaia EDR3 487546103123764736,0.9582,-0.42,0.103,0.287,62.9,8.148563,8.491266,7.578983,,140.0086746531,4.9547711953,,1.5494500983092789e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
681,HD 21362,Classical,5.578,B6Vne,385,308,52.218041666666664,49.84838055555556,681.0,Gaia EDR3 441592667477558912,5.786,22.628,-25.221,0.734,994.0,5.550931,5.52494,5.552907,,147.1863422387,-5.4622415674,,1.6952368876938063e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
682,GSC 02342-00359,Classical,14.25,B5e,,0,52.293000000000006,31.366530555555556,682.0,Gaia EDR3 121406355952875520,,,,2.231,712.0,14.61073,15.517612,12.499799,,158.3039269556,-20.4622286731,,4.030053336062977e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J032910.3+312159,7.70184e-16,7.90655e-15,1.15096e-13,2.1685e-13,2.36485e-13,5.75411e-13,2.7171e-13,0.81782,0.861126,-0.202441,-0.565822,0.024391,0.15574,0.049784,0.0,J032910.3+312159,2.7998386543635e-13,1.9443648839787e-13,7.7173458000748e-14,1.2505027691389e-14,6.0492097896565e-14,0.04372,0.53467,0.50219,0.5881362,0.6192001,0.03629091,,,,,,,,,"BeSS,Gaia,XMM,Chandra"
683,HD 21455,Classical,6.227,B7Ve,150,270,52.3595,46.937866666666665,683.0,Gaia EDR3 242889338420659968,6.0801,23.23,-25.764,0.209,60.8,6.177663,6.236502,6.025448,,148.9317963043,-7.8019896603,,9.517822337842508e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
684,BD+58 610,Classical,9.61,Be,,3,52.745583333333336,59.24431944444444,684.0,Gaia EDR3 450197376754119040,0.9158,-2.264,-0.485,0.076,9.45,9.490285,9.682671,9.1306,,142.0930738973,2.443185924,,4.5028636238330817e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
685,HD 21650,Classical,7.33,B6e,230,196,52.815333333333335,41.72645555555555,685.0,Gaia EDR3 237762796737339776,3.0871,7.489,-5.505,0.201,45.8,7.279357,7.285169,7.208646,,152.2568592063,-11.8683622071,,3.4503249121221822e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
686,HD 21620,Classical,6.28,A0Vne,,160,52.87225,49.20976944444445,686.0,Gaia EDR3 249350103106450048,7.5117,-13.814,-0.591,0.247,95.8,6.269004,6.298172,6.171139,,147.9028302766,-5.7439998203,,8.749861805785577e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
687,HD 21641,Classical,6.773,B8.5Ve,184,124,52.888083333333334,47.86241666666667,687.0,Gaia EDR3 248960223149560960,5.7803,22.389,-26.603,0.235,51.0,6.757468,6.737034,6.747827,,148.6921612053,-6.8395598099,,5.579760959490354e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
688,BQ Cam,Classical,11.3,Be,,0,53.74954166666667,53.17321944444444,688.0,Gaia EDR3 444752973131169664,0.1343,-0.268,0.44,0.0,4.28e-15,14.200214,15.475269,13.086571,,146.0520894228,-2.1940257086,,5.8818940032477205e-15,V 0332+53,"T, P, C",o,BQ Cam,389,,15.1,15.4,,1.6,,2.3,,1.9,,,"137,302,552",11.817,,11.206,,10.744,<,0.5,1250.0,,"730,761",34.25,,4.4,,"547,730,832",O8.5Ve,EXO 0331+530,,,Simbad,J033459.8+531022,2.90905e-17,1.48081e-15,1.51953e-14,2.13503e-14,5.81092e-16,4.12066e-14,3.28363e-14,0.953155,0.836379,-0.344656,-0.993853,,,,0.0,J033459.9+531023,2.1786870269256e-14,1.2031261738186e-14,9.5545542425461e-15,1.3272187221409e-15,,-0.27358,0.49219,0.65834,0.4366976,0.4896339,0.7840941,,,,,,,,,"BeSS,Gaia,HMXB,XMM,Chandra"
689,psi Per,Classical,4.31,B5Ve,275,2198,54.122416666666666,48.19263333333333,689.0,Gaia EDR3 249021589646744704,5.9635,22.449,-26.669,0.928,1350.0,4.12316,4.111847,4.107095,,149.1730047687,-6.0897620555,,6.314497474443296e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
690,CT Cam,Classical,7.69,B2Vne,,429,54.504333333333335,55.170855555555555,690.0,Gaia EDR3 445235933612724864,1.2609,-2.533,-2.072,0.167,22.5,7.572955,7.847035,7.105543,,145.2364169189,-0.3176136001,,2.632817729691464e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
691,EM* StHA 22,Classical,11.71,Be,,0,55.17683333333333,12.94813888888889,691.0,Gaia EDR3 37694252194590976,0.2905,-2.019,-1.646,0.195,40.1,11.893607,11.932911,11.775725,,174.1064697816,-32.6276534404,,4.922208362099177e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
692,HD 22780,Classical,5.541,B7Vne,285,487,55.28275,37.580197222222225,692.0,Gaia EDR3 223338956525307520,5.1404,23.045,-27.782,0.783,1250.0,5.533837,5.49822,5.565142,,156.3731971796,-14.0377073969,,1.722138174768324e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
693,13 Tau,Classical,5.681,B9Vne,235,273,55.57895833333333,19.700255555555554,693.0,Gaia EDR3 57111696260204800,6.2758,4.457,-13.021,0.426,218.0,5.656581,5.648131,5.626885,,168.995937794,-27.5083336392,,1.5380497869508367e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
694,ELECTRA,Classical,3.705,B6IIIe,170,632,56.21891666666667,24.11333611111111,694.0,Gaia EDR3 65271996684817280,8.3457,20.542,-46.081,1.617,3350.0,3.698209,3.645838,3.7338,,166.1806063132,-23.8487588584,,9.33940467843455e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
695,MEROPE,Classical,4.164,B6IVe,240,744,56.581541666666666,23.948355555555555,695.0,Gaia EDR3 65205373152172032,7.067,13.075,-48.404,1.505,3080.0,4.172742,4.148266,4.159457,,166.5701603758,-23.7492821945,,6.03262033746895e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J034619.6+235653,2.0433339370092e-13,0.0,2.2362840281645e-14,1.7991207542327e-13,0.0,-0.84072,-0.98314,-0.81199,0.4829263,0.6961453,0.06165218,,,,,,,,,"BeSS,Gaia,Chandra"
696,ALCYONE,Classical,2.873,B7IIIe,140,1121,56.87116666666667,24.10513611111111,696.0,Gaia EDR3 66714384142368256,,,,1.825,2560.0,2.896132,3.026533,2.87819,,166.6684712154,-23.4553056075,,1.95501454976175e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
697,HD 23552,Classical,6.15,B8Vne,220,158,57.07533333333333,50.73676944444444,697.0,Gaia EDR3 251185497249460224,4.0027,-6.69,-2.819,0.259,110.0,6.154135,6.17818,6.054663,,149.1581888172,-2.9035470178,,9.726325373770597e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
698,PLEIONE,Classical,5.048,B8IVev,290,8394,57.29675,24.13671111111111,698.0,Gaia EDR3 66529975427235712,7.2414,19.496,-47.65,0.685,786.0,5.203287,5.185276,5.218389,,166.9569428712,-23.169501198,,2.335005962489712e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
699,HD 23800,Classical,6.98,B1IVe,,224,57.60445833333334,52.481902777777776,699.0,Gaia EDR3 251618704831632256,1.5179,-1.626,-2.216,0.527,358.0,6.843549,7.012487,6.505849,107.12,148.3253744828,-1.3348282822,6750.0,5.154460239187184e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
700,HD 23982,Classical,8.08,B3e,170,73,58.301833333333335,63.48343611111111,700.0,Gaia EDR3 487177766729716224,1.2494,-1.659,0.924,0.163,29.6,7.970529,8.079799,7.711818,,141.6438576156,7.4252015813,,1.825539329660267e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
701,EM* MWC 465,Classical,10.19,B2IVnne,,2,58.49270833333333,46.89771388888889,701.0,Gaia EDR3 245140004363839488,0.6106,0.91,-2.159,0.12,26.4,10.054214,10.290004,9.63238,,152.3101725956,-5.2962567816,,2.678657541506794e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
702,EM* AS 77,Classical,11.15,Be,,1,58.699708333333334,44.93879722222222,702.0,Gaia EDR3 243987814957241472,0.3832,1.148,-1.598,0.137,29.8,11.014626,11.218205,10.658192,,153.6837151573,-6.7077283853,,1.105993039787343e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
703,V581 Per,Classical,7.78,B1.5Vne,,166,59.084833333333336,44.93748611111111,703.0,Gaia EDR3 243979057523886080,1.1537,-1.427,-2.474,0.13,12.5,7.581543,7.784077,7.216885,,153.8943273333,-6.5329066401,,2.6120747070286765e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
704,HD 24479,Classical,4.946,B9.5Ve,100,363,59.355999999999995,63.07226111111111,704.0,Gaia EDR3 475117464201957888,8.4614,7.146,6.42,0.695,942.0,4.9333,4.90658,4.96904,,142.2766131565,7.4170119103,,2.994213705124506e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
705,Menkhib,Classical,4.06,O7.5IIIe,213,4655,59.74125,35.79103055555556,705.0,Gaia EDR3 219375904303684224,2.4457,0.778,2.621,1.328,3190.0,3.974884,3.970395,3.889252,,160.3722850135,-13.1065215278,,7.238510252836473e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J035857.8+354728,4.65863e-13,1.57962e-12,5.20856e-13,7.21033e-14,1.39604e-15,2.6379e-12,2.61756e-12,0.620686,-0.521706,-0.899642,-0.98732,0.025644,0.045831,0.012009,0.0,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia,XMM"
706,RW Tau,Classical,8.08,B8Ve,,165,60.976333333333336,28.125972222222224,706.0,Gaia EDR3 163742260906017024,3.4691,0.271,-18.651,0.258,66.0,8.024332,8.050814,7.891478,,166.5928476153,-18.0019784882,,1.7372806956753744e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
707,EM* MWC 466,Classical,10.5,Be,,1,61.042,52.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
708,DE Cam,Classical,8.18,B1Vnnpe,,97,61.09016666666667,53.32904722222222,708.0,Gaia EDR3 275918251105986176,0.9518,0.015,-1.106,0.117,13.9,8.226602,8.361385,7.91668,,149.3844159861,0.668850266,,1.4419891541928853e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
709,48 Per,Classical,4.003,B3Ve,197,375,62.165375,47.71251111111111,709.0,Gaia EDR3 246137776809763712,6.3756,21.568,-32.381,1.76,7770.0,3.944419,3.957504,3.87094,,153.65442182,-3.0451450012,,7.444494165537766e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
710,HD 26398,Classical,6.98,B8e,180,218,62.76416666666667,16.646980555555555,710.0,Gaia EDR3 45892863725449344,2.4983,4.74,1.993,0.126,14.9,6.847442,7.068307,6.441654,,176.7359772854,-24.7433691508,,5.1360115756537305e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
711,V584 Per,Classical,8.02,B3e,180,144,63.15195833333333,42.118425,711.0,Gaia EDR3 228998967508598400,1.4301,1.214,-6.165,0.165,17.8,7.852196,7.986755,7.572846,,157.9981132919,-6.6579768164,,2.0357497675911015e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
712,V586 Per,Classical,7.98,B2e,220,58,64.31820833333333,46.23054722222222,712.0,Gaia EDR3 233780159463806592,0.9259,-1.01,-2.404,0.198,26.7,7.872108,7.975719,7.632366,,155.7426316594,-3.1140296226,,1.9987551413644936e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
713,EM* MWC 470,Classical,11.5,Be,,1,64.52379166666667,53.6189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
714,RW Per,Classical,9.72,A5Ve,,26,65.069875,42.314391666666666,714.0,Gaia EDR3 229136921858228096,2.163,-3.965,-5.345,0.207,64.9,9.495915,9.833207,8.955819,,158.883427108,-5.5261835814,,4.4795748107448777e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
715,HD 27846,Classical,8.09,B1.5Ve,,35,66.45837499999999,46.23385555555556,715.0,Gaia EDR3 256832481590779904,1.0451,-1.111,-3.001,0.149,17.1,7.994531,8.154105,7.682188,,156.7882414386,-2.0649666712,,1.785625559818349e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
716,228 Eri,Classical,5.59,B2Vne,342,148,67.278875,-13.048366666666666,716.0,Gaia EDR3 3177730441273211008,2.1159,0.644,-0.794,0.618,877.0,5.358485,5.304082,5.379831,,208.7790909842,-37.4029070595,,2.0239920107132984e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
717,EM* MWC 473,Classical,11.46,Be,,1,69.22829166666666,53.8761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
718,HD 29035,Classical,8.78,B9.5Ve,,82,69.24616666666667,52.28707222222222,718.0,Gaia EDR3 272758671300605952,1.4564,1.043,-1.394,0.114,14.3,8.698602,8.856804,8.389285,,153.6172856864,3.4021915494,,9.336024739712313e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
719,HD 29557,Classical,8.56,B3Ve,355,29,69.567375,-24.65855277777778,719.0,Gaia EDR3 4894509546149521408,1.1167,1.432,4.074,0.357,169.0,8.429947,8.35169,8.528834,,223.6540322496,-39.3616889643,,1.1957048584175295e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
720,V1150 Tau,Classical,7.63,B2.5Vne,,153,69.651,8.175172222222223,720.0,Gaia EDR3 3292440152937351424,1.5735,-0.251,-6.022,0.279,65.0,7.550142,7.556639,7.460431,,188.6424606153,-24.6857364356,,2.68872257669995e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
721,HD 29373,Classical,8.5,B6Ve,,78,69.88745833333334,43.659197222222225,721.0,Gaia EDR3 252768686618258432,1.7637,-2.811,-2.67,0.11,12.7,8.384297,8.527508,8.090071,,160.3279930642,-2.0411317603,,1.247050365197915e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
722,56 Eri,Classical,5.775,B2Ve,213,196,71.02216666666666,-8.503566666666666,722.0,Gaia EDR3 3185907719703247232,1.3187,4.367,1.864,0.454,389.0,5.996994,5.927078,6.034069,,205.722213128,-32.1232437525,,1.1241006369138482e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
723,HD 29866,Classical,6.096,B8IVne,260,444,71.05425,40.78645,723.0,Gaia EDR3 202937964949929472,4.6727,12.432,-25.454,0.232,76.3,6.049207,6.089715,5.912468,,163.0615533468,-3.2835035595,,1.071321927179063e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
724,HD 30123,Classical,8.61,B8e,60,56,71.39454166666667,19.328305555555556,724.0,Gaia EDR3 3410108311089573376,1.718,-1.229,-1.383,0.094,8.66,8.480968,8.679751,8.107904,,180.1090964519,-16.7052557143,,1.140815974604889e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
725,HD 276738,Classical,9.7,B7Ve,,23,71.46383333333334,43.994394444444445,725.0,Gaia EDR3 204803011548313472,1.0302,1.451,-6.051,0.189,46.4,9.604271,9.777517,9.267962,,160.8233368869,-0.9638420074,,4.0540994111469254e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
726,ChOPS J044927.22+450443.8,Classical,,Be,,0,72.36341666666667,45.078830555555555,726.0,Gaia EDR3 206419293641648384,-0.0317,-0.244,-0.609,0.829,413.0,13.81225,14.206302,13.213478,,160.4097489299,0.2261798571,,8.40819536276339e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
727,HD 30677,Classical,6.84,B0IIIe,151,174,72.51504166666666,8.407844444444445,727.0,Gaia EDR3 3289656915346252032,0.618,-2.949,-4.023,0.287,100.0,6.81336,6.774688,6.823972,,190.1807750224,-22.2169033653,,5.299791617156867e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
728,HD 276886,Classical,9.51,Bpe,,3,72.54683333333332,41.67719722222222,728.0,Gaia EDR3 203419551043471744,0.9468,-1.199,-2.64,0.102,14.5,9.175382,9.258663,8.957711,,163.1070586457,-1.8512722905,,6.017969659993372e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
729,2 Ori,Classical,4.353,A1Vne,218,204,72.65299999999999,8.900180555555556,729.0,Gaia EDR3 3289827339649866880,14.9058,1.514,-29.451,1.236,3230.0,4.341834,4.340172,4.274595,,189.8228132838,-21.828611676,,5.162608521047616e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
730,[M2002] LMC 15664,Classical,13.63,Be,,0,73.22,-68.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
731,[O96] D025NE-5,Classical,15.178,B2.2Ve,,0,73.54941666666667,-69.9901388888889,731.0,Gaia EDR3 4655135698638390912,-0.0209,2.033,-0.099,0.1,1.96,15.194972,15.190278,15.242722,,281.4938036677,-35.2775768722,,2.3529570179544182e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
732,[BE74] 496,Classical,,Be,,0,74.85000000000001,-69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
733,[O96] D050NE-1b,Classical,13.993,B0IIIe,,0,74.97791666666666,-70.13533055555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
734,[O96] D050NE-10,Classical,15.787,B2Ve,,0,74.98766666666667,-70.16078055555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
735,V1153 Tau,Classical,8.36,B1Ve,,63,75.56620833333334,24.02916388888889,735.0,Gaia EDR3 3418751571996387712,0.6727,0.846,-1.622,0.15,19.5,8.425382,8.464175,8.301765,,178.6464565041,-10.7810040148,,1.200742807521085e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
736,AL 56,Classical,,Bpe,,0,75.62,-68.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
737,[BE74] 506,Classical,,Be,,0,75.64999999999999,-71.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
738,HD 32188,Classical,6.119,A2IIIshe,23,337,75.82766666666667,41.44164722222222,738.0,Gaia EDR3 200959668654651520,1.0065,-0.227,-1.82,0.169,42.6,6.040819,6.164393,5.771952,,164.8245628351,-0.0813240485,,1.0796306213908382e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
739,HD 32358,Classical,9.34,B6Ve,,57,76.18395833333334,44.95860833333333,739.0,Gaia EDR3 205807067523449984,1.0124,-0.483,-3.522,0.269,76.9,9.508033,9.22461,8.690379,,162.1884972719,2.2619729144,,4.429855846101472e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
740,[BE74] 200,Classical,,Be,,0,76.35,-67.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
741,11 Cam,Classical,5.03,B2.5Ve,95,386,76.53520833333333,58.97237222222222,741.0,Gaia EDR3 283924349317110400,4.7543,-6.264,-7.118,0.643,660.0,5.261821,5.198219,5.335406,,150.9871746579,10.7958020496,,2.2124547336270795e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
742,HD 33599,Classical,8.97,B2Vpe,200,10,76.80395833333334,-61.805075,742.0,Gaia EDR3 4760693797025929344,0.4853,1.317,9.221,0.293,109.0,9.115295,9.029354,9.253901,,271.3250282545,-35.9145642324,,6.360405345212391e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
