#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,EDR3Name,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,RVDR2,GLON,GLAT,Tefftemp,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,HR1_x,HR2_x,HR3,HR4,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,HRhm,HRhs,HRms,VaKSb,VaKPb,VaGLb,Vib,_2SXPS,HR1_y,HR2_y,FPO0,FPU0,NH1H,Gamma,flags
13,BD+63 48,Classical,9.26,B1IIInne,,2,6.667125,64.43206111111111,13.0,Gaia EDR3 431147444454518400,1.0458,-3.659,-0.168,1.64,1800.0,9.383128,9.327831,8.076145,,120.262451289,1.6887047276,,4.969945128778402e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
14,IPHAS J002758.97+622906.1,Classical,,,,0,6.995708333333333,62.485030555555554,14.0,Gaia EDR3 430553261502536448,0.211,-2.149,-0.555,0.058,1.04,15.032607,15.599983,14.28707,,120.2266466297,-0.2634544047,,2.7324988880003847e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
15,BD+55 81,Classical,10.02,B1.5Vnne,,3,7.050166666666667,56.39653611111111,15.0,Gaia EDR3 421675529736368896,0.4522,-3.546,-1.802,0.158,41.8,10.03783,10.060594,9.946081,,119.7008897007,-6.329377668,,2.719385602445515e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
16,IPHAS J002843.24+615216.2,Classical,,,,0,7.180166666666667,61.87116944444445,16.0,Gaia EDR3 430234025173785728,0.2453,-1.582,-0.774,0.0,0.0,14.475029,14.843826,13.909467,,120.2574542301,-0.8825580436,,4.566581299759165e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
17,IPHAS J002926.93+630450.2,Classical,,B7V B6,,0,7.362208333333333,63.08061111111111,17.0,Gaia EDR3 430949910320096896,0.3383,-2.649,-0.774,0.0,0.0,14.148559,14.436487,13.688206,,120.4461245218,0.3150371317,,6.168494671049786e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
18,BD+62 89,Classical,10.25,B0Vpe,,1,7.455208333333333,63.06778055555556,18.0,Gaia EDR3 430785666465509248,0.3489,-2.992,-0.954,0.066,5.79,9.908119,10.191108,9.435628,,120.4869563853,0.2987041318,,3.06446872814534e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
19,BD+61 105,Classical,9.34,O9Ve,,4,7.83,62.42761111111111,19.0,Gaia EDR3 430356929957388672,0.3475,-2.363,-1.646,0.116,21.3,9.199072,9.332951,8.91648,,120.6062273456,-0.3532533915,,5.888083956908838e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
20,HD 2789,Classical,8.36,B3Vne,,132,8.011833333333334,67.16113333333334,20.0,Gaia EDR3 527950234866756352,1.9722,5.308,1.861,0.162,22.2,8.241121,8.405154,7.930303,,121.0468259286,4.3603895049,,1.422834522088496e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
21,IPHAS J003210.31+623929.2,Classical,,B6,,0,8.042958333333333,62.65811111111111,21.0,Gaia EDR3 430741381070454272,0.2295,-2.245,-0.381,0.0,0.0,13.446739,13.765617,12.93433,,120.7217223194,-0.1309316124,,1.1773543531006665e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
22,BD+62 99,Classical,10.94,Be,,2,8.055125,63.20804444444445,22.0,Gaia EDR3 430779279862524672,0.3946,-3.004,-0.556,0.09,10.9,10.751367,11.001199,10.309756,,120.7683060368,0.417061817,,1.4094705107030947e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
23,IPHAS J003248.02+664759.6,Classical,,B3III,,0,8.200083333333334,66.79988888888889,23.0,Gaia EDR3 527920204455592960,0.1408,-1.485,-0.085,0.0,0.0,14.356281,15.292434,13.393924,,121.0936011192,3.9946741305,,5.0943689401956716e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
24,RX J0032.9-7348,Classical,,Be,,0,8.233791666666667,-73.8053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
25,BD+61 122,Classical,10.39,B2Vpe,,2,8.751291666666667,62.4483,25.0,Gaia EDR3 430684721859552384,0.3193,-2.645,-0.685,0.111,18.8,10.5964,10.735116,10.300053,,121.0329983447,-0.3629585235,,1.6257089396244773e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
26,EM* AS 3,Classical,10.67,Be,,1,8.926375,68.70729722222222,26.0,Gaia EDR3 529645887958316288,1.1049,-1.13,-1.658,0.142,25.6,10.569412,10.806586,10.162475,,121.4971059588,5.8793666986,,1.6666253905301524e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
27,IPHAS J003559.27+664503.3,Classical,,A0V,,0,8.996958333333334,66.75091944444445,27.0,Gaia EDR3 527749707136081152,0.4024,-3.107,0.225,0.0,0.0,16.020594,16.679228,15.223489,,121.404542354,3.9248122752,,1.099930371106219e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
28,IPHAS J004014.89+651644.0,Classical,,B2V,,0,10.062041666666667,65.27888888888889,28.0,Gaia EDR3 527492700591664128,0.3259,-2.094,0.223,0.462,72.1,14.815445,15.39524,13.976963,,121.7614443147,2.4324482119,,3.337527047125543e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
29,IPHAS J004121.36+650413.5,Classical,,,,0,10.339,65.07041944444444,29.0,Gaia EDR3 527485721264160000,0.1321,-2.03,0.081,0.284,51.6,13.878305,14.386326,13.135383,,121.8690494448,2.2193624663,,7.91190007998413e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
30,EM* MWC 674,Classical,10.848,B0IIIpe,,1,10.610458333333334,64.05004722222222,30.0,Gaia EDR3 523961000529758208,0.3643,-2.738,-0.558,0.062,5.63,10.203903,10.816829,9.430431,,121.9476951349,1.1954887212,,2.3336815563301655e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
31,EM* LkHA 201,Classical,14.3,B3Ve,,0,10.855583333333334,61.639830555555555,31.0,Gaia EDR3 427582411138427904,0.3741,-1.494,-1.399,0.076,6.59,13.006534,13.865889,12.074357,,121.9799751698,-1.2171320971,,1.7659938786776573e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
