angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,main_id,_RAJ2000_Simbad,_DEJ2000_Simbad,main_type,other_types,radvel,redshift,sp_type,plx,pmra,pmdec,B,V,R,J,H,K,u,g,r,i,z
0.03066,9,V742 Cas,Classical,00 11 37.15,58 12 42.58,7.08,B5IIe,,205,HD    698,2.9047755817,58.2118286371,Be*,V* |IR |Be*|*  |SB*|UV |Em*,-23.5,-0.000078,B7:Ib-II(e),1.2718,0.9,-2.46,7.26,7.08,,6.49,6.43,6.332,,,,,
0.026853,10,EM* AS 2,Classical,00 12 59.25,66 19 19.43,10.58,B5e,,1,EM* AS    2,3.2468572460,66.3220660809,Em*,IR |EmO|*  |Em*,,,B5:e,1.2572,-1.77,0.01,11.22,10.58,,8.866,8.657,8.477,,,,,
0.105802,11,BD+61 39,Classical,00 20 17.44,62 27 49.92,8.85,B0.5IVe,,178,BD+61    39,5.0726061403,62.4638756529,Be*,Em*|Be*|IR |*  |UV,-66.5,-0.000222,B0.5IV,0.3332,-3.08,0.75,9,8.85,,8.183,8.025,7.817,,,,,
0.427001,12,IPHAS J002441.72+642137.9,Classical,00 24 41.72,64 21 37.91,,B5III,,0,IPHAS J002441.72+642137.9,6.1739147677,64.3604172991,Be*,*  |Be*|IR,,,B5e,0.1497,-1.47,-0.43,,,,12.513,12.22,11.956,,,,,
0.003272,13,BD+63 48,Classical,00 26 40.11,64 25 55.42,9.26,B1IIInne,,2,BD+63    48,6.6671233333,64.4320616667,Be*,Be*|Em*|IR |** |*,-68,-0.000227,B1III:nne,,-4.8,1.6,9.97,9.26,,7.218,6.973,6.765,,,,,
0.305734,13,BD+63 48,Classical,00 26 40.11,64 25 55.42,9.26,B1IIInne,,2,TYC 4023-1321-2,6.6672791667,64.4321138889,Star,*,,,,,-4.1,0,10.75,10.01,,,,,,,,,
0.033815,14,IPHAS J002758.97+622906.1,Classical,00 27 58.97,62 29 06.11,,,,0,2MASS J00275896+6229060,6.9956881742,62.4850317779,Be*,*  |Be*|IR |Be*,,,B3-4Ve,0.1956,-2.15,-0.48,,,,13.303,12.963,12.722,,,15.03,,
0.02887,15,BD+55 81,Classical,00 28 12.04,56 23 47.53,10.02,B1.5Vnne,,3,BD+55    81,7.0501554874,56.3965310090,Be*,Be*|IR |*  |Em*,,,B1.5:V:nne:,0.4305,-3.42,-1.78,10.09,10.02,,9.906,9.911,9.92,,,,,
0.0288,16,IPHAS J002843.24+615216.2,Classical,00 28 43.24,61 52 16.21,,,,0,2MASS J00284324+6152162,7.1801498970,61.8711706667,Be*,*  |Be*|IR |Be*,,,B7Ve,0.2137,-1.65,-0.73,,,,13.156,12.987,12.783,,,14.38,,
0.11724,17,IPHAS J002926.93+630450.2,Classical,00 29 26.93,63 04 50.20,,B7V B6,,0,2MASS J00292693+6304501,7.3622802344,63.0806120820,Be*,*  |Be*|IR |Be*,,,B7e,0.3104,-2.65,-0.73,,,,13.105,12.98,12.808,,,,,
0.060266,18,BD+62 89,Classical,00 29 49.25,63 04 04.01,10.25,B0Vpe,,1,BD+62    89,7.4551776858,63.0677899124,V*,V* |IR |Em*|*,,,B1.5Ve,0.3613,-2.96,-0.81,10.62,10.25,,8.882,8.686,8.471,,,,,
0.043241,19,BD+61 105,Classical,00 31 19.20,62 25 39.40,9.34,O9Ve,,4,BD+61   105,7.8300046756,62.4276229258,Em*,Em*|IR |*,-30.1,-0.0001,O9Ve,0.2465,-2.49,-1.52,9.5,9.34,,8.654,8.636,8.605,,,,,
0.009748,20,HD 2789,Classical,00 32 02.84,67 09 40.08,8.36,B3Vne,,132,HD   2789,8.0118400281,67.1611325718,Be*,Be*|Em*|IR |*,3.3,0.000011,B3Vne,1.9935,5.38,1.88,8.63,8.36,,7.577,7.519,7.412,,,,,
0.051624,21,IPHAS J003210.31+623929.2,Classical,00 32 10.31,62 39 29.20,,B6,,0,[DP65] 15,8.0429271141,62.6581112815,Be*,*  |Be*|IR |Em*|Be*,,,B3-4Ve,0.2226,-2.25,-0.31,14.13,13.6,13.55,12.331,12.114,11.963,,,13.39,,
0.042472,22,BD+62 99,Classical,00 32 13.23,63 12 28.96,10.94,Be,,2,BD+62    99,8.0551406219,63.2080539104,Em*,Em*|IR |*  |V* |*iC,,,Be,0.2959,-2.97,-0.49,11.43,10.94,,9.667,9.398,9.084,,,,,
0.065187,23,IPHAS J003248.02+664759.6,Classical,00 32 48.02,66 47 59.60,,B3III,,0,2MASS J00324800+6647596,8.2000506463,66.7998761585,Be*,IR |*  |Be*|Be*,,,B3e,0.1165,-1.55,0.02,,,,12.113,11.56,11.196,,,,,
0.090278,24,RX J0032.9-7348,Classical,00 32 56.11,-73 48 19.08,,Be,,0,RX J0032.9-7348,8.2337500000,-73.8052777778,HMXB,HXB|X  |gam|HXB,,,,,,,,,,,,,,,,,
0.508198,25,BD+61 122,Classical,00 35 00.31,62 26 53.88,10.39,B2Vpe,,2,BD+61   122,8.7514914997,62.4481933039,Be*,Em*|Be*|IR |V* |*,,,B2V:pe,0.3095,-2.56,-0.59,10.71,10.39,,9.585,9.435,9.249,,,,,
0.053454,26,EM* AS 3,Classical,00 35 42.33,68 42 26.27,10.67,Be,,1,EM* GGR  192,8.9263902295,68.7072834423,Em*,Em*|EmO|*  |IR,,,Be,1.0915,-1.01,-1.51,11.12,10.67,,9.753,9.663,9.489,,,,,
0.770517,27,IPHAS J003559.27+664503.3,Classical,00 35 59.27,66 45 03.31,,A0V,,0,IPHAS J003559.27+664503.3,8.9967175767,66.7507276675,Be*,IR |*  |Be*|Be*,,,A0e,0.4116,-2.99,0.3,,,,14.11,13.708,13.243,,,,,
0.547554,28,IPHAS J004014.89+651644.0,Classical,00 40 14.89,65 16 44.00,,B2V,,0,2MASS J00401493+6516435,10.0622166667,65.2787555556,Be*,Em*|Be*|*  |IR,,,B2e,,,,,15.1,,12.951,12.665,12.41,,,,,
0.461427,29,IPHAS J004121.36+650413.5,Classical,00 41 21.36,65 04 13.51,,,,0,2MASS J00412139+6504130,10.3391233719,65.0703022933,Be*,*  |Be*|IR,,,B,0.293,-2.23,0.62,,,,12.211,11.833,11.456,,,,,
0.225468,30,EM* MWC 674,Classical,00 42 26.51,64 03 00.17,10.848,B0IIIpe,,1,EM* MWC  674,10.6103152282,64.0500461508,Be*,EmO|Em*|*  |Be*|IR,,,B1IIIe,0.3506,-2.72,-0.39,11.536,10.848,10.5,8.463,8.13,7.819,,,,,
0.083653,31,EM* LkHA 201,Classical,00 43 25.34,61 38 23.39,14.3,B3Ve,,0,EM* LkHA  201,10.8555909410,61.6398076013,Ae*,Em*|*  |IR |*iC|Ae*,,,B2e,0.3377,-1.55,-1.4,14,14.3,,10.716,10.285,9.849,,,,,
0.437666,32,EM* LkHA 202,Classical,00 43 49.64,62 15 22.90,14,Be,,0,EM* LkHA  202,10.9570809425,62.2563997632,Em*,Em*|*  |IR,,,Be,0.448,-1.87,-0.69,13,14,,10.451,10.053,9.753,,,,,
0.070638,34,EM* AS 4,Classical,00 44 42.19,63 54 28.02,10.58,B1IVpe,,1,EM* AS    4,11.1757586127,63.9077701553,Be*,EmO|Em*|*  |Be*|IR,,,B1IV-V:pe,0.2292,-1.85,0.15,11.204,10.58,,8.8,8.519,8.165,,,,,
0.013796,35,omi Cas,Classical,00 44 43.52,48 17 03.71,4.477,B5IIIe,195,550,* omi Cas,11.1813277708,48.2843648814,Be*,Em*|V* |Be*|** |UV |SB*|SB*|IR |*,-16.9,-0.000056,B5IIIe,4.64,18.84,-7.18,4.44,4.5,4.45,4.62,4.68,4.68,,,,,
0.369617,37,IPHAS J004517.05+640124.4,Classical,00 45 17.05,64 01 24.38,,B3V,,0,IPHAS J004517.05+640124.4,11.3211131704,64.0233411109,Be*,IR |*  |Be*|Be*,,,B3e,0.1004,-1.75,0.21,,,,13.368,12.96,12.57,,,,,
0.411367,38,IPHAS J004620.80+622503.9,Classical,00 46 20.80,62 25 03.90,,,,0,[DP65] 47,11.5866563998,62.4176358304,Be*,*  |Be*|IR |Em*|Be*,,,B4Ve,0.2851,-2.33,-0.51,14.5,13.72,13.42,11.981,11.718,11.434,,,13.18,,
0.125825,39,BD+34 113,Classical,00 46 34.44,34 49 43.65,9.9,B2IIIe,,50,BD+34   113,11.6435110028,34.8288254308,Star,*  |IR,-21.15,-0.000071,B2III:e,1.8294,-4.39,-10.31,11.12,9.9,,7.812,7.25,7.102,,,,,
0.3807,40,IPHAS J004651.68+625914.7,Classical,00 46 51.68,62 59 14.71,,B7V,,0,IPHAS J004651.68+625914.7,11.7153745011,62.9873153605,Be*,*  |Be*|IR |Be*,,,B7e,0.2352,-1.02,-0.68,,,,13.323,13.102,12.85,,,,,
0.383477,41,IPHAS J004741.54+624203.3,Classical,00 47 41.54,62 42 03.31,,B7,,0,2MASS J00474153+6242029,11.9231201900,62.7008142728,Be*,*  |Be*|IR |Be*,,,B8Ve,0.2576,-1.22,-0.49,,,,13.011,12.809,12.676,,,14.15,,
0.43129,42,AX J0048.2-7309,Classical,00 48 13.99,-73 09 38.88,15.3,Be,,0,AX J0048.2-7309,12.0586105134,-73.1608762974,HMXB,HXB|X,,,,0.5242,-0.03,-3.24,,,,,,,,,,,
0.062421,44,IPHAS J004842.93+644411.1,Classical,00 48 42.93,64 44 11.11,,B6,,0,2MASS J00484292+6444111,12.1788927844,64.7364350340,Be*,*  |Be*|IR |Be*,,,B6Ve,0.2616,-0.69,-0.15,,,,13.326,12.97,12.88,,,14.74,,
0.059013,45,IPHAS J004850.12+642533.7,Classical,00 48 50.12,64 25 33.71,,,,0,2MASS J00485012+6425337,12.2088686502,64.4260245314,Be*,*  |Be*|IR |Be*,,,B3-4Ve,0.1767,-1.79,0.31,,,,13.923,13.576,13.424,,,15.64,,
0.033658,46,BG Phe,Classical,00 49 01.31,-56 05 49.35,10.18,B5e,,8,CD-56   152,12.2554422204,-56.0970390905,Be*,Be*|IR |V* |UV |blu|*,19,0.000063,Be,0.114,0.18,-0.71,10.11,10.18,,10.603,10.617,10.583,,,,,
0.081709,52,RX J0049.7-7323,Classical,00 49 41.99,-73 23 14.71,14.98,B2Ve,,0,LIN 139,12.4250310690,-73.3874103493,HMXB,Em*|HXB|IR |X  |*  |Psr|Be?|Psr|HXB|Em*|HXB,,,O9.5-B0.5III-V,,0.62,-1.15,15,14.98,,14.551,14.482,14.303,,,,,
0.034535,53,EM* MWC 678,Classical,00 49 48.20,60 59 10.04,9.89,B2Vnnpe,,2,EM* MWC  678,12.4508442023,60.9861142074,Be*,Em*|*  |Be*|IR |EmO,,,B2:V:nnep,0.2579,-2.53,-0.86,10.17,9.89,,8.843,8.67,8.405,,,,,
0.324497,54,IPHAS J005011.87+635129.9,Classical,00 50 11.87,63 51 29.92,,B5,,0,2MASS J00501188+6351295,12.5495056595,63.8582234180,Be*,*  |Be*|IR |Be*,,,B7Ve,0.3312,-3.06,-0.45,,,,12.748,12.562,12.451,,,13.75,,
0.33772,55,IPHAS J005011.87+633526.1,Classical,00 50 11.87,63 35 26.09,,B3V,,0,IPHAS J005011.87+633526.1,12.5495163050,63.5904903575,Be*,IR |*  |Be*|Be*,,,B3e,0.1926,-1.8,0.6,,,,13.694,13.419,13.05,,,,,
0.067507,56,IPHAS J005012.69+645621.6,Classical,00 50 12.69,64 56 21.59,,B5V B5,,0,IPHAS J005012.69+645621.6,12.5528313809,64.9393337608,Be*,*  |Be*|IR |Be*,,,B5e,0.3282,-2.59,-0.38,,,,12.65,12.356,12.22,,,,,
0.021864,57,BD+60 114,Classical,00 50 15.22,60 54 09.20,9.94,B2IIIpe,,4,BD+60   114,12.5634290674,60.9025562761,Be*,Em*|Be*|IR |*  |V*,,,B2III:pe,0.3682,-2.24,-0.45,10.29,9.94,,8.622,8.37,8.114,,,,,
0.303509,58,IPHAS J005029.22+653331.1,Classical,00 50 29.22,65 33 31.10,,B7IV,,0,IPHAS J005029.22+653331.1,12.6218318054,65.5585616740,Be*,IR |*  |Be*|Be*,,,B7e,0.1237,-2.17,0.02,,,,12.973,12.715,12.412,,,,,
0.06071,59,IPHAS J005032.31+623155.5,Classical,00 50 32.31,62 31 55.49,,,,0,2MASS J00503230+6231554,12.6345935616,62.5320719468,Be*,*  |Be*|IR |Be*,,,B7Ve,0.2015,-1.25,0.01,,,,13.952,13.642,13.436,,,15.43,,
0.283032,60,DZ Tuc,Classical,00 50 44.69,-73 16 05.16,15.44,Be,,0,V* DZ Tuc,12.6862818599,-73.2681757168,HMXB,IR |V* |HXB|X  |Em*|Psr|*  |Psr|HXB|Em*|HXB,,,B0-B0.5V,,0.76,-1.13,15.37,15.44,,15.296,15.16,15.01,,,,,
0.020735,65,BD+69 48,Classical,00 51 22.88,70 09 39.08,9.41,B5e,,3,BD+69    48,12.8453165408,70.1608563887,Em*,IR |*  |** |Em*,,,B5e,0.8972,1.98,0.48,9.65,9.41,,8.755,8.717,8.683,,,,,
0.193332,66,SMC 25,Classical,00 51 52.01,-73 10 33.96,14.45,Be,,0,LIN 193,12.9667696971,-73.1761506815,HMXB,Em*|HXB|X  |*  |IR |SNR|Psr|Be*|Be?|Psr|HXB|Em*|XB*|HXB,,,O9.5-B0V,,0.73,-1.06,14.38,14.45,14.24,14.43,14.76,14.5,,,,,
0.270001,67,2E 0050.1-7247,Classical,00 51 53.17,-72 31 48.50,14.87,Be,,0,AzV 102,12.9713992786,-72.5302005156,HMXB,IR |HXB|*  |X  |Em*|gam|Be?|*  |Em*|HXB|HXB,,,B0-5(II),,0.67,-1.33,14.79,14.38,,14.468,14.259,14.258,,,,,
0.127826,68,RX J0051.9-7255,Classical,00 51 54.19,-72 55 36.12,,Be,,0,RX J0051.9-7255,12.9758333333,-72.9266666667,HMXB,HXB|X  |HXB,,,Be,,,,,,,,,,,,,,
0.036901,71,2E 0050.4-7335,Classical,00 52 13.99,-73 19 18.84,14.67,Be,,0,LIN 203,13.0583170634,-73.3218927929,HMXB,Em*|HXB|*  |X  |IR |Be?|Em*|HXB|HX?|HXB|HXB,,,O9.5IIIe/B0Ve,,0.54,-1.12,14.66,14.67,,14.4,14.253,14.107,,,,,
0.016397,72,HD 4931,Classical,00 52 15.45,60 05 23.81,8.72,B8Ve,,63,HD   4931,13.0643840654,60.0899477802,Be*,Em*|Be*|IR |*,52.17,0.000174,A0Ibe,0.5541,-1.79,-1.1,9.01,8.7,,7.682,7.599,7.484,,,,,
0.508017,73,2E 0051.1-7214,Classical,00 52 55.20,-71 58 05.88,15.53,Be,,0,LIN 221,13.2302706333,-71.9684135601,HMXB,IR |Em*|HXB|X  |gam|Psr|HXB|Em*|HXB|*,,,B0-B1III-V,,0.9,-1.16,15.47,15.53,,15.375,15.156,14.95,,,,,
0.219719,74,2MASS J00530450-7220495,Classical,00 53 04.53,-72 20 49.30,15.83,B2IIIe,393,0,[MA93]  644,13.2687916667,-72.3470833333,Be*,Be*|IR |*  |Em*|Em*,147,0.00049,B2III,,,,15.75,15.83,,15.76,15.63,15.43,,,,,
0.1,75,Cl* NGC 330 ELS 049996,Classical,00 53 10.35,-72 20 42.30,15.88,B2IIIe,461,0,[MA93]  650,13.2931250000,-72.3451111111,Be*,IR |Em*|Be*|Be*|*  |Em*,155,0.000517,B2III,,,,15.75,15.84,,15.899,15.79,15.41,,,,,
0,76,Cl* NGC 330 ELS 028368,Classical,00 53 11.93,-72 12 04.60,16.61,B2IIIe,499,0,[MFH2007] SMC5-28368,13.2997083333,-72.2012777778,Be*,*  |Be*,136,0.000454,B2III,,,,16.56,16.61,,,,,,,,,
0,77,Cl* NGC 330 ELS 021152,Classical,00 53 12.66,-72 20 29.50,15.3,B2IIIe,199,0,MACHO 207.16147.14,13.3027500000,-72.3415277778,Be*,Be*|IR |*,144,0.00048,B2III,,,,15.14,15.23,,15.57,15.5,15.51,,,,,
0.207668,77,Cl* NGC 330 ELS 021152,Classical,00 53 12.66,-72 20 29.50,15.3,B2IIIe,199,0,2MASS J00531261-7220295,13.3025833333,-72.3415555556,Star,IR |*,,,,,,,14.98,14.97,,15.715,15.445,,,,,,
0,78,Cl* NGC 330 ELS 083491,Classical,00 53 19.93,-72 22 29.20,15.95,B3IIIe,433,0,[MFH2007] SMC5-83491,13.3330416667,-72.3747777778,Be*,*  |Be*|IR,133,0.000444,B3III,,,,16.16,15.66,,15.11,14.64,14.59,,,,,
0.228705,79,Cl* NGC 330 ELS 073594,Classical,00 53 21.41,-72 26 08.90,16.13,B2.5IIIe,192,0,[MFH2007] SMC5-73594,13.3391257945,-72.4358639983,Be*,*  |Be*|IR,166,0.000554,B2-3III-IV,0.0425,0.84,-1.33,16.09,16.09,,16.05,16.12,15.84,,,,,
0,80,Cl* NGC 330 ELS 055592,Classical,00 53 22.72,-72 11 55.70,16.68,B3IVe,118,0,[MFH2007] SMC5-55592,13.3446666667,-72.1988055556,Be*,*  |Be*,162,0.000541,B3IV,,,,16.57,16.68,,,,,,,,,
0.244505,81,Cl* NGC 330 ELS 000476,Classical,00 53 23.70,-72 23 43.80,16.36,B2Ve,309,0,SSTISAGE1C J005323.61-722344.0,13.3485270000,-72.3955080000,Be*,*  |Be*|IR,110,0.000367,B2V,,,,16.27,16.34,,16.48,16.47,16.19,,,,,
0.376154,82,CXOU J005323.8-722715,Classical,00 53 23.90,-72 27 15.12,16.19,Be,,0,RX J0053.4-7227,13.3494117602,-72.4542907869,HMXB,IR |HXB|X  |Em*|Psr|*  |HXB|Em*|HXB,,,B1-B2IV-V,,0.68,-1.26,16.11,16.19,,16.26,15.802,16.31,,,,,
0,83,2MASS J00532660-7220187,Classical,00 53 26.61,-72 20 18.60,14.97,B2IIIe,185,0,MACHO 207.16204.11,13.3608750000,-72.3385000000,Be*,Be*|IR |*,158,0.000527,B2III,,,,14.77,14.97,,15.25,15.19,15.15,,,,,
0.205112,83,2MASS J00532660-7220187,Classical,00 53 26.61,-72 20 18.60,14.97,B2IIIe,185,0,2MASS J00532660-7220187,13.3608333333,-72.3385555556,Star,IR |*,,,,,,,14.67,14.77,,14.96,14.959,14.842,,,,,
0.166918,84,Cl* NGC 330 ELS 003789,Classical,00 53 26.69,-72 22 07.40,17.62,B1Ve,492,0,MACHO 207.16203.202,13.3611590294,-72.3687661176,Be*,Be*|IR |*,133,0.000444,B1V,0.0209,0.72,-1.13,17.49,17.54,,,,,,,,,
0.099382,85,Cl* NGC 330 ELS 046388,Classical,00 53 26.98,-72 25 41.40,16.47,B2IVe,330,0,SSTISAGE1C J005326.88-722541.6,13.3624530000,-72.4281920000,Be*,*  |Be*|IR,95,0.000317,B2IV,,,,16.38,16.41,,16.36,16.33,16.15,,,,,
0.08,86,[HP2004] 25,Classical,00 53 30.00,-72 27 28.08,,Be,,0,[HP2004] 25,13.3750000000,-72.4577777778,HMXB,HXB,,,,,,,,,,,,,,,,,
0.222221,87,[MA93] 693,Classical,00 53 37.08,-72 18 50.60,15.86,B1IIIe,457,0,[MA93]  693,13.4044251456,-72.3141129422,Be*,Em*|Be*|*  |IR |Em*,113,0.000377,B1III-IV,,0.61,-1.42,15.7,15.79,,15.73,15.51,15.7,,,,,
0.1,88,2dFS 952,Classical,00 53 44.01,-72 24 56.30,15.06,B2IVe,188,0,2MASS J00534400-7224563,13.4333750000,-72.4156666667,Be*,IR |*  |Be*,167,0.000557,B2IV,,,,14.98,15.03,,15.146,15.22,15.13,,,,,
0.177329,89,Cl* NGC 330 ELS 048289,Classical,00 53 50.65,-72 23 09.20,15.87,B2IVe,253,0,[MA93]  713,13.4609867961,-72.3859352642,Be*,Em*|IR |Be*|*  |Em*,133,0.000444,B2IV,,0.56,-1.17,15.63,15.77,,15.859,16.05,15.324,,,,,
0.336418,90,[MA93] 720,Classical,00 53 53.66,-72 22 01.40,15.75,B3IIIe,323,0,[MA93]  720,13.4733350000,-72.3671110000,Be*,Be*|IR |*  |Em*|Em*,151,0.000504,B3III,,,,15.55,15.55,,15.42,15.31,15.08,,,,,
0,91,Cl* NGC 330 ELS 038007,Classical,00 53 54.17,-72 19 55.42,17.27,B3Ve,262,0,[MFH2007] SMC5-38007,13.4757083333,-72.3320611111,Be*,*  |Be*,152,0.000507,B3V,,,,17.09,17.27,,,,,,,,,
0.83297,92,Cl* NGC 330 ELS 065055,Classical,00 53 55.34,-72 26 45.30,14.72,B1IIIe,420,0,RX J0053.9-7226,13.4799208333,-72.4458000000,HMXB,Be*|Psr|HXB|X  |gam|IR |*  |HXB|HXB|HX?|HXB,140,0.000467,B1III,,,,14.65,14.72,,14.26,14.03,13.81,,,,,
0.137528,93,Cl* NGC 330 ELS 003315,Classical,00 53 58.25,-72 25 02.60,16.06,B2IIIe,302,0,[MFH2007] SMC5-3315,13.4926094633,-72.4174127090,Be*,*  |Be*|IR,171,0.000571,B2III,,0.7,-1.34,15.94,16.03,,16.18,16.34,,,,,,
0.03,94,Cl* NGC 330 ELS 065746,Classical,00 54 01.89,-72 24 45.57,17.42,B1Ve,362,0,[MFH2007] SMC5-65746,13.5078750000,-72.4126666667,Be*,*  |Be*|IR,105,0.00035,B1V,,,,17.31,17.27,,16.73,16.39,,,,,,
0.205293,95,Cl* NGC 330 ELS 049746,Classical,00 54 04.69,-72 21 06.30,16.49,B2IIIe,438,0,SSTISAGE1C J005404.59-722106.5,13.5195360000,-72.3518070000,Be*,*  |Be*|IR,118,0.000394,B2III-IV,,,,16.39,16.39,,16.534,,,,,,,
0,96,Cl* NGC 330 ELS 051315,Classical,00 54 04.82,-72 18 50.70,17.96,B5Ve,139,0,[MFH2007] SMC5-51315,13.5200833333,-72.3140833333,Be*,*  |Be*,113,0.000377,B5V,,,,17.8,17.96,,,,,,,,,
0.249457,97,[MA93] 733,Classical,00 54 05.99,-72 13 51.60,15.78,B2IVe,234,0,[MA93]  733,13.5247905380,-72.2310466837,Be*,Em*|IR |Be*|*  |Em*,181,0.000604,B2IV,0.0699,0.7,-1.4,15.68,15.83,,15.803,15.53,15.37,,,,,
0,98,Cl* NGC 330 ELS 026689,Classical,00 54 07.97,-72 14 03.90,17.52,B2Ve,397,0,MACHO 207.16205.141,13.5332083333,-72.2344166667,Be*,Be*|*,144,0.00048,B2V,,,,17.43,17.52,,,,,,,,,
0,99,Cl* NGC 330 ELS 026182,Classical,00 54 08.94,-72 14 42.50,17.98,B3IVe,360,0,[MFH2007] SMC5-26182,13.5372500000,-72.2451388889,Be*,*  |Be*,153,0.00051,B3IV,,,,17.85,17.98,,,,,,,,,
0,100,2MASS J00541254-7214478,Classical,00 54 12.37,-72 14 48.00,16.53,B2IVe,146,0,[MFH2007] SMC5-53756,13.5515416667,-72.2466666667,Be*,*  |Be*|IR,139,0.000464,B2IV,,,,16.43,16.42,,15.77,15.68,15.46,,,,,
0.802856,100,2MASS J00541254-7214478,Classical,00 54 12.37,-72 14 48.00,16.53,B2IVe,146,0,[MA93]  744,13.5522500000,-72.2466111111,Em*,IR |Em*|Em*,,,,,,,,16.4,,15.808,15.743,15.409,,,,,
0,101,Cl* NGC 330 ELS 081260,Classical,00 54 13.12,-72 14 35.60,17.77,B3Ve,227,0,[MFH2007] SMC5-81260,13.5546666667,-72.2432222222,Be*,*  |Be*,139,0.000464,B3V,,,,17.66,17.77,,,,,,,,,
0.279294,102,Cl* NGC 330 ELS 005045,Classical,00 54 15.01,-72 15 08.80,15.8,B2IVe,226,0,[MFH2007] SMC5-5045,13.5623727432,-72.2525024747,Be*,*  |Be*|IR,125,0.000417,B2IV,,0.82,-1.43,15.66,15.8,,15.87,15.94,15.76,,,,,
0.184399,103,Cl* NGC 330 ELS 014271,Classical,00 54 18.13,-72 27 37.15,15.56,B0IIIe,499,0,LIN 252,13.5753862211,-72.4603401599,Be*,Be*|IR |*  |Em*|Em*,126,0.00042,B0III,,0.74,-1.15,15.49,15.54,,15.24,15.06,14.77,,,,,
0.194606,104,Cl* NGC 330 ELS 045353,Classical,00 54 22.37,-72 27 07.62,15.53,B2IIIe,319,0,MACHO 207.16259.35,13.5930454068,-72.4521392308,Be*,Be*|IR |*,158,0.000527,B2III,,0.54,-1.03,15.45,15.47,,15.41,15.33,15.1,,,,,
0.282899,104,Cl* NGC 330 ELS 045353,Classical,00 54 22.37,-72 27 07.62,15.53,B2IIIe,319,0,LIN 253,13.5929583333,-72.4521388889,Em*,Em*|Em*,,,,,,,14.47,15.5,,,,,,,,,
0.233121,105,Cl* NGC 330 ELS 080910,Classical,00 54 24.27,-72 13 49.41,16.74,B2IVe,316,0,MACHO 207.16262.58,13.6009821420,-72.2304395464,Be*,IR |Be*|*,146,0.000487,B2IV,0.0429,0.74,-1.38,16.54,16.66,,16.714,16.245,,,,,,
0.232377,106,Cl* NGC 330 ELS 025718,Classical,00 54 27.14,-72 15 15.90,16.87,B2IIIe,264,0,MACHO 207.16262.86,13.6129245292,-72.2544593730,Be*,IR |Be*|*,150,0.0005,B2III,0.0654,0.8,-1.61,16.71,16.93,,16.63,16.203,16.47,,,,,
0.207905,107,Cl* NGC 330 ELS 064745,Classical,00 54 28.85,-72 27 38.11,15.691,B0IVe,447,0,LIN 257,13.6200215321,-72.4605990006,Be*,Em*|IR |Be*|*  |Em*,161,0.000537,B0IV,0.0216,0.74,-1.36,15.66,15.68,,15.841,15.49,15.37,,,,,
0.212633,108,2MASS J00543292-7227418,Classical,00 54 32.96,-72 27 41.85,15.42,B2IIIe,213,0,[MA93]  772,13.6371382013,-72.4616305655,Be*,Be*|IR |*  |Em*|Em*,138,0.00046,B2III,,0.76,-1.19,15.37,15.37,,15.33,15.22,15.16,,,,,
0.04,109,RX J0054.5-7228,Classical,00 54 33.10,-72 28 08.04,,Be,,0,RX J0054.5-7228,13.6379166667,-72.4688888889,HMXB,HXB|X,,,Be,,,,,,,,,,,,,,
0.342873,110,Cl* NGC 330 ELS 041410,Classical,00 54 33.31,-72 32 11.70,16.37,B1IIIe,496,0,OGLE J005433.24-723211.5,13.6384937970,-72.5366162065,Be*,IR |Be*|Be?|*,130,0.000434,B1III,,0.75,-1.16,16.35,16.35,,16.03,16.04,15.59,,,,,
0.106136,112,IPHAS J005436.84+630549.8,Classical,00 54 36.84,63 05 49.81,,B2-3V,,0,2MASS J00543685+6305498,13.6535625000,63.0971777778,Be*,*  |Be*|IR |Be*,,,B2-3e,,,,,,,13.299,12.97,12.61,,,,,
0,113,[MA93] 785,Classical,00 54 40.79,-72 27 52.50,16.02,B2IIIe,368,0,[MA93]  785,13.6699583333,-72.4645833333,Be*,EB*|Be*|IR |Em*|Em*|*  |Em*,143,0.000477,B2III,,,,15.92,16,,,,,,,,,
0.22604,114,Cl* NGC 330 ELS 002825,Classical,00 54 41.37,-72 28 02.42,17.43,B1Ve,277,0,OGLE SMC-SC7  70940,13.6721692166,-72.4673488608,Be*,Be*|IR |Em*|Em*|*,138,0.00046,B1V,,0.85,-1.49,17.35,17.4,,,,,,,,,
0.210264,115,Cl* NGC 330 ELS 002957,Classical,00 54 45.21,-72 27 13.78,15.28,B2IIIe,239,0,LIN 262,13.6881958333,-72.4538500000,Be*,IR |Em*|Be*|*  |Em*,137,0.000457,B2III,,,,15.2,15.21,,15.26,15.17,15.01,,,,,
0,116,Cl* NGC 330 ELS 064576,Classical,00 54 46.29,-72 28 05.00,17.38,B2Ve,308,0,[MFH2007] SMC5-64576,13.6928750000,-72.4680555556,Be*,*  |Be*|IR,156,0.00052,B2V,,,,17.12,16.94,,,,,,,,,
0.227348,117,Cl* NGC 330 ELS 016486,Classical,00 54 46.42,-72 25 22.76,15.58,B1IIIe,496,0,[MA93]  798,13.6932100918,-72.4229987155,HMXB,EmO|Em*|*  |IR |X  |Be*|HXB|HXB|Em*|HXB,140,0.000467,B1e,,0.65,-1.27,15.5,15.36,,15.293,15.205,14.9,,,,,
