angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,main_id,_RAJ2000_Simbad,_DEJ2000_Simbad,main_type,other_types,radvel,redshift,sp_type,plx,pmra,pmdec,B,V,R,J,H,K,u,g,r,i,z
0.63879,2072,HD 331976,Classical,20 13 41.53,32 33 12.71,9.94,B0pe,,2,HD 331976,303.4229445319,32.5533731319,Be*,Be*|Em*|*  |IR,,,B3,0.4275,-2.61,-5.02,10.93,10.25,9.53,7.787,7.434,7.071,,,,,
0.058701,2073,HD 228438,Classical,20 13 50.28,36 37 22.53,8.37,B0.5IIIe,,50,HD 228438,303.4595186186,36.6229315263,Be*,Be*|Em*|*  |IR,-15,-0.00005,B0.5III,0.398,-2.9,-6.5,8.699,8.37,,7.177,7.05,6.755,,,,,
0.097447,2074,BD+36 3956B,Classical,20 14 40.15,36 38 47.49,10.5,O9e,,1,LS  II +36   40,303.6673247340,36.6465303674,Be*,Be*|Em*|** |IR |*,,,B2,0.4923,-2.75,-5.76,10.5,10.5,,9.019,8.961,8.945,,,,,
0.098837,2075,HD 228535,Classical,20 14 55.34,36 51 12.83,10.43,B2IVe,,4,HD 228535,303.7305490406,36.8535629909,Be*,Be*|Em*|*  |IR,,,OB,0.411,-3.69,-5.37,10.92,10.43,,9.338,9.245,9.2,,,,,
0.062123,2076,QR Vul,Classical,20 15 15.90,25 35 31.05,4.759,B3Ve,275,6881,HD 192685,303.8162309258,25.5919596931,Be*,Em*|V* |UV |*  |Be*|IR |**,-7,-0.000023,B3V,3.29,6.93,-3.89,4.584,4.753,,5.232,5.225,5.27,,,,,
0.061655,2077,HD 228658,Classical,20 16 08.56,37 33 23.06,10.24,B0.5Ve,,3,HD 228658,304.0356451185,37.5564043299,Be*,Be*|Em*|*  |*iC|IR,-5,-0.000017,B2II:,0.4041,-2.67,-5.4,10.43,10.24,,9.422,9.394,9.362,,,,,
0.025385,2078,V2113 Cyg,Classical,20 16 48.18,32 22 47.39,7.16,B1Vnnpe,,399,HD 193009,304.2007582309,32.3798317409,Be*,V* |UV |IR |*  |Be*|Em*|X,-5,-0.000017,B1V:nnpe,1.1009,-5.65,-9.18,7.25,7.16,,6.62,6.534,6.357,,,,,
0.120441,2079,EM* VES 195,Classical,20 17 03.89,42 06 07.54,11.98,O9Ve,,1,EM* AS  399,304.2661842466,42.1020661618,Em*,Em*|EmO|*  |V* |IR,,,,0.5655,-3.63,-3.4,12.76,11.98,,9.893,9.4,9.061,,,,,
0.061077,2080,LZ Del,Classical,20 17 09.78,15 52 21.61,7.47,B9e,,130,HD 192954,304.2907324263,15.8726679932,Be*,V* |UV |*  |Be*|Em*|IR,18.1,0.00006,B9,2.5708,-5.44,-10.13,7.37,7.47,,7.544,7.602,7.498,,,,,
0.033974,2081,HD 193182,Classical,20 17 25.18,39 35 36.74,6.554,Ape,200,257,HD 193182,304.3549044728,39.5935397658,Be*,*  |Be*|UV |IR |Em*,-20.4,-0.000068,B7IV/V:(e),2.6642,4.65,0.85,6.42,6.51,,6.509,6.513,6.461,,,,,
0.104698,2082,EM* AS 396,Classical,20 17 30.19,38 05 56.46,10.89,B2.5IVe,,1,EM* AS  396,304.3758178974,38.0989961800,Em*,EmO|Em*|*  |IR,,,B5III,0.3778,-3.19,-4.54,11.39,10.97,,9.643,9.474,9.274,,,,,
0.035319,2083,HD 228860,Classical,20 18 51.55,36 57 40.94,9.72,B0.5IVe,,2,HD 228860,304.7148036617,36.9613701269,Be*,Be*|Em*|X  |*  |IR,,,B0.5IV,0.5026,-2.44,-6.82,10.22,9.72,,8.382,8.187,8.217,,,,,
0.072725,2084,HD 193516,Classical,20 19 07.50,37 46 09.83,8.6,B2IIIe,,6,HD 193516,304.7812744453,37.7693913318,Be*,Be*|V* |Em*|*  |SB*|IR,-20,-0.000067,B2:III:,0.6838,-3.92,-7.03,9.05,8.583,,7.341,7.228,7.136,,,,,
0.102669,2085,HD 355402,Classical,20 19 21.44,14 54 51.35,10.87,Be,,2,HD 355402,304.8393403641,14.9142915870,Em*,Em*|*  |IR,,,B8,0.4636,0.95,-0.42,10.73,10.87,,10.838,10.75,10.648,,,,,
0.048504,2086,HD 194057,Classical,20 21 40.32,44 48 51.25,7.52,B1IIe,,747,HD 194057,305.4180179328,44.8142316733,Em*,UV |*  |IR |Em*,126.69,0.000423,B1Ib,0.5606,-3.5,-2.16,8.2,7.52,,5.584,5.356,5.167,,,,,
0.012751,2087,25 Vul,Classical,20 22 03.43,24 26 45.96,5.519,B8IIIne,160,262,*  25 Vul,305.5142948439,24.4460979558,Be*,Be*|Em*|UV |*  |IR,-11,-0.000037,B6IVe,2.7932,0.61,-5.73,5.45,5.56,5.59,5.557,5.636,5.587,,,,,
0.13716,2088,Cl* NGC 6913 KJ 50,Classical,20 22 34.94,38 24 45.50,13.28,A0IVe,,0,Cl* NGC 6913     KJ      50,305.6455815024,38.4126008159,Star,*iC|*  |IR,,,A0IVe,0.5598,-1.94,-4.56,13.97,13.28,,11.64,11.435,11.317,,,,,
0.026914,2089,HD 229171,Classical,20 23 02.88,38 27 20.85,9.38,B0.5IIIne,,2,HD 229171,305.7619906917,38.4557900056,PulsV*bCep,Be*|*iA|Em*|IR |*  |*iC,,,B0.5III:n,0.5896,-3.33,-5.83,9.81,9.38,,8.163,8.049,7.997,,,,,
0.010112,2090,V2119 Cyg,Classical,20 23 44.37,37 28 35.21,5.859,B2Vne,315,246,HD 194335,305.9348715936,37.4764464588,Be*,V* |*  |Be*|UV |Em*|IR,-29.7,-0.000099,B2IIIe,2.6556,5.28,0.36,5.7,5.9,,6.174,6.228,6.165,,,,,
0.038459,2091,V1322 Cyg,Classical,20 23 45.96,38 30 03.12,9.22,Be,,3,HD 229221,305.9415080644,38.5008752861,Be*,*iA|Em*|V* |** |*iC|IR |Be*|Er*|V*?|*,-21.1,-0.00007,B0.2IIIe,0.656,-3.52,-5.69,10.05,9.281,,7.133,6.734,6.32,,,,,
0.035544,2092,Cl* NGC 6913 SAND 151,Classical,20 24 02.26,38 39 38.09,12.57,B5e,,1,EM* AS  414,306.0094290102,38.6605826961,Em*,*iA|IR |*  |*iC|Em*|EmO,,,B5e,0.6593,-3.05,-7.39,13.8,12.57,,9.657,9.285,8.887,,,,,
0.046471,2093,BD+41 3731,Classical or Herbig,20 24 15.72,42 18 01.37,9.84,B3ne,,204,BD+41  3731,306.0654831448,42.3003839047,Ae*,*iN|Em*|Be*|*  |UV |*iC|Ae*|IR,-11,-0.000037,B3n,0.9871,-2.53,-5.88,9.89,9.84,,9.629,9.624,9.632,,,,,
0.028284,2094,HD 194244,Classical,20 24 37.50,01 04 06.26,6.144,B9IIIe,233,191,HD 194244,306.1562424077,1.0684035295,V*,V* |** |UV |*  |IR,-9.6,-0.000032,B9IV/V,4.0799,7.84,4.94,6.096,6.136,,6.115,6.1,6.106,,,,,
0.016752,2095,V2120 Cyg,Classical,20 25 32.81,54 41 03.12,7.36,B2Ve,,36,HD 194883,306.3867158499,54.6842016652,Be*,V* |** |Be*|UV |Em*|IR |*,-27.6,-0.000092,B2Ve,1.0628,-3.8,-6.48,7.32,7.36,,7.3,7.335,7.233,,,,,
0.03255,2096,HD 194779,Classical,20 25 55.08,41 20 11.72,7.8,B3IIe,,487,HD 194779,306.4794879775,41.3365894021,Em*,UV |*  |IR |Em*,0,0,B3II,0.6808,-0.46,-3.51,7.98,7.8,,7.183,7.155,7.128,,,,,
0.074731,2097,BD+38 4093,Classical,20 27 10.21,38 54 01.63,10.78,Be,,2,BD+38  4093,306.7925528836,38.9004339439,Em*,*  |Em*|IR,,,Be,0.5533,-2.39,-5.89,11.55,10.78,,8.199,7.791,7.432,,,,,
0.022328,2098,BD+46 2948,Classical,20 29 20.18,46 39 59.02,10.18,B1Vnne,,3,BD+46  2948,307.3340918237,46.6663965703,Be*,Be*|*  |UV |IR |Em*,,,B1V:nne,0.5194,-1.58,-4.32,10.35,10.18,,9.476,9.455,9.397,,,,,
0.037469,2099,HD 195554,Classical,20 29 27.11,56 04 05.48,5.889,B9Vne,250,110,HD 195554,307.3629740112,56.0681832551,**,Em*|Be*|UV |IR |** |** |*,-22.3,-0.000074,B8.5V,3.8379,3.43,7.25,5.846,5.912,,5.888,5.957,5.924,,,,,
0.045196,2100,HD 195407,Classical,20 29 47.76,36 58 49.37,7.8,B0IVpe,310,115,HD 195407,307.4490156840,36.9803797557,Be*,Be*|Em*|UV |*  |IR,-68,-0.000227,B1Ve_shell,0.8022,-4.39,-9.69,8.13,7.8,,7.304,7.302,7.292,,,,,
0.0455,2102,V2123 Cyg,Classical,20 33 05.11,31 39 25.31,7.82,B1.5Ve,,79,HD 195907,308.2713065138,31.6570304051,Be*,V* |*  |Be*|UV |Em*|IR,-75,-0.00025,B1.5V,0.9986,-4.71,-13.47,7.85,7.82,,7.456,7.43,7.279,,,,,
0.044531,2104,BD+36 4145,Classical,20 36 18.21,37 25 02.82,8.96,O9Ve,,31,BD+36  4145,309.0758595617,37.4174483676,Em*,Em*|*  |IR,,,O8.5V(n),0.7098,-2.73,-7.51,9.47,8.96,,7.573,7.456,7.434,,,,,
0.030756,2105,BD+47 3148,Classical,20 37 14.63,47 42 26.13,10.4,B5e,,3,BD+47  3148,309.3109492832,47.7072523415,Em*,*  |IR |Em*,,,B5e,0.5014,-2.91,-5.53,10.6,10.4,,9.704,9.623,9.429,,,,,
0.065732,2106,W Del,Classical,20 37 40.09,18 17 03.78,9.81,A0Ve,30,2,V* W Del,309.4170241613,18.2843757761,EB*Algol,Al*|Em*|V* |*  |SB*|IR,19,0.000063,A0,1.2286,-3.54,4.41,9.89,9.81,,9.365,9.135,9.1,,,,,
0.020725,2107,HD 196712,Classical,20 39 13.25,-02 24 46.70,6.221,B7IIIne,250,122,HD 196712,309.8052120453,-2.4129766256,Be*,Be*|Em*|UV |*  |IR,-10,-0.000033,B7Ve,2.7448,8.41,3.63,6.124,6.22,,6.348,6.395,6.356,,,,,
0.033425,2108,HD 197038,Classical,20 40 18.47,25 47 20.88,8.18,B7e,220,64,HD 197038,310.0769488329,25.7891369430,Em*,Em*|UV |*  |IR,-12,-0.00004,A2,1.2469,3.47,-4.18,8.17,8.18,,8.051,8.095,8.045,,,,,
0.008983,2110,HD 197434,Classical,20 41 25.20,54 12 33.92,8.01,B6e,220,142,HD 197434,310.3550025095,54.2094242403,Em*,Em*|UV |*  |IR,,,A0,1.6551,-3.84,-9.89,8.11,8.01,,7.582,7.556,7.464,,,,,
0.042242,2111,V568 Cyg,Classical,20 42 22.32,35 27 22.30,6.671,B2IVe,105,224,HD 197419,310.5930143524,35.4561934411,Be*,Be*|V* |Em*|UV |IR |*,-7.1,-0.000024,B2IV-Ve,1.9644,-1.38,-8.28,6.51,6.669,,6.886,6.914,6.854,,,,,
0.026741,2112,BD+46 3022,Classical,20 43 19.55,46 34 14.03,10.43,Be,,1,BD+46  3022,310.8314673862,46.5705679438,Em*,V* |*  |IR |Em*,,,Be,1.9568,2.66,0.62,10.68,10.43,,9.892,9.884,9.835,,,,,
0.051026,2113,BD+50 3180,Classical,20 43 50.21,50 58 22.34,9.91,Be,,3,BD+50  3180,310.9592273488,50.9728646377,Em*,Em*|*  |IR,,,Be,0.5195,-2.96,-5.24,10.33,9.91,,8.631,8.464,8.314,,,,,
0.158169,2114,EM* MWC 1030,Classical,20 46 24.99,44 55 45.22,11.53,Be,,3,EM* MWC 1030,311.6041796055,44.9292069022,Em*,EmO|*  |IR |Em*|Y*?,,,Be,0.4086,-2.53,-3.47,12.48,11.53,,8.711,8.376,7.941,,,,,
0.137158,2115,V2018 Cyg,Classical,20 46 45.64,43 45 11.39,11.61,Be,,4,EM* AS  441,311.6901969608,43.7531950777,Ae*,EmO|V* |*  |Em*|IR |Y*?|Ae*,,,B9e,1.393,-1.74,-2.13,12.27,11.61,,10.603,10.236,9.815,,,,,
0.028424,2117,lam Cyg,Classical,20 47 24.54,36 29 26.57,4.75,B5Ve,125,4712,* lam Cyg,311.8522402621,36.4907149122,**,V* |UV |Em*|** |** |*  |IR,-23.2,-0.000077,B5V,4.24,14.71,-8.96,4.43,4.54,4.58,,4.72,4.76,,,,,
0.187466,2117,lam Cyg,Classical,20 47 24.54,36 29 26.57,4.75,B5Ve,125,4712,* lam Cyg A,311.8521855244,36.4907089097,**,*  |*  |**,,,,4.9885,18.58,-7.56,4.63,4.76,,,,,,,,,
0.952228,2117,lam Cyg,Classical,20 47 24.54,36 29 26.57,4.75,B5Ve,125,4712,* lam Cyg B,311.8522589000,36.4909783000,Star,** |*,,,,,,,6.2,6.25,,,,,,,,,
0.00392,2118,V2135 Cyg,Classical,20 48 32.77,53 54 21.97,8.14,B1Vnnpe,,56,HD 198512,312.1365434019,53.9061031528,Be*,V* |Em*|UV |*  |Be*|IR,-7,-0.000023,B1Vnnpe,1.2611,-3.2,-4.01,8.48,8.14,,7.674,7.556,7.345,,,,,
0.051218,2119,BD+44 3594,Classical,20 49 11.59,45 24 39.79,9.85,B1Vnpe,,3,BD+44  3594,312.2983118937,45.4110536617,Be*,Be*|IR |Em*|*  |** |Y*?,,,B1:V:nep,2.22,-8.27,-4.71,10.37,9.85,,8.118,7.901,7.571,,,,,
0.068769,2120,V2136 Cyg,Classical,20 49 54.65,46 39 40.81,6.33,B4Ve,250,969,HD 198625,312.4776805701,46.6613374692,Em*,V* |** |*  |UV |Em*|IR,-15,-0.00005,B4Ve,2.2256,4.28,-1.24,6.269,6.333,,6.413,6.484,6.496,,,,,
0.031577,2121,V417 Cep,Classical,20 51 09.99,55 29 19.49,8.33,B1Ve,,36,HD 198895,312.7916124499,55.4887420862,Be*,V* |IR |*  |Be*|Em*,-23,-0.000077,B1Ve,1.1465,-2.8,-4.85,8.78,8.33,,6.981,6.816,6.655,,,,,
0.075197,2122,V1493 Cyg,Classical,20 52 04.65,44 37 30.43,15.2,A2Ve,,1,EM* LkHA  167,313.0193456621,44.6251200088,Ae*,V* |*  |IR |Em*|Or*|Y*?|Ae*,,,A1/9e,0.8279,-2.05,-2.96,17,,,10.234,9.059,8.12,,,14.17,12.73,
0.043244,2123,HD 198931,Classical,20 52 09.72,44 26 04.61,8.81,B1Vnne,,24,HD 198931,313.0404852753,44.4346080795,Be*,V* |X  |*  |Be*|IR |Em*|Y*?,-26,-0.000087,B1Ve,1.2662,-1.39,-2.47,9.31,8.72,,7.129,6.86,6.535,,,,,
0.117906,2124,BD+46 3087,Classical,20 53 05.93,46 41 10.13,10.38,B5e,,3,BD+46  3087,313.2747212648,46.6861156947,Em*,V* |*  |IR |Em*,,,B5e,0.7228,-3.53,-4.67,10.57,10.38,,9.447,9.34,9.262,,,,,
0.003837,2125,BD+40 4353,Classical,20 54 16.12,40 50 13.71,9.46,B2Ve,,3,BD+40  4353,313.5671652581,40.8371416841,Star,IR |*,-9.41,-0.000031,B2Ve,1.9734,-0.46,-15.2,10.54,9.46,,7.456,6.917,6.798,,,,,
0.050401,2126,HD 199218,Classical,20 54 22.25,40 42 10.65,6.696,B8Vnne,205,155,HD 199218,313.5927268007,40.7029582733,Be*,** |Be*|UV |Em*|IR |*,-22.2,-0.000074,B9Vn,3.0456,7.74,0.91,6.609,6.702,,6.694,6.733,6.701,,,,,
0.034757,2127,V2139 Cyg,Classical,20 55 23.11,40 18 00.10,7.157,B2IVpe,,131,HD 199356,313.8463042167,40.3000265122,Be*,V* |*  |Be*|UV |IR |Em*,-13,-0.000043,B2IVp,1.4561,2.22,-1.18,7.27,7.12,,6.344,6.199,5.877,,,,,
0.010557,2128,nu Cyg,Classical,20 57 10.42,41 10 01.70,3.939,A1Vne,245,251,* nu. Cyg,314.2934127850,41.1671386414,**,IR |UV |*  |**,-27.6,-0.000092,A0IIIn,8.71,9.64,-22.75,3.96,3.94,3.89,3.8,3.69,3.77,,,,,
0.094139,2130,59 Cyg,Classical,20 59 49.56,47 31 15.42,4.74,B1.5Vnne,379,5234,* f01 Cyg,314.9564651629,47.5209385840,Be*,V* |Ir*|*  |Be*|UV |Em*|IR |**,1.4,0.000005,B1.5Vnne,2.5088,9.53,3.09,4.71,4.75,4.62,5.18,4.46,5,,,,,
0.024765,2131,V2144 Cyg,Classical,21 00 49.86,46 34 42.91,7.28,B5Ve,,106,HD 200269,315.2077400343,46.5785867429,Be*,V* |Be*|UV |** |*  |IR,-11,-0.000037,B5V,2.93,3.03,0.03,,,,7.454,7.509,7.553,,,,,
0.040436,2131,V2144 Cyg,Classical,21 00 49.86,46 34 42.91,7.28,B5Ve,,106,TYC 3588-8345-2,315.2077341667,46.5785833333,Star,*  |*,,,,2.05,1.4,-1.34,,,,,,,,,,,
