angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,Source,4XMM,RA_ICRS,DE_ICRS,srcML,Flux8,e_Flux8,HR1,HR2,HR3,HR4,ext,V,S,Nd,xcatDBdet,xcatDB,IRAP
0.595040,258,RX J0101.3-7211,Classical,01 01 20.81,-72 11 18.96,15.49,Be,,0,15.33617194,-72.18862,201231102010007,J010120.6-721119,15.336172,-72.18862,4008.55,5.36326E-13,1.0185E-14,0.666565,0.450191,0.16765,0.05828,0.0,1,1,17,xcatDBdet,xcatDB,IRAP
0.529580,287,XTE J0111-7317,Classical,01 11 08.40,-73 16 45.84,15.52,B1IVe,,0,17.785375,-73.2795,206012125010015,J011108.4-731646,17.785375,-73.2795,201.418,3.79695E-14,7.09614E-15,0.484245,0.21012,-0.076779,-0.276336,0.0,0,0,2,xcatDBdet,xcatDB,IRAP
1.717746,336,ACHERNAR,Classical,01 37 42.85,-57 14 12.31,0.5,B6Vpe,235,102,24.42781611,-57.23702389,204021201010001,J013742.6-571413,24.427816,-57.237024,12330.5,5.84488E-13,1.36749E-14,0.5354,-0.600626,-0.859062,-0.635355,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.233107,382,V831 Cas,Classical,01 47 00.17,61 21 23.69,11.34,B1IVe,,68,26.750835,61.35655806,202011601010001,J014700.2+612123,26.750835,61.356558,276678.0,2.54422E-11,1.79663E-13,0.819435,0.725686,0.104715,-0.170784,0.0,1,1,1,xcatDBdet,xcatDB,IRAP
0.216026,465,V782 Cas,Classical,02 08 45.44,65 02 14.73,7.622,B6IIe,,191,32.18933111,65.037485,201025808010005,J020845.4+650214,32.189331,65.037485,1129.54,7.12868E-12,3.445E-13,1.0,0.812409,0.570491,0.397745,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
1.491672,536,NGC 884 2079,Classical,02 21 42.92,57 18 29.02,9.61,Be,,0,35.42911694,57.30844611,202011603010111,J022142.9+571830,35.429117,57.308446,16.3797,5.39244E-15,3.25673E-15,0.845557,-0.062795,-0.574056,-1.0,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.109174,597,V615 Cas,Classical,02 40 31.67,61 13 45.61,10.8,B0Ve,,5,40.13194111,61.22930694,201124301020001,J024031.6+611345,40.131941,61.229307,427555.0,9.93006E-12,2.40994E-14,0.811452,0.668485,-0.06903,-0.405243,0.0,1,1,13,xcatDBdet,xcatDB,IRAP
0.857956,682,GSC 02342-00359,Classical,03 29 10.32,31 21 59.51,14.25,B5e,,0,52.29324,31.36640889,200658201010005,J032910.3+312159,52.29324,31.366409,11525.9,5.75411E-13,1.93372E-14,0.81782,0.861126,-0.202441,-0.565822,0.0,0,1,1,xcatDBdet,xcatDB,IRAP
0.975482,688,BQ Cam,Classical,03 34 59.89,53 10 23.59,11.3,Be,,0,53.749315,53.172985,205061901010001,J033459.8+531022,53.749315,53.172985,565.069,4.12066E-14,3.67519E-15,0.953155,0.836379,-0.344656,-0.993853,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.768646,705,Menkhib,Classical,03 58 57.90,35 47 27.71,4.06,O7.5IIIe,213,4655,59.74115,35.79122806,207709901010001,J035857.8+354728,59.74115,35.791228,724620.0,2.6379E-12,5.15759E-15,0.620686,-0.521706,-0.899642,-0.98732,0.0,0,1,2,xcatDBdet,xcatDB,IRAP
0.632022,745,lam Eri,Classical,05 09 08.78,-08 45 14.69,4.249,B2IVne,318,766,77.28672611,-8.75397611,204021203010001,J050908.8-084514,77.286726,-8.753976,930.868,9.60336E-14,7.72645E-15,0.498744,-0.335595,-0.739248,-0.878474,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
1.667323,758,RX J0516.0-6916,Classical,05 16 00.10,-69 16 09.12,15.0,Be,,0,78.99979194,-69.26879306,206907429010025,J051559.9-691607,78.999792,-69.268793,162.497,1.26109E-13,1.20804E-14,-0.012297,0.692607,0.599376,0.42321,0.0,0,0,2,xcatDBdet,xcatDB,IRAP
0.417253,772,25 Ori,Classical,05 24 44.83,01 50 47.20,4.873,B1Vpe,263,447,81.18684194,1.84654889,205546101010079,J052444.8+015047,81.186842,1.846549,131.797,1.20521E-14,4.45899E-15,0.034176,-0.73467,-0.919258,0.937899,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
1.916678,842,RX J0531.2-6609,Classical,05 31 13.30,-66 07 05.16,14.4,B0.7Ve,,0,82.80524889,-66.11862806,201040601010001,J053113.2-660707,82.805249,-66.118628,40812.5,7.23709E-12,8.40589E-14,0.440264,0.403422,0.326711,0.173643,0.0,0,1,2,xcatDBdet,xcatDB,IRAP
1.932895,855,RX J0535.0-6700,Classical,05 35 05.90,-67 00 15.84,14.873,B0Ve,,0,83.77322889,-67.00430889,200717405010001,J053505.5-670015,83.773229,-67.004309,1266.06,1.52788E-12,9.65809E-14,0.381938,0.877734,0.566772,0.007367,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.541001,857,43 Ori,Classical,05 35 22.90,-05 24 57.82,5.08,O9.5Vpe,183,291,83.84547694,-5.41619889,202124803010012,J053522.9-052458,83.845477,-5.416199,37578.9,1.02643E-12,1.2159E-14,0.775365,-0.399009,-0.803279,-0.915027,0.0,0,1,4,xcatDBdet,xcatDB,IRAP
0.295457,892,V725 Tau,Classical,05 38 54.57,26 18 56.83,9.19,O9.7IIe,,11,84.72737,26.31586806,206741801010001,J053854.5+261857,84.72737,26.315868,1175300.0,2.72642E-11,8.17474E-14,0.755544,0.705999,0.120172,-0.345815,0.0,1,1,1,xcatDBdet,xcatDB,IRAP
0.013697,942,HD 42054,Classical,06 07 03.67,-34 18 43.28,5.843,B4IVe,,7,91.76529389,-34.31201889,204021214010001,J060703.6-341843,91.765294,-34.312019,59243.6,3.51692E-12,4.90625E-14,0.500913,0.142491,-0.385589,-0.482063,0.0,1,0,1,xcatDBdet,xcatDB,IRAP
0.349594,972,PZ Gem,Classical,06 27 15.78,14 53 21.22,6.64,O9pe,,782,96.81583889,14.88927306,206700803010001,J062715.8+145321,96.815839,14.889273,21333.4,2.49337E-13,7.60843E-15,0.710483,0.507459,-0.067042,-0.355512,0.0,0,0,2,xcatDBdet,xcatDB,IRAP
0.130495,990,HD 259440,Classical,06 32 59.25,05 48 01.18,9.12,B0pe,,3,98.24690111,5.80035306,205052001010001,J063259.2+054801,98.246901,5.800353,9263.75,5.56953E-13,1.49105E-14,0.863132,0.570992,-0.089165,-0.250135,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.759426,1001,15 Mon,Classical,06 40 58.66,09 53 44.72,4.64,B1Ve,70,1866,100.24436389,9.89596,200114201010001,J064058.6+095345,100.244364,9.89596,235770.0,2.99485E-12,1.53393E-14,0.37977,-0.590142,-0.776943,-0.984477,0.0,0,1,1,xcatDBdet,xcatDB,IRAP
