#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,DR2Name,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,AG,RV,GLON,GLAT,Teff,Lum,Rad,Plx,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,VaKSb,VaKPb,VaGLb,Vib,HR_21,HR_32,HR_43,HR_54,HR_su,HR_ms,HR_hm,B_ox,flags
563,BD+56 612,Classical,9.43,A0e,200.0,3,36.437375,57.32013888888889,563.0,b'Gaia DR2 458430446804459904',0.53,-3.157,1.884,1260.0,9.4945,9.6781,9.1915,1.255,,135.42505254378,-3.24614279717,7314.0,,,1.3245,3.465048768645963e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
564,IPHAS J022636.00+601401.8,Classical,,B2V,,0,36.65,60.233830555555556,564.0,b'Gaia DR2 465352082961412736',-0.859,-0.466,0.102,2.51,14.5381,15.4364,13.5699,0.9992,,134.48502903981,-0.48579452848,3999.0,,,0.1447,3.3286593427958454e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
565,BD+56 624,Classical,9.78,B3IIIe,270.0,1,36.669,57.09252222222222,565.0,b'Gaia DR2 457668145954893696',-0.445,-1.527,0.0,0.0,9.604,9.8073,9.2577,,,135.62404224148,-3.41368879303,7188.0,328.956,11.7,0.5672,3.132631794336425e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
566,IPHAS J022821.67+641216.0,Classical,,,,0,37.090291666666666,64.20443888888889,566.0,b'Gaia DR2 514478228132268800',-1.088,0.335,0.0,1.99e-15,15.8882,16.4737,15.1347,,,133.23707509027,3.28927776527,4913.67,,,0.1171,9.59907425967216e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
567,IPHAS J022823.86+631834.8,Classical,,B3,,0,37.09941666666667,63.309669444444445,567.0,b'Gaia DR2 514294025576639488',-0.918,0.331,0.0,0.0,13.0904,13.4885,12.4975,,,133.56853045965,2.4579811193,5324.0,,,0.1642,1.2628429714430081e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
568,EM* MWC 715,Classical,10.58,Be,,0,37.31704166666666,58.59376944444445,568.0,b'Gaia DR2 458969555403589248',2.509,-2.348,0.0,0.0,10.4187,10.646,10.049,,,135.39813778181,-1.88996650692,6871.0,51.634,5.07,0.9808,1.4792083559050353e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
569,V529 Cas,Classical,8.49,B5Ve,,41,37.431416666666664,60.677372222222225,569.0,b'Gaia DR2 465346104366109568',-3.381,0.512,0.0,0.0,8.3961,8.5928,8.0733,1.46,,134.6821380993,0.06765644896,7091.5,136.258,7.73,1.5354,9.529483259098188e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
570,BD+59 497,Classical,10.47,B0Ve,,1,37.45670833333333,59.8531,570.0,b'Gaia DR2 465281164460322432',-0.823,-0.446,0.0,0.0,10.2014,10.6598,9.5864,,,134.99904400639,-0.69351329311,5191.87,406.379,24.92,0.4025,1.806963380943287e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
571,IPHAS J022953.81+630742.2,Classical,,B2III,,0,37.47420833333334,63.12838888888889,571.0,b'Gaia DR2 514100545891139968',-0.731,0.624,0.0,0.0,14.5449,15.0609,13.8476,,,133.79252876075,2.35173173498,4882.15,,,0.0726,3.3078769928247837e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
572,IPHAS J023003.21+643829.4,Classical,,,,0,37.513374999999996,64.6415,572.0,b'Gaia DR2 514516917198232320',-1.067,0.335,0.0,0.0,15.4426,15.9671,14.7394,,,133.24560080489,3.76293810005,4877.47,,,0.1473,1.447002733199947e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
573,IPHAS J023031.38+594127.1,Classical,,B9V,,0,37.63075,59.69086111111111,573.0,b'Gaia DR2 465088303249929984',-1.14,0.557,0.0,0.0,14.5928,15.1245,13.8758,,,135.14067979396,-0.81144156692,4867.35,,,0.2202,3.165113960204306e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
574,IPHAS J023035.11+610005.9,Classical,,,,0,37.64629166666667,61.00163888888889,574.0,b'Gaia DR2 465492751732606592',-0.817,-0.21,0.0,0.0,14.4242,14.8738,13.7454,,,134.65885086145,0.40763438475,4903.33,25.15,6.95,0.2383,3.696828906978855e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
575,V555 Per,Classical,9.0,B1IIIe,280.0,4,37.83141666666667,56.897825,575.0,b'Gaia DR2 457966285403539840',-0.921,-1.206,0.0,0.0,8.6436,8.879,8.2664,1.191,,136.2855641722,-3.36159217049,6871.0,474.746,15.38,0.7325,7.58698720137634e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
576,IPHAS J023150.04+604952.4,Classical,,B4,,0,37.9585,60.83121944444444,576.0,b'Gaia DR2 465440215690905472',-0.741,-0.262,0.0,0.0,14.0008,14.359,13.4508,,,134.86350897895,0.3066064659,5370.0,12.108,4.02,0.4002,5.4599586220696925e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
577,IPHAS J023202.89+641033.2,Classical,,,,0,38.01204166666667,64.17588888888889,577.0,b'Gaia DR2 514445070984184576',-0.268,0.312,0.0,1.99e-15,16.2945,16.9332,15.4959,,,133.62079877764,3.41227701717,4423.25,,,0.098,6.602514314481812e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
578,EM* MWC 50,Classical,10.87,O9Ve,,0,38.04758333333333,61.36261388888889,578.0,b'Gaia DR2 465526596075683072',-1.711,-0.089,0.195,20.9,10.4632,11.1126,9.6831,,,134.70246193754,0.81481347207,4465.5,481.334,36.66,0.3625,1.4198071256130585e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
579,IPHAS J023235.10+640522.7,Classical,,,,0,38.14625,64.08963888888889,579.0,b'Gaia DR2 514440874795422464',-0.943,0.271,0.0,0.0,13.6083,14.2851,12.7937,0.467,,133.70788026245,3.35472357157,4444.5,,,0.1704,7.837712908529232e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
580,V941 Cas,Classical,,,,0,38.51958333333333,60.98733055555556,580.0,b'Gaia DR2 465459697663634944',,,3.471,2000.0,13.1011,13.577,12.2988,,,135.05606808338,0.55495695107,4685.75,,,,1.2504586970293828e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
581,IPHAS J023411.97+595634.2,Classical,,B3,,0,38.549875,59.94283055555555,581.0,b'Gaia DR2 465112178967589120',-0.54,-0.542,0.0,0.0,13.3374,13.8496,12.6483,,,135.47266497688,-0.40298227169,4919.13,29.984,7.54,0.3594,1.0058873614259959e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
582,IPHAS J023431.08+601616.5,Classical,,B3IV,,0,38.6295,60.27125,582.0,b'Gaia DR2 465213750655736064',-0.742,-0.163,0.147,7.5,13.4455,14.5081,12.4091,1.2503,,135.38237122549,-0.08471495423,3665.0,,,0.2387,9.105616420522984e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
583,IPHAS J023439.79+641813.4,Classical,,,,0,38.665791666666664,64.30371944444444,583.0,b'Gaia DR2 515944426887169920',-0.667,0.17,0.0,0.0,17.0512,17.7424,16.2113,,,133.83456873013,3.6393526445,4352.67,,,0.191,3.2887385680178553e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
584,IPHAS J023536.82+625251.7,Classical,,,,0,38.903416666666665,62.881030555555554,584.0,b'Gaia DR2 514117691399836032',-0.925,0.275,0.0,0.0,16.8045,17.3557,16.0412,,,134.48713745762,2.37024103621,4797.67,,,0.2414,4.1277116530745996e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
585,HD 15963,Classical,8.03,A1IIe,300.0,65,39.05116666666666,58.07556666666667,585.0,b'Gaia DR2 458154267531697536',-4.859,-2.532,0.193,10.9,7.8841,7.9142,7.8415,0.421,,136.43778201515,-2.02233868889,9193.0,,,2.9802,1.5271065905504149e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
586,IPHAS J023629.19+634245.8,Classical,,,,0,39.121625,63.712719444444446,586.0,b'Gaia DR2 514229085674469760',0.312,0.781,0.0,0.0,15.8843,16.3972,15.1939,,,134.25041636347,3.1736028361,4895.21,,,0.1628,9.633616449933896e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
587,IPHAS J023642.66+614714.8,Classical,,B5V,,0,39.17775,61.787438888888886,587.0,b'Gaia DR2 465871292968667776',-1.368,0.475,0.0,0.0,15.5263,15.9919,14.8485,,,135.03423442023,1.41466085277,4903.75,,,0.1564,1.3396438400244769e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
588,BD+58 492,Classical,10.45,Be,250.0,1,39.184666666666665,59.376958333333334,588.0,b'Gaia DR2 464283357659667968',-0.592,-0.461,0.0,0.0,10.1681,10.5697,9.6072,,,135.98878802859,-0.79883680899,5363.5,489.077,25.61,0.368,1.863242369917693e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
589,IPHAS J023744.52+605352.8,Classical,,B8V,,0,39.4355,60.898,589.0,b'Gaia DR2 465258315237154944',-1.221,0.995,0.0,0.0,16.8501,17.5335,15.9769,,,135.50039753461,0.64707889469,4374.33,,,0.037,3.9579413230021443e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
590,IPHAS J023753.78+620410.0,Classical,,,,0,39.47408333333334,62.06943888888889,590.0,b'Gaia DR2 465907332032789760',-0.877,0.29,0.0,1.04e-15,13.2959,13.5895,12.8082,1.8712,,135.05032541479,1.72876443839,5992.33,,,0.1568,1.0450795544497037e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
591,IPHAS J023758.11+634635.6,Classical,,B7,,0,39.492125,63.776561111111114,591.0,b'Gaia DR2 515684358029128704',-0.016,-0.099,0.0,0.0,13.4027,13.7068,12.9128,,,134.37567273914,3.29731927315,6014.75,40.846,5.89,0.2801,9.471730912437134e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
592,IPHAS J023809.91+620224.6,Classical,,B4,,0,39.541291666666666,62.040169444444444,592.0,b'Gaia DR2 465904140879302144',-0.774,0.466,0.0,0.0,13.2596,13.7296,12.5892,,,135.09091798486,1.71451459566,4970.72,,,0.1131,1.0806109187634545e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
593,IPHAS J023841.80+640826.3,Classical,,,,0,39.674166666666665,64.14063888888889,593.0,b'Gaia DR2 515743800378139904',-1.045,0.875,0.0,0.0,14.1307,14.7398,13.3621,0.53,,134.30275205227,3.66284399188,4889.51,,,0.1541,4.84428127129482e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
594,HD 16264,Classical,9.26,B1Ve,,2,39.70679166666667,57.59130555555556,594.0,b'Gaia DR2 457930276396481280',-0.014,-1.051,0.0,1.95e-15,9.1272,9.3922,8.7215,,,136.95100409559,-2.32783747282,6350.0,1442.768,31.38,0.3363,4.859922586349192e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
595,IPHAS J023948.17+604505.1,Classical,,,,0,39.95070833333333,60.751419444444444,595.0,b'Gaia DR2 465206638188971648',0.262,-0.598,0.0,0.0,13.4518,13.7885,12.9276,,,135.7893037798,0.61368470999,5769.45,16.323,4.04,0.4358,9.05293394304183e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
596,BD+57 607a,Classical,10.73,Be,350.0,1,40.03845833333333,57.761586111111114,596.0,b'Gaia DR2 457938385294492032',-0.097,-1.089,0.0,0.0,10.3832,10.816,9.7643,,,137.04436630866,-2.10037780269,5195.32,352.341,23.17,0.3975,1.528372980786223e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
597,V615 Cas,Classical,10.8,B0Ve,,5,40.13195833333333,61.22933611111111,597.0,b'Gaia DR2 465645515129855872',-0.296,-0.079,0.0,0.0,10.3933,10.9686,9.6788,,,135.67527385097,1.0861252337,4972.0,398.622,26.91,0.3801,1.5142213017153025e-13,b'1E 0236.6+6100',b'R',"b'o,r'",b'LS I +61^o^303',b'278',b'',10.7,,b'',0.8,b'',,-0.3,0.75,,b'',"b'179,316,726'",8.621,b'',8.228,b'',7.917,b'',0.2,,b'(0.2--5 keV)',b'43',26.496,b'',,b'',"b'755,254'",b'B0Ve',b'',b'V615 Cas',b'',b'Simbad',b'J024031.6+611345',2.39877e-14,2.38493e-13,1.28914e-12,3.13955e-12,5.2596e-12,9.93006e-12,3.63585e-12,0.0,0.542355,0.007356,1.0,b'J024031.6+611345',2.2137570962506e-12,1.9868767982223e-12,2.1074120664767e-13,5.1745586332554e-14,3.7365182249914e-14,0.9999997,0.9999933,1.0,,0.8172231329770151,0.6877613929523648,0.41782332924634585,0.2524124464975622,0.16137672597146982,0.6057280768678326,0.8082094284077916,0.43823291146718,"BeSS,Gaia,HMXB,XMM,Chandra"
598,IPHAS J024054.97+630009.8,Classical,,B6V,,0,40.22904166666667,63.002719444444445,598.0,b'Gaia DR2 466100644225902592',-0.923,0.331,0.0,0.0,15.8478,16.31,15.1895,,,134.99147930948,2.72319628028,4933.05,,,0.0861,9.962982132171668e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
599,IPHAS J024146.73+602532.2,Classical,,B7V,,0,40.44470833333333,60.42561111111111,599.0,b'Gaia DR2 465184338719020928',-0.608,-0.316,0.0,0.0,14.1798,14.7965,13.3997,,,136.14387749729,0.41557275417,4965.5,9.343,4.13,0.4344,4.630089131117701e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
600,IPHAS J024159.21+600106.0,Classical,,B7-8V,,0,40.49670833333334,60.01833055555556,600.0,b'Gaia DR2 464418872467470464',-0.612,-0.517,0.0,0.0,14.6576,15.2408,13.8955,,,136.33540999223,0.05521291927,4888.33,5.873,3.38,0.4438,2.9817371166152605e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
601,IPHAS J024221.54+593716.4,Classical,,,,0,40.589749999999995,59.62121944444444,601.0,b'Gaia DR2 464327887880979968',-1.62,-0.056,0.0,0.0,13.4493,14.0385,12.6884,0.428,,136.54220667886,-0.28707036075,4769.2,37.804,9.01,0.3101,9.073803111084047e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
602,IPHAS J024252.56+611953.9,Classical,,B3V,,0,40.719,61.33163888888889,602.0,b'Gaia DR2 465620810477471872',-0.851,0.676,0.0,0.0,15.8107,16.3843,15.04,,,135.89026757692,1.29557291232,4774.24,,,0.1495,1.0309304123165264e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
603,IPHAS J024305.60+631614.7,Classical,,,,0,40.77333333333333,63.27075,603.0,b'Gaia DR2 467603848420262400',-1.136,0.37,0.0,0.0,14.7402,15.1878,14.0981,,,135.10475944978,3.06891065755,4977.85,,,0.0896,2.7633083633294007e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
604,IPHAS J024317.68+603205.5,Classical,,B7V,,0,40.82366666666667,60.53486111111111,604.0,b'Gaia DR2 464810607845348992',-0.733,-0.319,0.0,1.65e-15,13.8893,14.4838,13.1229,0.4892,,136.26850803959,0.5924273889,4874.23,33.146,8.07,0.2666,6.050473336982464e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
605,IPHAS J024332.05+632150.1,Classical,,B3,,0,40.883541666666666,63.36391944444444,605.0,b'Gaia DR2 467610617288649728',-1.197,0.515,0.0,0.0,14.3254,14.7323,13.7224,2.2573,,135.11077615577,3.17423326231,5204.2,,,0.1138,4.0490146810050504e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
606,IPHAS J024405.37+621448.7,Classical,,A0III,,0,41.022375,62.24686111111111,606.0,b'Gaia DR2 465825079124524032',-0.559,0.211,0.0,1.1e-15,15.342,15.7721,14.714,,,135.63763851054,2.18686177175,5073.89,3.202,2.32,0.4296,1.5874839804253325e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
607,IPHAS J024454.00+635608.0,Classical,,,,0,41.224999999999994,63.93556111111111,607.0,b'Gaia DR2 467662809731965440',-0.99,0.402,0.0,0.0,15.8737,16.4333,15.1428,0.2485,,135.00723717665,3.75652034951,4773.06,,,0.0733,9.728129683425717e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
608,IPHAS J024504.86+612502.1,Classical,,B7IV,,0,41.27025,61.41725,608.0,b'Gaia DR2 465718117256659328',-0.934,0.183,0.0,0.0,15.4541,15.9798,14.7335,,,136.09404159684,1.48410497905,4877.47,,,0.0203,1.4317571198261867e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
609,IPHAS J024506.09+611409.1,Classical,,B3-4V,,0,41.275375000000004,61.23586111111111,609.0,b'Gaia DR2 465610399476491776',-0.864,0.608,0.0,0.0,16.0448,16.6365,15.2526,,,136.17312259205,1.32086959266,4546.65,,,0.1532,8.30977665884874e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
610,IPHAS J024509.54+612523.5,Classical,,,,0,41.28975,61.42318888888889,610.0,b'Gaia DR2 465706366226132992',-0.916,0.378,0.0,0.0,15.229,15.6667,14.5951,,,136.09995976437,1.49343864912,5070.74,,,0.1063,1.7616083145605662e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
611,IPHAS J024519.10+633755.1,Classical,,,,0,41.32958333333333,63.631969444444444,611.0,b'Gaia DR2 467638998433663104',-1.019,0.288,0.0,0.0,14.2533,14.6855,13.6295,,,135.17828704048,3.50124951452,5088.11,,,0.1429,4.327024472358555e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
612,IPHAS J024521.28+625416.2,Classical,,,,0,41.33866666666667,62.9045,612.0,b'Gaia DR2 467536572050309760',0.359,2.854,0.676,123.0,13.7929,14.1509,13.2363,,,135.49159832462,2.84444525659,5263.4,,,-0.328,6.612251311868056e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
613,IPHAS J024540.61+592151.2,Classical,,B3,,0,41.41920833333333,59.364219444444444,613.0,b'Gaia DR2 464142379653629440',0.428,-0.451,0.0,0.0,13.399,13.7607,12.8221,,,137.03227553625,-0.34356157886,5378.05,28.615,6.16,0.3433,9.504063984163964e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
614,IPHAS J024553.87+635414.7,Classical,,,,0,41.47445833333334,63.90408055555555,614.0,b'Gaia DR2 467652123853332480',-1.784,1.258,0.457,62.6,14.2711,14.8666,13.4857,,,135.12009747329,3.77472963363,4543.62,,,-0.0245,4.2566638135164454e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
615,IPHAS J024618.12+613514.7,Classical,,B3V,,0,41.5755,61.58741944444444,615.0,b'Gaia DR2 465715093599555456',-0.752,0.385,0.0,0.0,15.7261,16.1261,15.1247,,,136.15340597791,1.70010582548,5288.31,,,0.1404,1.1144724868249389e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
616,IPHAS J024735.56+615530.9,Classical,,B5,,0,41.89816666666666,61.92525,616.0,b'Gaia DR2 465755839947919616',0.473,-0.424,0.044,0.494,13.5245,13.9283,12.9194,,,136.14598970734,2.07075220862,5261.57,30.759,6.67,0.315,8.466606027884177e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
617,IPHAS J024753.07+613405.8,Classical,,B3,,0,41.971125,61.56828055555555,617.0,b'Gaia DR2 465712207381733888',-0.593,0.452,0.0,0.0,14.4349,15.0017,13.6829,0.3713,,136.33171449262,1.76388949531,4942.67,,,0.1531,3.660575354732423e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
618,IPHAS J024758.73+630156.8,Classical,,,,0,41.994708333333335,63.03243888888889,618.0,b'Gaia DR2 467377108505783168',-0.799,0.516,0.0,0.0,14.8264,15.3191,14.1383,,,135.70619740646,3.0880371698,4902.33,,,0.1083,2.5524036173408627e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
619,IPHAS J024823.01+614728.1,Classical,,B5,,0,42.09587499999999,61.79113888888889,619.0,b'Gaia DR2 465742272153637120',-0.881,0.265,0.0,0.0,12.9683,13.3043,12.4231,1.604,,136.28824838057,1.99029543929,5512.0,,,0.1296,1.4131535421842266e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
620,IPHAS J024823.69+614107.1,Classical,,B3V B4,,0,42.098708333333335,61.68531111111111,620.0,b'Gaia DR2 465737221272151552',-0.35,0.448,0.0,0.0,14.1201,14.4557,13.5705,,,136.33550512094,1.89562519718,5512.0,,,0.1164,4.891807419888478e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
621,IPHAS J024838.04+630153.0,Classical,,,,0,42.1585,63.03138888888889,621.0,b'Gaia DR2 467376558749953408',-0.964,0.547,0.0,0.0,15.3993,15.8268,14.7726,,,135.77363699548,3.11939825089,5056.16,,,0.0819,1.5058764843821284e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
622,IPHAS J024913.93+631042.4,Classical,,,,0,42.30804166666667,63.17843888888889,622.0,b'Gaia DR2 467379165784444416',,,9.851,32800.0,13.3592,13.6185,12.7105,,,135.77018573877,3.28115842665,5409.0,,,,9.858920201830035e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
