#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,DR2Name,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,AG,RV,GLON,GLAT,Teff,Lum,Rad,Plx,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,VaKSb,VaKPb,VaGLb,Vib,HR_21,HR_32,HR_43,HR_54,HR_su,HR_ms,HR_hm,B_ox,flags
13,BD+63 48,Classical,9.26,B1IIInne,,2,6.667125,64.43206111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
14,IPHAS J002758.97+622906.1,Classical,,,,0,6.995708333333333,62.485030555555554,14.0,b'Gaia DR2 430553261502536448',-2.153,-0.484,0.0,0.0,15.0422,15.6095,14.295,,,120.22664694912,-0.26345436177,4861.0,,,0.1956,2.0923259983530278e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
15,BD+55 81,Classical,10.02,B1.5Vnne,,3,7.050166666666667,56.39653611111111,15.0,b'Gaia DR2 421675529736368896',-3.416,-1.776,0.084,3.57,10.0369,10.0723,9.9526,0.624,,119.70089026665,-6.32937745202,9444.75,,,0.4305,2.10256461617332e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
16,IPHAS J002843.24+615216.2,Classical,,,,0,7.180166666666667,61.87116944444445,16.0,b'Gaia DR2 430234025173785728',-1.647,-0.725,0.0,0.0,14.4893,14.8585,13.9199,,,120.25745447633,-0.8825579721,5210.67,,,0.2137,3.4816839978933263e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
17,IPHAS J002926.93+630450.2,Classical,,B7V B6,,0,7.362208333333333,63.08061111111111,17.0,b'Gaia DR2 430949910320096896',-2.649,-0.725,0.0,0.0,14.1595,14.4473,13.6953,,,120.44612491117,0.31503719987,5787.33,16.751,4.07,0.3104,4.717472220558232e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
18,BD+62 89,Classical,10.25,B0Vpe,,1,7.455208333333333,63.06778055555556,18.0,b'Gaia DR2 430785666465509248',-2.963,-0.809,0.0,0.0,9.8996,10.2039,9.4399,,,120.48695684868,0.29870424873,5990.52,619.05,23.1,0.3613,2.3859940231816117e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
19,BD+61 105,Classical,9.34,O9Ve,,4,7.83,62.42761111111111,19.0,b'Gaia DR2 430356929957388672',-2.487,-1.523,0.0,0.0,9.1931,9.3521,8.9252,0.888,,120.60622773183,-0.35325316885,7660.0,2597.61,28.94,0.2465,4.573717657519068e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
20,HD 2789,Classical,8.36,B3Vne,,132,8.011833333333334,67.16113333333334,20.0,b'Gaia DR2 527950234866756352',5.384,1.878,0.0,0.0,8.2373,8.4262,7.9425,1.249,,121.04682522431,4.36038932211,7022.71,93.424,6.53,1.9935,1.1030351481927765e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
21,IPHAS J003210.31+623929.2,Classical,,B6,,0,8.042958333333333,62.65811111111111,21.0,b'Gaia DR2 430741381070454272',-2.254,-0.308,0.0,0.0,13.4558,13.7722,12.9384,1.9317,,120.72172264839,-0.1309315943,5707.0,62.585,8.09,0.2226,9.019643063570265e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
22,BD+62 99,Classical,10.94,Be,,2,8.055125,63.20804444444445,22.0,b'Gaia DR2 430779279862524672',-2.973,-0.489,0.0,0.0,10.745,11.007,10.3062,,,120.7683065165,0.41706188701,6276.0,420.401,17.34,0.2959,1.0952401383702738e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
23,IPHAS J003248.02+664759.6,Classical,,B3III,,0,8.200083333333334,66.79988888888889,23.0,b'Gaia DR2 527920204455592960',-1.553,0.02,0.036,0.252,14.3346,15.2829,13.3704,0.7958,,121.0936013442,3.99467410253,4130.21,,,0.1165,4.014850252676865e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
24,RX J0032.9-7348,Classical,,Be,,0,8.233791666666667,-73.8053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
25,BD+61 122,Classical,10.39,B2Vpe,,2,8.751291666666667,62.4483,25.0,b'Gaia DR2 430684721859552384',-2.555,-0.591,0.0,0.0,10.577,10.7273,10.2719,1.242,,121.03299876201,-0.36295843868,7648.74,460.263,12.22,0.3095,1.278525373583443e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
26,EM* AS 3,Classical,10.67,Be,,1,8.926375,68.70729722222222,26.0,b'Gaia DR2 529645887951575808',-1.009,-1.507,0.0,1.05e-15,10.5919,10.8455,10.1924,1.5733,,121.49710618273,5.87936693937,6390.0,35.515,4.86,1.0915,1.2610994940313464e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
27,IPHAS J003559.27+664503.3,Classical,,A0V,,0,8.996958333333334,66.75091944444445,27.0,b'Gaia DR2 527749707136081152',-2.987,0.297,0.0,0.0,16.0269,16.6741,15.2201,,,121.40454278962,3.92481220674,4392.0,2.293,2.62,0.4116,8.447911419945667e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
28,IPHAS J004014.89+651644.0,Classical,,B2V,,0,10.062041666666667,65.27888888888889,28.0,b'Gaia DR2 527492700591664128',-1.723,0.266,0.464,37.1,14.9205,15.4456,14.056,,,121.7614446055,2.43244814536,4819.07,,,0.3525,2.3405038046823152e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
29,IPHAS J004121.36+650413.5,Classical,,,,0,10.339,65.07041944444444,29.0,b'Gaia DR2 527485721264160000',-2.225,0.622,0.149,5.54,13.8722,14.3843,13.1433,,,121.86904973729,2.21936246842,4924.0,27.533,7.21,0.293,6.1465207408518335e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
30,EM* MWC 674,Classical,10.848,B0IIIpe,,1,10.610458333333334,64.05004722222222,30.0,b'Gaia DR2 523961000528617600',-2.716,-0.393,0.0,0.0,10.2182,10.8533,9.4632,,,121.94769556378,1.1954887888,4709.96,590.296,36.49,0.3506,1.779218769580946e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
31,EM* LkHA 201,Classical,14.3,B3Ve,,0,10.855583333333334,61.639830555555555,31.0,b'Gaia DR2 427582411138427904',-1.547,-1.398,0.06,1.26,13.0233,13.8878,12.089,1.1323,,121.97997540725,-1.21713192388,4029.0,66.125,16.69,0.3377,1.3433505313726791e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
32,EM* LkHA 202,Classical,14.0,Be,,0,10.956833333333334,62.25636111111111,32.0,b'Gaia DR2 427629728800278912',-1.872,-0.693,0.0,0.0,12.2701,13.035,11.3878,0.699,,122.04639382814,-0.60226858212,4338.0,63.165,14.07,0.448,2.6882481242687264e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
33,EM* CDS 78,Classical,11.422,B1Vpe,,2,11.053791666666667,64.4622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
34,EM* AS 4,Classical,10.58,B1IVpe,,1,11.175791666666667,63.907783333333334,34.0,b'Gaia DR2 524037416587647616',-1.846,0.149,0.0,0.0,10.292,10.775,9.6569,,,122.19134476535,1.04570567272,4957.33,1206.74,47.09,0.2292,1.662299795476843e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
35,omi Cas,Classical,4.477,B5IIIe,195.0,550,11.181333333333333,48.28436388888889,35.0,b'Gaia DR2 390548351252549760',29.756,-8.151,1.397,675.0,4.3566,4.3945,4.323,0.541,,121.77826703302,-14.57238407153,8895.5,,,4.7046,3.934317018233104e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
36,RX J0045.6-7313,Classical,,Be,,0,11.242916666666666,-73.2294,36.0,b'Gaia DR2 4688854834011709056',,,3.37,1.69,20.369,,,,,303.57909762706,-43.89073101837,,,,,1.5484933743352377e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
37,IPHAS J004517.05+640124.4,Classical,,B3V,,0,11.321041666666666,64.02343888888889,37.0,b'Gaia DR2 524039890488762880',-1.749,0.208,0.0,0.0,15.4866,16.3813,14.5261,1.1818,,122.25802759238,1.15964398076,3929.0,,,0.1004,1.3895345554660094e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
38,IPHAS J004620.80+622503.9,Classical,,,,0,11.586666666666666,62.41775,38.0,b'Gaia DR2 427718273845116288',-2.326,-0.508,0.0,0.0,13.4889,13.9582,12.8426,,,122.34258308511,-0.44829021362,5081.0,40.018,8.16,0.2851,8.748817382890811e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
39,BD+34 113,Classical,9.9,B2IIIe,,50,11.6435,34.82879166666667,39.0,b'Gaia DR2 362441368008470656',-4.385,-10.312,0.0,0.0,9.5234,10.1613,8.7946,0.353,-21.15,121.80110390802,-28.03228914831,4602.99,42.606,10.26,1.8294,3.374033198262927e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
40,IPHAS J004651.68+625914.7,Classical,,B7V,,0,11.715333333333334,62.98741944444444,40.0,b'Gaia DR2 523832941781842176',-1.019,-0.683,0.0,0.0,14.9927,15.4839,14.311,,,122.41230312929,0.12017977353,4909.67,15.269,5.4,0.2352,2.189925554466365e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
41,IPHAS J004741.54+624203.3,Classical,,B7,,0,11.923083333333333,62.700919444444445,41.0,b'Gaia DR2 427748922732488448',-1.221,-0.487,0.0,0.0,14.2435,14.6029,13.6914,1.8595,,122.50247878024,-0.16781470049,5512.0,23.002,5.26,0.2576,4.366257568402382e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
42,AX J0048.2-7309,Classical,15.3,Be,,0,12.058291666666667,-73.1608,42.0,b'Gaia DR2 4685947587891123840',-0.026,-3.241,0.378,0.0538,20.3076,19.4053,19.2314,,,303.25424119602,-43.96535484003,,,,0.5242,1.6385864206784652e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
43,RX J0048.5-7302,Classical,14.84,Be,,0,12.14375,-73.04166944444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
44,IPHAS J004842.93+644411.1,Classical,,B6,,0,12.178875,64.73641944444445,44.0,b'Gaia DR2 524416404498339200',-0.691,-0.152,0.0,0.0,14.8691,15.3425,14.2037,,,122.64130549868,1.86622055428,4994.5,13.566,4.92,0.2616,2.4539705781033088e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
45,IPHAS J004850.12+642533.7,Classical,,,,0,12.208833333333333,64.42603055555556,45.0,b'Gaia DR2 524405752979578368',-1.791,0.31,0.0,0.0,15.8338,16.5403,14.9882,0.754,,122.65096029802,1.55569561832,4314.82,,,0.1767,1.0092281403040433e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
46,BG Phe,Classical,10.18,B5e,,8,12.255458333333333,-56.09704166666667,46.0,b'Gaia DR2 4908668373993964032',0.176,-0.708,0.195,19.8,10.3216,10.2422,10.4706,0.167,,303.6274982574,-61.02794456485,8868.67,,,0.114,1.617593344783317e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
47,RX J0049.0-7250,Classical,16.92,Be,,0,12.274583333333334,-72.8486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
48,RX J0049.2-7311,Classical,16.51,Be,,0,12.308291666666667,-73.1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
49,EM* MWC 677,Classical,10.71,B2Vpe,,1,12.354208333333334,63.8681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
50,RX J0049.5-7310,Classical,16.51,Be,,0,12.373291666666667,-73.1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
