BeSS #,Be star,Type,Simbad classification,Literature classification,Classification source,Vmag,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,N_H,Gamma,HR1,HR2,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source
758,RX J0516.0-6916,Be,HMXB,?,,15.0,,79.00042,-69.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.062,0.6096,0.9797,2.474443e-16,1.02028e-15,9.954589e-14,XMM
761,[HP99] 946,O8e,Be*,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2017PASJ...69..100S/abstract,14.4,,80.12871,-69.5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.337,2.442202e-12,5.43587e-12,1.096193e-11,XRT
772,25 Ori,B1Vpe,Em*,Star,,4.873,263.0,81.18679,1.84644,2.9321,1.047,0.433,0.823,1470.0,4.64114,4.602082,4.647058,,3.484616302892426e-11,,,,4.3199,0.0002,3.5538,0.0004,,,,,5.369,0.027,5.417,0.027,5.355,0.02,,,-0.9365,0.662,2.196181e-14,7.195946e-16,3.538963e-15,CXO
842,RX J0531.2-6609,B0.7Ve,HMXB,?,,14.4,,82.80542,-66.1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3833,0.9427,8.217306e-14,1.8432e-13,6.246922e-12,XMM
849,RX J0532.4-6535,Be,HMXB,?,,,,83.10542,-65.5858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.849,0.095,-0.488,1.146493e-13,1.387193e-13,4.773138e-14,XRT
855,RX J0535.0-6700,B0Ve,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2002A%26A...385..517N/abstract,14.873,,83.77458,-67.0044,-0.0051,1.609,0.565,0.078,1.66,14.782597,14.740006,14.810704,,3.058948491712993e-15,,,,,,,,,,,,,,,,,,,,0.8481,0.9628,2.095263e-15,2.54901e-14,1.346715e-12,XMM
856,V1230 Ori,B8IVve,V*,Orion type variable,,9.736,,83.83629,-5.36233,2.4554,3.064,-1.425,0.22,70.1,9.460669,9.694418,8.97233,,4.1147491496280827e-13,,,,,,,,,,,,8.067,0.026,7.604,0.034,7.38,0.023,58.3731,2.6386,-0.5017,-0.4003,9.554253e-13,3.169964e-13,1.357441e-13,CXO
857,43 Ori,O9.5Vpe,**,Star,https://en.wikipedia.org/wiki/Theta2_Orionis,5.08,183.0,83.84542,-5.41606,2.9728,1.089,2.394,1.433,4570.0,5.001814,4.963159,4.967601,,2.499685460649313e-11,,,,,,,,,,,,4.912,0.037,4.923,0.063,4.837,0.021,24.6861,3.9653,-0.3197,0.3832,3.999014e-13,2.061703e-13,4.623616e-13,CXO
858,RX J0535.6-6651,BIIIe,HMXB,?,,13.8,,83.92158,-66.86456,-0.1045,1.122,0.505,0.0,0.0,18.529274,,,,9.702895725429507e-17,,,,,,,,,,,,,,,,,,,,-0.36,0.638,7.469579e-14,3.515096e-14,1.590532e-13,XRT
892,V725 Tau,O9.7IIe,HMXB,Be/Xray transient,https://ui.adsabs.harvard.edu/abs/1988ESASP.281a.141G/abstract,9.19,,84.72738,26.31579,0.5245,-0.59,-2.88,0.123,25.2,8.601999,8.987547,8.010447,,9.074263038714267e-13,,,,6.829,0.019,6.631,0.014,6.173,0.014,5.211,0.036,8.368,0.021,8.272,0.026,8.157,0.027,32.637,0.561,-0.8027,-0.4095,2.563965e-12,2.806961e-13,1.176076e-13,CXO
914,AX J0544.1-7100,Be,HMXB,?,,15.235,,86.02158,-71.01406,0.0382,1.979,0.776,0.0,0.0,15.307679,15.332313,15.240456,,1.8859899065693628e-15,,,,14.4113,0.0052,14.2783,0.0121,,,,,15.133,0.063,15.025,0.088,15.168,0.193,,3.604,0.906,-0.07,4.485841e-15,9.095758e-14,7.905658e-14,XRT
926,V1167 Tau,B1Vnne,Be*,?,,8.48,,88.37958,25.74224,0.8878,-0.813,-3.655,0.166,34.3,8.266228,8.384643,7.979243,,1.2362883141486647e-12,,,,6.889,0.018,6.539,0.009,5.878,0.015,5.158,0.033,7.521,0.02,7.361,0.029,,,,,-0.294,0.597,1.790344e-13,9.768027e-14,3.870853e-13,XRT
942,HD 42054,B4IVe,Em*,Star,https://ui.adsabs.harvard.edu/abs/2009cxo..prop.2782T/abstract,5.843,,91.76529,-34.31202,3.4337,2.009,-0.203,0.463,321.0,5.763813,5.708571,5.801548,,1.2390412473197722e-11,,,,5.7346,0.0003,5.0967,0.0006,4.985,0.014,4.239,0.022,5.866,0.02,5.838,0.031,5.699,0.02,,,0.094,0.4259,5.98775e-13,7.22985e-13,1.795574e-12,XMM
972,PZ Gem,O9pe,Em*,gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/2015A%26A...575A..99R/abstract,6.64,,96.81575,14.88923,1.1281,-0.715,-0.519,0.268,81.9,6.552404,6.675784,6.314524,,5.993070190415995e-12,855.646912,832.862732,884.268982,5.43,0.029,4.99,0.034,4.253,0.014,3.635,0.023,5.906,0.023,5.761,0.021,5.534,0.017,,,0.2592,0.5855,2.520385e-14,4.28366e-14,1.63872e-13,XMM
985,Cl* NGC 2244 PS 26,B7Ve,Em*,?,https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.3505M/abstract,11.41,,97.87396,4.91374,0.6626,-2.091,0.037,0.086,8.51,12.281327,12.460751,11.9376,,3.062528677712454e-14,,,,8.091,0.013,6.997,0.009,3.858,0.013,2.106,0.019,11.449,0.024,10.887,0.025,9.69,0.021,,,-0.4808,0.3024,2.860516e-15,1.002887e-15,1.872502e-15,CXO
987,Cl* NGC 2244 JOHN 33,B6Vne,YSO,?,https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.3505M/abstract,12.006,,98.0645,4.92228,0.6008,-1.731,0.193,0.127,18.3,11.884101,12.065364,11.553444,,4.415405193658796e-14,,,,10.695,0.011,10.846,0.008,10.479,0.227,7.8,,11.148,0.021,10.998,0.021,10.958,0.023,,,-0.4165,-0.1186,5.218106e-15,2.149672e-15,1.693993e-15,CXO
990,HD 259440,B0pe,HMXB,HMGB,https://ui.adsabs.harvard.edu/abs/2010ApJ...724..306A/abstract,9.12,,98.24688,5.80033,0.5404,-0.026,-0.428,0.102,10.6,8.879788,9.236007,8.30983,,7.025799698589425e-13,,,,6.714,0.022,6.097,0.011,5.34,0.015,4.529,0.032,7.64,0.023,7.39,0.049,6.966,0.02,,1.447,0.6298,0.7479,1.337767e-14,5.88913e-14,4.08401e-13,XMM
1001,15 Mon,B1Ve,Em*,Binary,https://ui.adsabs.harvard.edu/abs/2010NewA...15..302C/abstract,4.64,70.0,100.24442,9.89576,-1.3292,0.903,-6.446,5.228,37400.0,4.543516,4.513306,4.873792,,3.812453577240965e-11,4215.17432,2387.38159,5894.33203,6.187,0.034,5.101,0.016,5.564,0.018,5.336,0.212,5.202,0.023,5.322,0.021,5.34,0.021,26.1717,6.2549,-0.0831,0.7435,2.069038e-13,1.751668e-13,1.190801e-12,CXO
1046,19 Mon,B1Ve,V*,beta Cep type variable,https://ui.adsabs.harvard.edu/abs/2002MNRAS.333..952B/abstract,4.99,270.0,105.72825,-4.23923,2.6167,-4.02,2.267,0.783,706.0,4.92408,4.826459,5.088899,,2.6852143792401305e-11,370.09552,350.739471,389.366364,5.765,0.028,5.372,0.017,,,,,5.389,0.029,5.476,0.026,5.498,0.02,,,-0.7639,-0.0352,2.716281e-14,3.63651e-15,3.388955e-15,XMM
1080,HD 57682,O9Ve,*,Star,https://ui.adsabs.harvard.edu/abs/1998A%26A...330..975C/abstract,6.403,,110.50854,-8.97938,0.8968,9.659,13.159,0.516,427.0,6.374717,6.26368,6.542042,,7.0586908933584415e-12,,,,7.12,0.017,7.028,0.008,6.943,0.015,5.269,0.063,6.811,0.029,6.966,0.065,6.939,0.024,,,-0.1638,-0.4096,2.349337e-13,1.68816e-13,7.071384e-14,XMM
1116,BN Gem,O8Vpev,Em*,Star,https://ui.adsabs.harvard.edu/abs/2021NewA...8301462R/abstract,6.921,362.0,114.27388,16.90425,0.5227,-1.076,-1.876,0.386,123.0,6.69375,6.619261,6.749847,,5.261516832900495e-12,,,,6.747,0.023,6.518,0.012,6.22,0.015,5.572,0.044,7.044,0.032,7.071,0.027,6.965,0.021,,,-0.4016,0.309,2.543349e-14,1.08578e-14,2.056775e-14,XMM
1143,V392 Pup,B7Ve,Em*,?,,5.87,,116.54392,-37.93367,5.0296,-17.898,16.9,0.837,884.0,5.846953,5.786695,5.922387,,1.1477036535374964e-11,,,,6.14,0.021,6.086,0.009,6.196,0.015,6.106,0.05,6.03,0.019,6.1,0.04,6.107,0.018,,,-0.6528,-0.8901,2.566125e-14,5.39037e-15,3.135056e-16,XMM
1161,CD-29 5159,B0Ve,Em*,?,,10.71,,118.92704,-29.56488,0.2854,-2.654,2.892,0.107,20.4,9.938587,10.271199,9.411093,,2.649574675454885e-13,,,,8.126,0.014,7.833,0.009,8.053,0.02,7.261,0.125,9.694,0.022,9.516,0.024,9.309,0.021,,1.224,0.773,0.315,2.157147e-13,1.684855e-12,3.23443e-12,XRT
1168,V374 Car,B2IVnpe,Em*,Star,https://ui.adsabs.harvard.edu/abs/2000AJ....119.2296G/abstract,5.81,200.0,119.71062,-60.82446,2.4707,-4.661,11.226,0.5,303.0,5.805288,5.74743,5.84821,,1.192602633869822e-11,,,,5.9516,0.0003,5.3951,0.0007,4.782,0.015,3.848,0.02,5.558,0.023,5.495,0.023,5.359,0.018,,,0.2166,0.468,2.431096e-14,3.77507e-14,1.041566e-13,XMM
1270,QR Vel,B2Vne,Em*,?,,10.1,,140.49342,-51.17651,0.4966,-4.698,2.691,0.153,24.2,10.047013,10.232986,9.69089,,2.397760293910993e-13,,,,8.491,0.012,8.195,0.008,7.34,0.017,6.516,0.078,9.054,0.03,8.859,0.055,8.609,0.021,,,-0.413,0.637,1.170314e-13,4.861815e-14,2.192504e-13,XRT
1330,HD 90563,B2Ve,Em*,?,,9.86,,156.46858,-58.78531,0.3977,-7.184,3.173,0.099,11.9,9.979592,10.258067,9.497045,,2.551374227089002e-13,,,,7.723,0.014,7.33,0.008,6.401,0.018,5.519,0.039,8.827,0.029,8.57,0.029,8.194,0.021,,,0.956,0.8749,2.30577e-16,1.02619e-14,1.538091e-13,XMM
1373,HD 303296,B1Ve,*,?,,9.5,,160.60433,-59.1568,0.5331,-7.448,2.875,0.344,130.0,9.559617,9.568877,9.473685,,3.756333679152626e-13,,,,9.508,0.014,9.58,0.008,8.958,,3.747,0.049,9.406,0.022,9.445,0.023,9.487,0.025,,,1.0,0.5825,0.0,7.110323e-16,2.694972e-15,CXO
1375,HD 93190,O9.5e,Em*,?,,8.65,,161.08175,-59.28301,0.4141,-6.398,2.624,0.141,17.9,8.381301,8.605257,7.960076,,1.1119635827266637e-12,,,,6.594,0.069,6.217,0.03,5.631,0.023,4.707,,7.54,0.02,7.359,0.038,7.038,0.02,,,-0.431,0.0209,1.402999e-14,5.578612e-15,5.816788e-15,CXO
1379,HD 305560,Oe,*,Star,https://ui.adsabs.harvard.edu/abs/2014GCN.16874....1D/abstract,9.82,,161.61854,-60.5641,0.1706,-5.353,1.164,0.088,8.11,9.602126,9.825287,9.184463,,3.61210664559665e-13,,,,8.298,0.011,8.253,0.008,8.134,0.026,9.317,,8.667,0.024,8.513,0.033,8.42,0.023,,,0.906,0.771,2.657111e-12,5.387716e-11,4.166657e-10,XRT
1389,HD 93843,O6IIIe,V*,Star,https://ui.adsabs.harvard.edu/abs/1998MNRAS.301..926P/abstract,7.33,,162.15742,-60.22374,0.4157,-5.956,1.8,0.265,54.4,7.274279,7.249497,7.243824,,3.082473588685393e-12,,,,7.28,0.014,7.252,0.008,6.994,0.026,5.717,0.218,7.226,0.029,7.267,0.047,7.234,0.029,64.2457,7.1349,-0.4285,0.3003,1.191315e-13,4.765648e-14,8.855461e-14,CXO
1411,HD 305891,B3Ve,Em*,?,,10.37,,165.62496,-60.81552,0.4127,-6.089,1.784,0.144,20.2,10.208307,10.121664,10.015839,,2.066751036733153e-13,,,,9.7441,0.0005,9.7416,0.0011,9.432,0.286,6.773,0.187,9.915,0.033,9.87,0.035,9.859,0.027,,,0.3868,-0.0773,5.516723e-15,1.24774e-14,1.068775e-14,XMM
1448,2E 1118.7-6138,O9.5IVe,HMXB,?,,12.12,,170.23842,-61.91675,0.3293,-5.421,1.37,0.07,6.38,11.589363,12.270934,10.759902,,5.792496287987764e-14,,,,7.747,0.008,7.599,0.007,6.804,0.019,6.025,0.052,9.563,0.024,9.071,0.023,8.587,0.019,105.5,1.5022,-0.7675,-0.7211,3.036318e-12,3.994976e-13,6.474865e-14,CXO
1451,HD 99146,B3Ve,Em*,?,,8.18,,170.97071,-59.30481,-1.6586,-5.833,1.538,7.294,30000.0,8.042924,8.150716,7.71876,,1.5185928968462317e-12,,,,6.897,0.015,6.553,0.009,5.854,0.009,5.386,0.032,7.398,0.023,7.314,0.046,7.034,0.027,,,,1.0,0.0,0.0,4.55945e-15,CXO
