BeSS #,Name,RA,Dec,Class,Gmag,epsi,dist,Catalogs,Literature classification,Reference
942,HD 42054,06 07 03.67,-34 18 43.28,Em*,5.746292,0.402,333.694343,"Gaia, 4XMM",Be star,https://ui.adsabs.harvard.edu/abs/2009cxo..prop.2782T/abstract
972,PZ GEm*,06 27 15.78,14 53 21.22,Em*,6.396964,0.086,809.13766,"Gaia, 4XMM",gamma Cas type Oe star,https://ui.adsabs.harvard.edu/abs/2015A%26A...575A..99R/abstract
985,Cl* NGC 2244 PS 26,06 31 29.75,04 54 49.45,Em*,12.284606,0,1504.327553,"Gaia, 2CXO",,
987,Cl* NGC 2244 JOHN 33,06 32 15.48,04 55 20.21,YSO,11.891901,0,1587.831896,"Gaia, 2CXO",,
990,HD 259440,06 32 59.25,05 48 01.18,HMXB,8.872496,0,2555.145189,"Gaia, 4XMM, 2SXPS",?-ray binary,https://ui.adsabs.harvard.edu/abs/2010ApJ...724..306A/abstract
1001,15 Mon,06 40 58.66,09 53 44.72,Em*,4.509574,2.758,3216.112711,"Gaia, 2CXO, 4XMM",Binary,https://ui.adsabs.harvard.edu/abs/2010NewA...15..302C/abstract
1046,19 Mon,07 02 54.78,-04 14 21.24,V*,4.910545,1.047,388.026324,"Gaia, 4XMM",beta Cep type variable,https://ui.adsabs.harvard.edu/abs/2002MNRAS.333..952B/abstract
1080,HD 57682,07 22 02.05,-08 58 45.77,*,6.366022,0.17,1201.768227,"Gaia, 4XMM",,
1116,BN GEm*,07 37 05.73,16 54 15.30,Em*,6.660056,0.17,2561.654454,"Gaia, 4XMM",Oe star,https://ui.adsabs.harvard.edu/abs/2021NewA...8301462R/abstract
1143,V392 Pup,07 46 10.54,-37 56 01.21,Em*,5.833981,0.574,202.983598,"Gaia, 4XMM",,
1161,CD-29 5159,07 55 42.49,-29 33 53.58,Em*,9.940406,0,3437.038478,"Gaia, 2SXPS",,
1168,V374 Car,07 58 50.55,-60 49 28.06,Em*,5.798978,0.725,398.750496,"Gaia, 2CXO, 4XMM",,
1270,QR Vel,09 21 58.42,-51 10 35.42,Em*,10.020493,0,2910.666419,"Gaia, 2SXPS",,
1330,HD 90563,10 25 52.46,-58 47 07.13,Em*,9.970703,0,3016.984675,"Gaia, 4XMM",,
1373,HD 303296,10 42 25.04,-59 09 24.49,*,9.553513,0.296,1402.796803,"Gaia, 2CXO",,
1375,HD 93190,10 44 19.62,-59 16 58.82,Em*,8.373357,0,2725.954411,"Gaia, 2CXO",,
1379,HD 305560,10 46 28.45,-60 33 50.76,*,9.596666,0,9761.388078,"Gaia, 2SXPS",,
1389,HD 93843,10 48 37.78,-60 13 25.47,V*,7.261944,0.106,2448.658182,"Gaia, 2CXO",,
1411,HD 305891,11 02 29.99,-60 48 55.86,Em*,10.204387,0.183,2366.499789,"Gaia, 4XMM",,
1448,2E 1118.7-6138,11 20 57.22,-61 55 00.29,HMXB,11.598115,0,2925.148728,"Gaia, 2CXO",,
1451,HD 99146,11 23 52.97,-59 18 17.32,Em*,8.005087,1.26,2050.551422,"Gaia, 2CXO",,
1456,HD 100199,11 31 06.91,-62 56 48.94,HMXB,8.125551,0.277,1264.49213,"Gaia, 2CXO",,
1492,V801 Cen,11 48 00.02,-62 12 24.89,Em*,8.631836,0,2228.149023,"Gaia, 2CXO",Be/Xray binary,https://ui.adsabs.harvard.edu/abs/2006AAS...20915107I/abstract
1509,V863 Cen,12 08 05.22,-50 39 40.57,Em*,4.390621,2.304,101.425696,"Gaia, 4XMM",B (not Be) star,https://ui.adsabs.harvard.edu/abs/2001A%26A...366..121B/abstract
1510,del Cen,12 08 21.50,-50 43 20.74,Em*,15.978441,4.494,4687.715783,"Gaia, 4XMM",Be binary,https://ui.adsabs.harvard.edu/abs/2008A%26A...488L..67M/abstract
1537,BZ Cru,12 42 50.27,-63 03 31.05,Em*,5.117424,0.619,416.401521,"Gaia, 4XMM",gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/2007A%26A...474..983L/abstract
1563,CPD-63 2495,13 02 47.66,-63 50 08.67,HMXB,9.625128,0,2243.231078,"Gaia, 2CXO, 4XMM, 2SXPS",,
1591,HD 117357,13 31 15.49,-61 43 57.42,V*,9.023625,0,2386.71164,"Gaia, 4XMM",,
1601,HD 119682,13 46 32.57,-62 55 24.13,Em*,8.563392,0.138,1620.055073,"Gaia, 2CXO, 4XMM",,
1608,HD 120526,13 52 17.33,-66 24 15.81,Em*,8.75239,0.103,1016.865367,"Gaia, 2CXO",,
1611,V767 Cen,13 53 57.24,-47 07 41.39,Em*,6.16622,0.624,3152.266976,"Gaia, 4XMM",,
1703,V1040 Sco,15 53 55.86,-23 58 41.15,Em*,5.350556,0.567,140.830134,"Gaia, 2CXO",,
1709,48 Lib,15 58 11.37,-14 16 45.69,Em*,4.717305,1.24,132.802982,"Gaia, 4XMM",,
1758,zet Oph,16 37 09.54,-10 34 01.53,Em*,2.46316,2.807,181.879569,"Gaia, 2CXO",Oe star,https://ui.adsabs.harvard.edu/abs/2011AN....332..147H/abstract
1790,HD 153295,17 00 25.25,-42 19 00.29,HMXB,8.677724,0,1562.363954,"Gaia, 2CXO",Possible HMXB?,https://ui.adsabs.harvard.edu/abs/2007A%26A...461..631N/abstract
1812,V1075 Sco,17 15 19.25,-33 32 54.31,Em*,5.645035,0.353,990.448639,"Gaia, 4XMM",,
1827,gam Ara,17 25 23.66,-56 22 39.81,Em*,3.163941,2.074,275.268484,"Gaia, 4XMM",B supergiant,https://ui.adsabs.harvard.edu/abs/1997A%26A...318..157P/abstract
1829,V750 Ara,17 27 54.81,-47 01 34.40,Em*,6.54499,0,1078.415993,"Gaia, 4XMM",,
1838,Cl* NGC 6383 FJL 24,17 34 47.94,-32 35 20.29,*,11.270289,0,1426.840775,"Gaia, 4XMM",,
1851,V3892 Sgr,17 44 45.78,-27 13 44.50,Em*,8.204665,0,1176.710018,"Gaia, 2CXO, 4XMM",,
1858,HD 316341,17 48 35.53,-29 57 28.81,Em*,9.608113,0,1847.922891,"Gaia, 2CXO",,
1868,HD 316520,17 52 03.41,-28 45 31.21,Em*,10.639749,0,1633.451625,"Gaia, 2CXO",,
1875,HD 316568,17 54 42.71,-29 43 47.61,Em*,9.628762,0,2084.344497,"Gaia, 2CXO, 4XMM",,
