#,name_BeSS,mag_BeSS,type_BeSS,_RAJ2000_BeSS,_DEJ2000_BeSS,_2CXO,_4XMM,_2SXPS,Flag_x,_RAJ2000_X,_DEJ2000_X,X_pos,Flux (s band),Flux (m band),Flux (h band),X_flux,Gamma,_RAJ2000_gaia,_DEJ2000_gaia,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,abs_BPmag,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,dist,HR_hms,HR_hm,HR_ms,Gflux,Flux (b band),LX,X-O-fluxratio,BP-RP,ebv,nH,main_type,main_id,Memberships,Class
82,CXOU J005323.8-722715,16.19,Be,13.349583333333332,-72.4542,J005323.8-722715,J005323.8-722715,4024.0,CXO+XMM+XRT,13.349516327,-72.45431442,CXO,1.1740500071705e-14,2.4015664959591e-14,2.0689979301993e-13,CXO,0.886785,13.3494122533477,-72.4542905359557,0.65,0.03999999910593033,-1.323,0.041999999433755875,0.037,0.11699999868869781,0.888,16.185415,0.003143,16.124111,0.004636,16.27051,0.014973,15631.5186,11142.4043,22607.2988,11711.7617,9516.61621,15392.2881,0.15410514139380815,15.65886027431488,-0.01620237469612788,15.316840355873108,-0.0362740472517611,,,,,00532381-7227152,16.274,0.107,15.802,0.159,16.502,,15631.5186,0.7052933270754663,0.7919960389856545,0.3433020537057601,3.400536163592551e-12,2.42655958051226e-13,7.095696152736e+33,0.07135814659146816,-0.1463990000000024,0.23287148376798725,4.10121536335186,HMXB,RX J0053.4-7227,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
92,Cl* NGC 330 ELS 065055,14.72,B1IIIe,13.480583333333332,-72.44591666666668,J005355.3-722645,J005355.5-722644,3609.0,CXO+XMM+XRT,13.480639219,-72.445993786,CXO,1.6729236065701e-15,1.5013347562725e-15,3.5559678595745e-15,CXO,0.7143999934196472,13.4804832332576,-72.4459501629928,0.678,0.024000000208616257,-1.234,0.023000000044703484,0.104,3.4700000286102295,0.987,14.664824,0.003054,14.632143,0.004874,14.606682,0.008292,25483.3027,19350.9297,32414.7129,22598.0684,18398.2695,29353.8965,-2.39913556483031,13.454000473022461,0.013000000268220901,13.402000427246094,0.012000000104308128,,,,,00535518-7226448,14.413,0.036,14.214,0.056,13.998,0.069,25483.3027,0.05671570079776792,0.4062705476361709,-0.05405635921328705,1.379697247217422e-11,6.730226222417099e-15,5.2304950541829824e+32,0.000487804569878692,0.025460999999999956,0.23296438680978904,4.1176187817219425,HMXB,RX J0053.9-7226,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
117,Cl* NGC 330 ELS 016486,15.58,B1IIIe,13.693416666666666,-72.4229888888889,J005446.3-722522,J005446.3-722523,3157.0,CXO+XMM+XRT,13.692969448,-72.423015047,CXO,1.1991294635575e-15,3.4037848659614e-15,2.0432853895998e-14,CXO,2.05342,13.6932093913681,-72.4229988274373,0.699,0.03099999949336052,-1.247,0.03099999949336052,0.096,1.4800000190734863,1.012,15.482405,0.002894,15.45147,0.005303,15.366459,0.00531,18205.9082,14140.6123,24039.0488,24066.2871,15670.7139,32403.4043,-0.8495917427465045,14.454000473022461,0.01600000075995922,14.309000015258789,0.017000000923871994,12.628999710083008,,8.90999984741211,,00544633-7225228,15.293,0.059,15.205,0.093,14.84,0.12,18205.9082,0.6322929427963366,0.714407312209349,0.47896946251318395,6.497576445620349e-12,2.50357682255169e-14,9.930870688142299e+32,0.003853093293329716,0.08501099999999973,0.23323740339894053,4.130464941058087,HMXB,[MA93]  798,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
121,Cl* NGC 330 ELS 064832,16.79,B3IIIe,13.727416666666665,-72.45656666666667,,,57031.0,XRT,13.7269,-72.45491,XRT,8.04762629908103e-18,7.56775568893521e-18,7.350247232559632e-18,XRT,,13.7255509809236,-72.4548176992434,-0.908,1.8220000267028809,2.54,1.152999997138977,0.0,0.0,0.978,20.673588,0.011053,21.16449,0.342451,20.694468,0.386407,4013.11865,2053.67065,7263.53418,2162.9729,370.982666,5736.76465,8.147079999638148,,,,,,,,,,,,,,,,4013.11865,-0.3598915002969536,-0.014580266374809275,-0.03073063537696928,5.448515588648054e-14,2.2965629220575872e-17,4.426332724985907e+28,0.0004215024963574411,0.47002200000000016,0.2354883430185676,4.203428664156486,,,"XRT,Gaia",star
140,Cl* NGC 330 KWBBE 1054,16.66,Be,13.896433,-72.485176,J005535.1-722906,J005535.0-722906,5379.0,CXO+XMM+XRT,13.896299965,-72.485242923,CXO,2.9864433725893e-15,6.1940285149859e-15,3.1694072746719e-14,CXO,0.6439999938011169,13.8964325548077,-72.4851763939856,0.684,0.026000000536441803,-1.249,0.02199999988079071,0.092,2.740000009536743,0.917,14.671276,0.003206,14.634916,0.004896,14.671101,0.007686,20287.8438,15477.2461,27231.8926,19264.248,15653.833,23077.3672,-1.90126346249005,14.133000373840332,0.017000000923871994,13.928000450134277,0.01600000075995922,12.302000045776367,,9.050000190734863,,00553515-7229066,14.529,0.042,14.529,0.064,14.357,0.08,20287.8438,0.5507975944582054,0.6730356862065048,0.34939218611820255,1.3715226930577563e-11,4.08745446342942e-14,2.0133831045625734e+33,0.002980231011939438,-0.03618499999999969,0.23756576980715094,4.3042315114246925,HMXB,SXP 645,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
151,Cl* NGC 330 G 68,17.4,B5IVe,13.957651,-72.45288,,J005549.2-722709,,XMM,13.95531694,-72.45259389,XMM,3.468597644646405e-17,7.3524253997374585e-16,3.094404136455723e-15,XMM,,13.9576509096758,-72.452880175005,0.878,0.13099999725818634,-0.827,0.12300000339746475,0.808,10.699999809265137,1.385,17.744076,0.00318,17.66579,0.006,17.799032,0.011999,10240.4072,7210.25342,15392.4873,9127.50586,7356.71631,11409.4707,2.6142038685602422,15.892000198364258,0.03200000151991844,15.569999694824219,0.04800000041723251,12.645999908447266,,9.206000328063965,,,,,,,,,10240.4072,0.6015205803531382,0.6160259146103568,0.9098981900092834,8.09250539840435e-13,3.8643326528759326e-15,4.849652993704909e+31,0.004775199351288523,-0.1332419999999992,0.23693114830102568,4.262499609765768,,,"XMM,Gaia,WISE",star
164,2E 0054.4-7237,15.88,Be,14.021708333333333,-72.3667,J005605.5-722159,J005605.5-722159,5767.0,CXO+XMM+XRT,14.022998573,-72.36656423,CXO,0.0,0.0,0.0,CXO,,14.0230616559838,-72.3665144871477,0.712,0.041999999433755875,-1.26,0.03999999910593033,0.133,1.8300000429153442,0.968,15.97395,0.002967,15.884355,0.004735,16.122932,0.005565,18270.6055,12797.7051,24212.4727,10306.0137,8786.00586,13189.1543,-0.4244097019929356,,,,,,,,,00560554-7221595,15.846,0.091,14.186,,14.095,,18270.6055,-0.33333333333333337,0.0,0.0,4.131743930467889e-12,0.0,0.0,0.0,-0.23857699999999937,0.2364695086759867,4.136881931134172,HMXB,[MA93]  904,"CSC,XMM,XRT,Gaia,2MASS",HMXB
190,Cl* NGC 330 KWBBE 222,15.96,B2IIIe,14.074344,-72.467921,,J005618.6-722803,13539.0,XMM+XRT,14.07782194,-72.46757306,XMM,1.5125580326074823e-16,2.791161101469934e-15,5.763002077315911e-14,XMM,,14.08039438056,-72.4669062302076,-0.393,0.1770000010728836,-2.292,0.15700000524520874,1.476,189.0,3.646,16.035002,0.004119,15.486712,0.013517,15.637406,0.01026,1018.35132,912.294373,1212.61829,1070.94556,886.178528,1261.86609,5.447223846657517,,,,,,,,,,,,,,,,1018.35132,0.9028463434020016,0.9076098475775779,0.8971894139014998,3.905823353372484e-12,6.05724376778898e-14,7.517475486204715e+30,0.015508237879111585,-0.15069399999999966,0.23774328005644774,4.3182471976176044,Em*,OGLE SMC-SC7 209255,"XMM,XRT,Gaia",star
216,Cl* NGC 330 ELS 004509,16.52,B2IVe,14.1575,-72.302182,,J005638.1-721810,,XMM,14.15875194,-72.30280806,XMM,2.7899394914535924e-17,2.7688363275445784e-16,5.304541544782728e-15,XMM,,14.1588930819912,-72.3030919076058,8.708,1.0789999961853027,0.399,1.2280000448226929,3.963,4.340000152587891,1.236,20.56907,0.01319,20.221716,0.055644,20.152634,0.10408,1536.4657,944.717957,2471.85327,715.831055,684.421753,735.676208,9.289101652361804,,,,,,,,,,,,,,,,1536.4657,0.8913298655721114,0.9007838951711494,0.8169229098620561,5.999090281726562e-14,5.6093245724517215e-15,1.5847399886261876e+30,0.09350291975998293,0.06908200000000164,0.24008581169665844,4.0912426937441255,,,"XMM,Gaia",star
217,gam Cas,2.47,B0IVpe,14.177208333333333,60.71674166666667,,J005642.4+604300,,XMM,14.17688194,60.71668806,XMM,8.778351607275925e-13,1.4783090916434047e-11,1.0763945712060449e-10,XMM,,14.1774509982081,60.716722804712,,,,,2.042,2970.0,,2.064583,0.006459,2.725843,0.056703,2.315109,0.036769,,,,,,,,1.5132910690307617,-43.91781428517635,0.5340462379455566,-0.0010573547692365938,0.3619999885559082,0.11999999731779099,-0.28700000047683716,0.009999999776482582,00564251+6043002,2.039,0.238,1.993,0.182,1.756,0.23,168.0,0.7459711694157108,0.7584907167270939,0.8878948592947206,1.5131437828983493e-06,1.2330038319776611e-10,4.164709343542594e+32,8.148623058252306e-05,0.4107339999999997,0.6735914804870877,4.155287739025248,Be*,* gam Cas,"XMM,Gaia,2MASS,WISE",$\gamma$ Cas analog
