BeSS #,Name,RA,Dec,Vmag,SpecType,Simbad classification,Catalog memberships,Literature classification,Reference,epsi,sepsi,BP-RP,Parallax,Parallax_err,Gflux,Gflux_corrected,Gflux_err,Gmag,Gmag_corrected,Gmag_err,PM,PM_dec,pmdec_error,PM_RA,PM_RA_err,rgeo,rpgeo,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,NHGal,S_N,2CXO,2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,2MASS,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag
217,gam Cas,14.17720833,60.71674167,2.47,B0IVpe,Em*,"Gaia, XMM, WISE, 2MASS",gamma Cas,https://ui.adsabs.harvard.edu/abs/1978ApJ...220..940P/abstract,2.042,2968.0,0.410735,,,2812640000.0,2812640000.0,15134900.0,2.0645830000000003,2.0645830000000003,0.006459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005642.4+604300,4.45948e-12,9.01023e-15,1.43329e-11,1.42089e-14,3.00362e-11,2.03239e-14,6.14234e-11,4.72037e-14,1.0651799999999999e-10,1.24426e-13,2.1733199999999998e-10,1.36272e-13,9.78278e-11,3.8981199999999994e-14,0.600852,0.000704471,0.361398,0.000515199,-0.124144," 4.98733e-04",-0.375511,0.0005877930000000001,00564251+6043002,2.039,1.993,1.756,0.238,0.182,0.23,J005642.59+604300.3,1.5172909947763602,,0.5660439377808224,,0.362,0.12
228,RX J0057.4-7325,14.3625,-73.42209722,15.67,Be,HMXB,"Gaia, Chandra, Swift, WISE, 2MASS",unclear,https://ui.adsabs.harvard.edu/abs/2000PASJ...52L..53Y/abstract,0.07200000000000001,0.7259,-0.050037,0.0293,0.0285,10590.4,10590.4,17.875,15.625085,15.625085,0.0033090000000000003,1.511,-1.286,0.032,0.7929999999999999,0.033,11827.8643,12084.1299,8.209999999999998e-13,7.09e-13,7.59e-14,4.85e-14,0.0,,0.4822,0.51343,0.03998,4.72,18.311,J005727.1-732519,150891.0,0.0133,0.0021100000000000003,-0.0021100000000000003,0.481,0.046,0.00155,-0.0007769999999999999,0.00533,0.00128,-0.00128,0.00581,0.00136,-0.00136,4.67E-02,7.24e-13,8.61e-13,1.48E+00,4.85E-01,-4.00E-01,,,,,,,,,,,,,,,,,,,,,,,,00572706-7325192,15.67,15.575,15.605,0.063,0.145,0.24,,15.170621999799573,,15.233432530410715,,,
248,[HP2004] 39,15.12579167,-72.3431,,Be,,"XMM, Swift",HMXB?,https://ui.adsabs.harvard.edu/abs/2003A%26A...403..901S/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64205.0,0.00436,0.000508,-0.000508,0.5539999999999999,0.232,0.000286,-0.00019,0.00149,0.00029,-0.00029,0.00241,0.000367,-0.000367,0.00E+00,3.5e-13,3.64e-13,1.05E+00,2.97E-01,-2.68E-01,J010030.1-722033,3.3416099999999996e-16,9.38633e-17,7.644089999999999e-16,1.25976e-16,5.02643e-15,3.06277e-16,2.22788e-14,1.04241e-15,2.87973e-14,3.78458e-15,5.29741e-14,4.11516e-15,2.0034099999999998e-14,7.11119e-16,0.824425,0.020185599999999998,0.40335,0.0184967," 0.044962"," 1.66777e-02",-0.040202,0.020388299999999998,,,,,,,,,,,,,,
258,RX J0101.3-7211,15.33670833,-72.1886,15.49,Be,HMXB,"Gaia, Chandra, XMM, Swift, WISE, 2MASS",Be/XRB,https://ui.adsabs.harvard.edu/abs/2001A%26A...369L..29S/abstract,0.217,6.593,-0.188244,-0.0272,0.034,10938.8,10938.8,36.1312,15.589946,15.589946,0.004522,1.471,-1.24,0.036000000000000004,0.79,0.045,16972.9512,14967.6523,,,,,,0.0,,,,6.85,26.797,J010120.6-721118,51334.0,0.188,0.0271,-0.0271,0.287,0.511,0.0033200000000000005,-0.0033200000000000005,0.0368,0.0129,-0.0129,0.139,0.0215,-0.0215,0.00E+00,2.12e-11,2.31e-11,"          ","           ","           ",J010120.6-721119,1.75619e-15,1.61747e-16,7.56552e-15,2.99284e-16,2.7041000000000004e-14,5.76059e-16,1.0881600000000001e-13,1.94247e-15,3.89009e-13,9.94626e-15,5.36326e-13,1.0185e-14,1.0323499999999999e-13,1.31697e-15,0.666565,0.0236225,0.450191,0.0152172," 0.167650"," 1.23994e-02"," 0.058280",0.013706,01012065-7211192,15.393,15.300999999999998,15.088,0.055,0.111,0.13,J010120.61-721119.1,15.416,0.021,15.243,0.032,12.554,
271,RX J0105.5-7221,16.148,-72.36328056,15.15,Be,HMXB,"Gaia, Chandra, Swift, WISE, 2MASS",unconfirmed,no mentions,0.147,4.606,0.052005,0.0193,0.0252,16845.0,16845.0,21.4549,15.121189,15.121189,0.003083,1.491,-1.272,0.029,0.778,0.035,12881.1953,10756.1504,0.0,0.0,0.0,0.0,,,,,,5.69,5.412000000000001,J010435.4-722148,153308.0,0.0114,0.00232,-0.00232,0.384,0.425,0.0006519999999999999,-0.0006519999999999999,0.00252,0.000983,-0.000983,0.00691,0.00158,-0.00158,6.63E-01,5.44e-13,6.98e-13,"          ","           ","           ",,,,,,,,,,,,,,,,,,,,,,,,01043544-7221485,14.991,14.82,14.526,0.029,0.058,0.095,J010435.41-722148.6,14.358,0.014,14.135,0.014,12.856,0.447
287,XTE J0111-7317,17.785,-73.2794,15.52,B1IVe,HMXB,"Gaia, XMM, WISE, 2MASS",Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..971S/abstract,0.0,0.0,0.016436000000000003,-0.0879,0.0253,12603.5,12603.5,14.118,15.436142000000002,15.436142000000002,0.003012,1.596,-1.236,0.028,1.01,0.034,25603.6875,24033.5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J011108.4-731646,6.222590000000001e-16,2.0457400000000003e-16,2.06339e-15,3.23981e-16,3.37041e-15,4.841080000000001e-16,6.91506e-15,1.14176e-15,2.20267e-14,6.94447e-15,3.7969499999999997e-14,7.096139999999999e-15,1.21316e-14,1.0284000000000001e-15,0.484245,0.12498,0.21011999999999997,0.0946413,-0.076779," 9.23760e-02",-0.276336,0.151597,01110860-7316462,15.095999999999998,15.185,14.902,0.05,0.085,0.125,J011108.52-731646.3,14.546,0.014,14.361,0.015,12.362,
336,ACHERNAR,24.42854167,-57.23675278,0.5,B6Vpe,Em*,"XMM, 2MASS",Be star,https://ui.adsabs.harvard.edu/abs/2003A%26A...407L..47D/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J013742.6-571413,1.28896e-13,5.44189e-15,3.3520700000000003e-13,7.64908e-15,8.88298e-14,4.1155e-15,1.75722e-14,3.4825000000000005e-15,1.3944799999999997e-14,8.09673e-15,5.84488e-13,1.36749e-14,6.076149999999999e-13,1.2595299999999999e-14,0.5354,0.0171077,-0.600626,0.0165472,-0.859062," 2.64721e-02",-0.635355,0.177814,01374284-5714119,0.815,0.865,0.88,0.254,0.32,0.33,,,,,,,
382,V831 Cas,26.75070833,61.35658056,11.34,B1IVe,HMXB,"Gaia, XMM, Swift, WISE, 2MASS",unconfirmed,no mentions,0.184,64.95,1.030197,0.328,0.0217,614891.0,614891.0,823.448,11.215371,11.215371,0.003115,1.033,-0.08199999999999999,0.017,-1.029,0.016,2751.88892,2740.13037,,,,,,,,,,,,,201023.0,0.871,0.0374,-0.0374,0.779,0.825,0.00809,-0.00374,0.0746,0.0114,-0.0114,0.7879999999999999,0.0355,-0.0355,6.68E-01,1.06e-10,1.39e-10,-7.20E-01,-1.00E+00,-1.64E-01,J014700.2+612123,2.38465e-14,1.4049400000000001e-15,2.53707e-13,4.4787e-15,1.7833299999999998e-12,1.26271e-14,6.26065e-12,4.0260599999999996e-14,1.71348e-11,1.74159e-13,2.54422e-11,1.79663e-13,5.7437099999999996e-12,2.64192e-14,0.819435,0.00984703,0.7256859999999999,0.00452927," 0.104715"," 4.72716e-03",-0.170784,0.00580317,01470019+6121236,9.899,9.7,9.486,0.027000000000000003,0.036000000000000004,0.02,J014700.20+612123.5,9.155,0.014,8.986,0.009000000000000001,8.628,0.023
465,V782 Cas,32.18933333,65.037425,7.622000000000001,B6IIe,Em*,"Gaia, XMM, WISE, 2MASS",unconfirmed,no mentions,0.319,110.3,0.612152,1.1826,0.0334,19020500.0,19020500.0,22562.2,7.489314,7.489314,0.003041,3.951,-3.572,0.028,1.69,0.024,832.176147,827.184937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J020845.4+650214,0.0,1.1346e-15,5.5814300000000005e-15,2.22405e-15,7.35669e-14,7.0519999999999994e-15,8.041430000000001e-13,3.90188e-14,6.245380000000001e-12,3.42201e-13,7.12868e-12,3.445e-13,4.38272e-13,1.91123e-14,1.0,0.432471,0.812409,0.0696715," 0.570491"," 3.62361e-02"," 0.397745",0.0308052,02084543+6502147,6.6610000000000005,6.45,6.199,0.035,0.024,0.023,J020845.39+650214.1,6.5360000000000005,0.027000000000000003,5.977,0.016,4.837,0.015
512,BD+56 511,34.69966667,57.06724722,9.11,B3IIIe,Em*,"Gaia, Chandra, WISE, 2MASS",unconfirmed,no mentions,0.109,17.83,0.558711,0.3865,0.0185,4643810.0,4643810.0,1654.34,9.020182,9.020182,0.002782,1.024,-1.015,0.017,-0.13699999999999998,0.013,2431.97217,2416.52417,3.47e-16,0.0,1.5e-16,7.16e-17,,,-0.12742,-0.8157399999999999,-0.29232,40.75,2.818,J021847.9+570402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02184793+5704021,8.298,8.187999999999999,8.095,0.043,0.046,0.024,J021847.93+570402.2,7.784,0.009000000000000001,7.744,0.006999999999999999,7.286,0.018000000000000002
