#,Be star,Vmag,Type,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,HR1,HR2,N_H,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source,Gamma
688,BQ Cam,11.3,Be,,53.74954166666667,53.17321944444444,0.1343,-0.268,0.44,0.0,4.28e-15,14.200214,15.475269,13.086571,,5.230285117870031e-15,5883.42285,5484.55127,6301.04053,9.986000061035156,0.014000000432133675,9.760000228881836,0.008999999612569809,9.083999633789062,0.028999999165534973,8.46399974822998,0.33000001311302185,11.817,0.023,11.206,0.03,10.744,0.025,-0.12134854618881265,-0.7675373416686814,,1.654577864000595e-14,1.2964722258650358e-14,1.705092011197809e-15,CXO,
695,MEROPE,4.164,B6IVe,240.0,56.581541666666666,23.948355555555555,7.067,13.075,-48.404,1.505,3080.0,4.172742,4.148266,4.159457,,5.3643136641704414e-11,141.260788,134.23259,148.06897,,,,,,,,,4.233,0.24,4.309,0.154,4.22,0.016,1.0,0.39412388231086704,87.2032,0.0,7.820379821620063e-14,1.7994731859783418e-13,CXO,8.73987
705,Menkhib,4.06,O7.5IIIe,213.0,59.74125,35.79103055555556,2.4457,0.778,2.621,1.328,3190.0,3.974884,3.970395,3.889252,,6.43661249761657e-11,425.826111,376.98407,483.213562,4.08744016770706,0.00017509553281261947,3.576038044232437,0.00043191453850214477,3.950000047683716,0.014999999664723873,3.760999917984009,0.029999999329447746,3.987,0.27,4.07,0.224,3.953,0.036,-0.4921008158530707,-0.7750109768195481,,1.5301652115218617e-12,5.20856e-13,6.602037068393353e-14,XMM,
745,lam Eri,4.249,B2IVne,318.0,77.28658333333333,-8.754080555555555,3.6256,1.726,-2.276,1.547,4510.0,4.243453,4.117129,4.385517,,5.0260842494343966e-11,,,,5.333000183105469,0.06499999761581421,4.135000228881836,0.050999999046325684,4.065000057220459,0.014000000432133675,3.6530001163482666,0.023000000044703484,4.854,0.204,4.832,0.076,4.713,0.02,-0.39362906958705257,-0.3454415817878725,,4.575362919180575e-14,1.99075e-14,9.685014858276015e-15,XMM,
758,RX J0516.0-6916,15.0,Be,,79.00041666666667,-69.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6096244744401146,0.9797092793871672,,2.474442626481436e-16,1.02028e-15,9.95458871133289e-14,XMM,1.062000036239624
761,[HP99] 946,14.4,O8e,,80.12870833333334,-69.5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37999999999999995,0.337,,2.4422024181188626e-12,5.435869898393597e-12,1.0961927683487541e-11,XRT,
772,25 Ori,4.873,B1Vpe,263.0,81.18679166666666,1.8464444444444443,2.9321,1.047,0.433,0.823,1470.0,4.64114,4.602082,4.647058,,3.484616302892426e-11,,,,4.3198852299550925,0.00017280913225809454,3.553764069194248,0.00042571177365458604,,,,,5.369,0.027,5.417,0.027,5.355,0.02,-0.9365476221727131,0.6620477829519135,,2.196181091847786e-14,7.195945548745236e-16,3.5389634221079677e-15,CXO,
842,RX J0531.2-6609,14.4,B0.7Ve,,82.80541666666666,-66.1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38330055905569704,0.9426798079233384,,8.21730608078769e-14,1.8432e-13,6.246921533646116e-12,XMM,
849,RX J0532.4-6535,,Be,,83.10541666666667,-65.5858,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09500000000000007,-0.48800000000000004,,1.146493010314875e-13,1.387193200325733e-13,4.77313789359392e-14,XRT,2.8489999771118164
855,RX J0535.0-6700,14.873,B0Ve,,83.77458333333334,-67.0044,-0.0051,1.609,0.565,0.078,1.66,14.782597,14.740006,14.810704,,3.058948491712993e-15,,,,,,,,,,,,,,,,,,0.8480887987003332,0.9628479838367848,,2.0952628006683347e-15,2.54901e-14,1.3467153753646555e-12,XMM,
856,V1230 Ori,9.736,B8IVve,,83.83629166666667,-5.362330555555555,2.4554,3.064,-1.425,0.22,70.1,9.460669,9.694418,8.97233,,4.114749149628083e-13,,,,,,,,,,,,8.067,0.026,7.604,0.034,7.38,0.023,-0.5017431990722874,-0.40034464066495745,58.3731,9.554253195223573e-13,3.169963836191361e-13,1.357441409828783e-13,CXO,2.63861
857,43 Ori,5.08,O9.5Vpe,183.0,83.84541666666667,-5.416061111111111,2.9728,1.089,2.394,1.433,4570.0,5.001814,4.963159,4.967601,,2.4996854606493127e-11,,,,,,,,,,,,4.912,0.037,4.923,0.063,4.837,0.021,-0.3196504292989703,0.3832147041669299,24.6861,3.999014483461901e-13,2.0617034076939753e-13,4.623616173115115e-13,CXO,3.96529
858,RX J0535.6-6651,13.8,BIIIe,,83.92158333333333,-66.86456111111112,-0.1045,1.122,0.505,0.0,0.0,18.529274,,,,9.702895725429508e-17,,,,,,,,,,,,,,,,,,-0.36,0.6380000000000001,,7.469579308477024e-14,3.5150961451656585e-14,1.5905324546357317e-13,XRT,
